comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,W 2–0,b2b47a98,e4a775cb,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,2022-08-06,1ac96eb4
Premier League,Matchweek 2,D 0–0,b2b47a98,d07537b9,0,16,0,0,0,0,0,0,0,0,6,0,1,0,0.0,0.0,0.0,0,0,4,4,100.0,1,4,0,0,0,2022-08-13,c916a5f6
Premier League,Matchweek 3,D 3–3,b2b47a98,b8fd03ef,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0,2022-08-21,b513d9fe
Premier League,Matchweek 4,D 1–1,b2b47a98,8cec06e1,0,7,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,5,8,62.5,0,6,1,1,0,2022-08-28,15d62d04
Premier League,Matchweek 5,L 1–2,b2b47a98,822bd0ba,0,27,0,0,0,0,0,0,0,0,8,2,0,1,0.0,0.0,0.0,0,0,2,2,100.0,0,4,0,1,0,2022-08-31,ac6047cf
Premier League,Matchweek 6,D 0–0,b2b47a98,47c64c55,0,21,0,0,0,0,2,0,0,0,19,1,0,0,0.1,0.1,0.0,1,0,7,12,58.3,3,10,1,1,0,2022-09-03,4ca4efa3
Premier League,Matchweek 8,D 1–1,b2b47a98,4ba7cbea,0,20,0,0,0,0,1,0,0,0,14,0,0,0,0.1,0.1,0.0,0,0,9,13,69.2,2,9,1,0,0,2022-09-17,177da679
Premier League,Matchweek 9,W 4–1,b2b47a98,fd962109,1,90,0,0,0,0,3,2,0,0,58,2,0,0,0.1,0.1,0.1,4,1,28,48,58.3,6,42,14,3,0,2022-10-01,dcde1172
Premier League,Matchweek 10,W 5–1,b2b47a98,cd051869,1,65,1,0,0,0,2,2,0,0,24,0,0,1,0.2,0.2,0.1,3,0,10,19,52.6,3,14,4,2,1,2022-10-08,7dd42d3f
Premier League,Matchweek 11,D 0–0,b2b47a98,19538871,1,58,0,0,0,0,1,1,0,0,17,1,0,1,0.1,0.1,0.1,2,0,8,13,61.5,1,12,1,1,0,2022-10-16,e0b9c72c
Premier League,Matchweek 12,W 1–0,b2b47a98,d3fd31cc,1,71,0,0,0,0,1,0,0,0,21,0,0,2,0.0,0.0,0.1,2,0,9,14,64.3,0,17,2,1,1,2022-10-19,e6674f8d
Premier League,Matchweek 13,W 2–1,b2b47a98,361ca564,0,16,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,0,0,2022-10-23,ae21490f
Premier League,Matchweek 14,W 4–0,b2b47a98,8602292d,0,20,0,0,0,0,2,0,0,0,14,0,0,0,0.1,0.1,0.2,2,0,5,11,45.5,1,11,5,2,1,2022-10-29,96f5ee84
Premier League,Matchweek 15,W 4–1,b2b47a98,33c895d4,1,63,0,1,0,0,0,0,0,0,20,1,0,0,0.0,0.0,0.1,2,1,11,16,68.8,2,15,3,2,0,2022-11-06,57f9bcc9
Premier League,Matchweek 16,W 1–0,b2b47a98,cff3d9bb,0,6,0,0,0,0,0,0,0,0,2,0,0,1,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0,2022-11-12,e1b3eb1b
Premier League,Matchweek 17,W 3–0,b2b47a98,a2d435b3,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,1,0,0,0,2022-12-26,8e186153
Premier League,Matchweek 18,D 0–0,b2b47a98,5bfb9659,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,2022-12-31,0facecde
Premier League,Matchweek 19,D 0–0,b2b47a98,18bb7c10,0,23,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,0,0,4,6,66.7,0,4,1,0,0,2023-01-03,ceebd643
Premier League,Matchweek 20,W 1–0,b2b47a98,fd962109,0,6,0,0,0,0,0,0,0,0,4,0,1,1,0.0,0.0,0.0,0,0,3,3,100.0,2,1,0,0,0,2023-01-15,f93d11e7
Premier League,Matchweek 21,D 0–0,b2b47a98,47c64c55,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,2,3,66.7,0,1,0,0,0,2023-01-21,8468f673
Premier League,Matchweek 22,D 1–1,b2b47a98,7c21e445,0,10,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,0,0,2,4,50.0,1,2,1,1,0,2023-02-04,34e9160c
Premier League,Matchweek 23,D 1–1,b2b47a98,4ba7cbea,0,10,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,1,0,3,4,75.0,1,6,1,3,2,2023-02-11,d9339e30
Premier League,Matchweek 24,L 0–2,b2b47a98,822bd0ba,0,27,0,0,0,0,0,0,0,0,18,1,0,0,0.0,0.0,0.0,0,0,14,16,87.5,2,12,0,3,2,2023-02-18,2f909763
Premier League,Matchweek 26,L 0–2,b2b47a98,b8fd03ef,0,14,0,0,0,0,0,0,0,0,8,0,0,1,0.0,0.0,0.0,1,0,3,5,60.0,0,3,0,1,0,2023-03-04,b33bcb97
Premier League,Matchweek 27,W 2–1,b2b47a98,8cec06e1,1,84,0,0,0,0,2,1,0,0,31,1,0,0,0.1,0.1,0.0,4,0,14,22,63.6,5,24,2,3,1,2023-03-12,c416a3de
Premier League,Matchweek 28,W 2–1,b2b47a98,e4a775cb,1,83,0,0,0,0,2,0,0,0,43,0,0,0,0.2,0.2,0.6,7,1,25,37,67.6,5,24,5,3,1,2023-03-17,5345049a
Premier League,Matchweek 29,W 2–0,b2b47a98,19538871,1,67,0,0,0,0,1,0,0,0,34,0,1,1,0.0,0.0,0.3,4,0,18,26,69.2,8,28,5,1,1,2023-04-02,1ed948f6
Premier League,Matchweek 7,W 5–1,b2b47a98,7c21e445,1,63,0,1,0,0,2,1,0,0,35,1,1,2,0.4,0.4,1.0,6,2,20,25,80.0,4,19,0,3,1,2023-04-05,4a87012d
Premier League,Matchweek 30,W 2–1,b2b47a98,cd051869,1,45,0,0,0,0,0,0,0,0,24,0,0,1,0.0,0.0,0.0,0,0,19,22,86.4,1,13,0,2,0,2023-04-08,a5e78e89
Premier League,Matchweek 31,L 0–3,b2b47a98,8602292d,1,55,0,0,0,0,2,0,0,0,26,0,1,1,0.1,0.1,0.0,1,0,10,19,52.6,2,15,7,1,0,2023-04-15,7bbac622
Premier League,Matchweek 32,W 6–1,b2b47a98,361ca564,1,65,2,0,0,0,3,2,0,0,33,0,1,2,0.4,0.4,0.0,4,1,15,24,62.5,5,25,3,2,1,2023-04-23,dff22d13
Premier League,Matchweek 33,W 4–1,b2b47a98,d3fd31cc,0,23,1,0,0,0,2,1,0,0,8,0,0,0,1.1,1.1,0.0,0,0,3,6,50.0,1,3,2,0,0,2023-04-27,37a741a7
Premier League,Matchweek 34,W 3–1,b2b47a98,33c895d4,1,68,0,0,0,0,2,0,0,0,36,3,0,0,0.1,0.1,0.1,2,0,17,28,60.7,1,18,4,2,2,2023-04-30,b16063b6
Premier League,Matchweek 35,L 0–2,b2b47a98,18bb7c10,1,64,0,0,0,0,1,0,0,0,27,0,1,1,0.1,0.1,0.2,2,0,15,20,75.0,0,13,2,3,0,2023-05-07,9bb3a778
Premier League,Matchweek 36,D 2–2,b2b47a98,5bfb9659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-05-13,d63581e0
