comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Serie A,Matchweek 1,W 1–0,68449f6d,a3d88bd8,1,90,0,0,0,0,0,0,0,0,56,0,0,1,0.0,0.0,0.0,0,0,41,44,93.2,2,35,0,0,0,2022-08-14,26520b87
Serie A,Matchweek 2,L 0–3,68449f6d,d609edc0,1,90,0,0,0,0,0,0,0,0,77,0,1,2,0.0,0.0,0.0,0,0,66,67,98.5,1,53,1,0,0,2022-08-20,33ff40ce
Serie A,Matchweek 3,D 2–2,68449f6d,e2befd26,1,90,0,0,0,0,0,0,0,0,63,1,2,0,0.0,0.0,0.0,0,0,43,53,81.1,2,33,0,1,1,2022-08-27,c4e3939b
Serie A,Matchweek 4,L 0–2,68449f6d,e0652b02,1,90,0,0,0,0,0,0,0,0,79,4,1,4,0.0,0.0,0.0,0,0,56,66,84.8,7,33,0,0,0,2022-08-31,467ad271
Serie A,Matchweek 5,D 2–2,68449f6d,1d8099f8,1,90,0,0,0,0,1,0,0,0,42,0,2,1,0.1,0.1,0.0,1,1,32,35,91.4,2,28,3,0,0,2022-09-04,250097f3
Serie A,Matchweek 6,L 0–1,68449f6d,d48ad4ff,1,90,0,0,0,0,3,0,0,0,61,3,1,3,0.1,0.1,0.0,1,0,37,44,84.1,1,20,0,1,1,2022-09-10,b8081607
Serie A,Matchweek 7,W 2–1,68449f6d,8ff9e3b3,1,90,0,0,0,0,0,0,0,0,65,2,1,0,0.0,0.0,0.1,1,0,46,54,85.2,1,29,0,0,0,2022-09-17,4005dac1
Serie A,Matchweek 8,L 0–4,68449f6d,7213da33,1,80,0,0,0,0,1,0,0,0,39,0,0,1,0.2,0.2,0.0,0,0,24,33,72.7,2,23,1,2,1,2022-10-02,8f0179e7
Serie A,Matchweek 9,L 0–2,68449f6d,21680aa4,1,90,0,0,0,0,1,0,0,0,73,2,5,0,0.1,0.1,0.0,1,0,54,64,84.4,5,45,2,0,0,2022-10-09,08f73f52
Serie A,Matchweek 10,D 2–2,68449f6d,9aad3a77,1,72,0,0,0,0,0,0,0,0,47,2,4,3,0.0,0.0,0.0,3,0,23,34,67.6,2,16,2,0,0,2022-10-16,a571c771
Serie A,Matchweek 11,L 0–1,68449f6d,c5577084,1,90,0,0,0,0,1,0,1,0,74,0,2,2,0.0,0.0,0.0,1,0,59,65,90.8,3,46,0,1,0,2022-10-22,7652b57c
Serie A,Matchweek 12,L 1–2,68449f6d,421387cf,1,90,0,0,0,0,0,0,0,0,55,0,0,5,0.0,0.0,0.0,1,0,37,42,88.1,2,18,0,0,0,2022-10-30,29e78eae
Serie A,Matchweek 13,L 1–2,68449f6d,dc56fe14,1,90,0,0,0,0,1,1,0,0,39,1,1,2,0.0,0.0,0.0,1,0,19,28,67.9,2,18,2,0,0,2022-11-05,3a4b495b
Serie A,Matchweek 14,D 1–1,68449f6d,04eea015,1,56,0,0,0,0,1,0,1,0,36,1,0,0,0.1,0.1,0.0,1,0,32,34,94.1,0,16,0,1,1,2022-11-08,21c7a48f
Serie A,Matchweek 15,W 2–1,68449f6d,0e72edf2,1,90,0,0,0,0,1,1,0,0,56,1,2,0,0.0,0.0,0.0,1,0,32,46,69.6,3,22,1,0,0,2022-11-13,c1a9d593
Serie A,Matchweek 16,D 2–2,68449f6d,922493f3,1,90,0,0,0,0,0,0,1,0,33,3,1,1,0.0,0.0,0.0,1,0,18,22,81.8,0,13,0,1,1,2023-01-04,1468d56b
Serie A,Matchweek 17,D 0–0,68449f6d,ffcbe334,1,65,0,0,0,0,0,0,0,0,58,2,1,1,0.0,0.0,0.0,2,0,34,44,77.3,2,16,1,0,0,2023-01-08,80887584
Serie A,Matchweek 18,W 1–0,68449f6d,105360fe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-15,6613b258
Premier League,Matchweek 22,L 0–1,18bb7c10,d3fd31cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-02-04,07fc721a
Premier League,Matchweek 23,D 1–1,18bb7c10,cd051869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-02-11,7caa56bc
