comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,L 1–2,19538871,d07537b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-08-07,8251694e
Premier League,Matchweek 2,L 0–4,19538871,cd051869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-08-13,04712d4e
Premier League,Matchweek 8,W 1–0,d3fd31cc,7c21e445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-09-18,96e9dc0f
Premier League,Matchweek 9,W 2–1,d3fd31cc,33c895d4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-01,06d00bcb
Premier League,Matchweek 10,L 1–2,d3fd31cc,19538871,0,16,0,0,0,0,2,1,0,0,9,0,0,0,0.1,0.1,0.0,1,0,5,6,83.3,2,5,0,0,0,2022-10-09,5d426690
Premier League,Matchweek 11,L 0–2,d3fd31cc,361ca564,0,24,0,0,0,0,0,0,0,0,14,1,1,2,0.0,0.0,0.0,0,0,9,10,90.0,2,9,0,0,0,2022-10-15,e42493f9
Premier League,Matchweek 12,L 0–1,d3fd31cc,b2b47a98,0,18,0,0,0,0,0,0,0,0,20,1,0,0,0.0,0.0,0.0,0,0,14,18,77.8,1,13,0,1,1,2022-10-19,e6674f8d
Premier League,Matchweek 13,W 3–0,d3fd31cc,47c64c55,0,13,0,0,0,0,0,0,1,0,8,1,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,3,0,0,0,2022-10-22,24d23a55
Premier League,Matchweek 14,D 0–0,d3fd31cc,fd962109,0,26,0,0,0,0,0,0,0,0,11,3,2,0,0.0,0.0,0.0,0,0,4,6,66.7,0,3,0,0,0,2022-10-29,9c4402e1
Premier League,Matchweek 15,L 0–2,d3fd31cc,a2d435b3,0,45,0,0,0,0,0,0,0,0,37,0,1,0,0.0,0.0,0.0,0,0,23,34,67.6,0,18,1,1,0,2022-11-05,831c73fc
Premier League,Matchweek 26,D 2–2,d3fd31cc,e4a775cb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-05,ec770341
Premier League,Matchweek 27,W 1–0,d3fd31cc,cd051869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-11,980f57d4
Premier League,Matchweek 28,D 2–2,d3fd31cc,cff3d9bb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-18,9453dba7
Premier League,Matchweek 29,D 1–1,d3fd31cc,361ca564,0,7,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,1,1,7,8,87.5,2,8,0,0,0,2023-04-03,c00d9a22
Premier League,Matchweek 30,L 0–2,d3fd31cc,19538871,0,31,0,0,0,0,1,0,0,0,17,1,1,0,0.0,0.0,0.0,0,0,12,14,85.7,1,13,0,1,0,2023-04-08,e217ed2c
Premier League,Matchweek 31,L 1–3,d3fd31cc,fd962109,1,90,0,1,0,0,3,1,0,0,48,1,0,0,0.1,0.1,0.1,3,1,28,43,65.1,3,30,1,1,1,2023-04-15,ecae749b
Premier League,Matchweek 32,D 0–0,d3fd31cc,47c64c55,1,90,0,0,0,0,0,0,0,0,34,1,2,1,0.0,0.0,0.0,0,0,15,21,71.4,4,12,0,1,1,2023-04-22,25f6dcd1
Premier League,Matchweek 33,L 1–4,d3fd31cc,b2b47a98,0,9,0,0,0,0,0,0,0,0,5,1,0,1,0.0,0.0,0.0,0,0,3,3,100.0,0,3,0,0,0,2023-04-27,37a741a7
Premier League,Matchweek 34,D 2–2,d3fd31cc,a2d435b3,1,90,0,0,0,0,0,0,0,0,55,0,0,2,0.0,0.0,0.1,7,0,33,48,68.8,6,30,1,2,1,2023-05-01,95d2cc61
Premier League,Matchweek 35,W 5–1,d3fd31cc,d07537b9,1,90,0,0,0,0,1,0,0,0,33,2,3,0,0.4,0.4,0.0,0,0,15,19,78.9,2,14,0,1,0,2023-05-08,bf8d9047
Premier League,Matchweek 36,L 0–3,d3fd31cc,b8fd03ef,1,75,0,0,0,0,0,0,1,0,34,1,0,0,0.0,0.0,0.2,2,0,25,31,80.6,6,17,1,2,2,2023-05-14,704aa0f3
Premier League,Matchweek 37,D 1–1,d3fd31cc,8cec06e1,1,90,0,0,0,0,1,0,1,0,54,1,0,1,0.1,0.1,0.1,4,0,36,46,78.3,4,21,3,1,0,2023-05-20,ff2b58c3
Premier League,Matchweek 38,W 1–0,d3fd31cc,4ba7cbea,1,90,0,0,0,0,1,1,0,0,54,2,2,2,0.1,0.1,0.0,1,0,23,41,56.1,0,17,1,3,1,2023-05-28,94de848f
