comp,round,result,squad,opponent,start,min,performance_sota,performance_ga,performance_saves,performance_save%,performance_cs,performance_psxg,penalty kicks_pkatt,penalty kicks_pka,penalty kicks_pksv,penalty kicks_pkm,launched_cmp,launched_att,launched_cmp%,passes_att (gk),passes_thr,passes_launch%,passes_avglen,goal kicks_att,goal kicks_launch%,goal kicks_avglen,crosses_opp,crosses_stp,crosses_stp%,sweeper_#opa,sweeper_avgdist,date,match_id
Premier League,Matchweek 1,L 0–1,d3fd31cc,cff3d9bb,Y*,90,6,1,5,100.0,0,1.9,1,1,0,0,8,24,33.3,33,5,63.6,43.5,5,60.0,51.2,24,2,8.3,4,19.0,2022-08-06,3a917cee
Premier League,Matchweek 2,L 1–2,d3fd31cc,8602292d,Y*,90,3,2,1,33.3,0,1.7,0,0,0,0,4,14,28.6,26,4,46.2,33.8,6,33.3,29.3,11,0,0.0,4,27.0,2022-08-13,8cd71c65
Premier League,Matchweek 3,D 1–1,d3fd31cc,e4a775cb,Y*,90,5,1,4,80.0,0,1.1,0,0,0,0,4,14,28.6,26,7,34.6,38.6,9,55.6,43.8,10,0,0.0,1,13.5,2022-08-20,3c3cc86f
Premier League,Matchweek 4,D 1–1,d3fd31cc,cd051869,Y*,90,5,1,4,80.0,0,1.4,0,0,0,0,11,29,37.9,25,4,72.0,50.4,12,91.7,64.9,26,1,3.8,4,12.9,2022-08-27,db59fc65
Premier League,Matchweek 5,D 1–1,d3fd31cc,5bfb9659,Y*,90,5,1,4,80.0,0,0.8,0,0,0,0,4,22,18.2,25,7,52.0,41.8,11,81.8,59.5,22,0,0.0,2,20.0,2022-08-30,42d294e5
Premier League,Matchweek 6,D 0–0,d3fd31cc,822bd0ba,Y*,90,8,0,8,100.0,1,1.5,0,0,0,0,6,21,28.6,18,5,61.1,43.4,11,90.9,60.3,24,1,4.2,0,1.0,2022-09-03,073227b6
Premier League,Matchweek 9,W 2–1,d3fd31cc,33c895d4,1,90,6,1,5,83.3,0,0.8,0,0,0,0,14,23,60.9,27,4,55.6,42.4,11,72.7,54.6,21,0,0.0,0,2.8,2022-10-01,06d00bcb
Premier League,Matchweek 10,L 1–2,d3fd31cc,19538871,1,90,4,2,2,50.0,0,2.1,0,0,0,0,10,21,47.6,38,6,47.4,35.5,9,33.3,31.2,7,1,14.3,0,5.5,2022-10-09,5d426690
Premier League,Matchweek 11,L 0–2,d3fd31cc,361ca564,1,90,7,2,5,85.7,0,2.1,1,1,0,0,5,23,21.7,27,6,59.3,38.7,7,100.0,61.6,22,0,0.0,1,19.3,2022-10-15,e42493f9
Premier League,Matchweek 12,L 0–1,d3fd31cc,b2b47a98,1,90,4,1,3,75.0,0,0.7,0,0,0,0,10,28,35.7,26,5,61.5,45.5,12,100.0,70.7,15,0,0.0,1,31.0,2022-10-19,e6674f8d
