comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Bundesliga,Matchweek 6,D 0–0,a486e511,32f3ee20,0,10,0,0,0,0,0,0,0,0,6,2,0,0,0.0,0.0,0.0,0,0,0,3,0.0,0,1,0,1,0,2022-09-11,71b44862
Bundesliga,Matchweek 7,D 0–0,a486e511,033ea6b8,0,13,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,0,0,2,5,40.0,2,2,1,0,0,2022-09-18,62d3a5b6
Bundesliga,Matchweek 8,W 2–1,a486e511,a224b06a,0,22,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,0,0,6,11,54.5,0,14,1,4,1,2022-10-01,4e3a874d
Bundesliga,Matchweek 9,D 2–2,a486e511,2818f8bc,0,21,1,0,0,0,1,1,0,0,13,1,0,0,0.0,0.0,0.0,0,0,3,6,50.0,0,6,0,0,0,2022-10-09,7345ac20
Bundesliga,Matchweek 10,L 0–5,a486e511,054efa67,1,56,0,0,0,0,2,0,0,0,17,0,0,0,0.2,0.2,0.0,0,0,4,9,44.4,1,9,2,1,0,2022-10-16,a8e87a05
Bundesliga,Matchweek 11,W 2–0,a486e511,62add3bf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-22,dc19c7f7
Bundesliga,Matchweek 12,W 2–0,a486e511,c539e393,0,15,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,1,0,1,4,25.0,0,5,1,2,0,2022-10-30,408042b1
Bundesliga,Matchweek 13,W 2–0,a486e511,bc357bf7,0,9,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.0,0,0,2,7,28.6,0,2,1,2,1,2022-11-06,e7bddbdc
Bundesliga,Matchweek 14,L 1–3,a486e511,acbb6a5b,0,36,0,0,0,0,1,0,0,0,14,0,0,0,0.1,0.1,0.0,0,0,8,10,80.0,0,9,1,2,1,2022-11-09,8870eb5d
Bundesliga,Matchweek 15,W 4–1,a486e511,7a41008f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-11-13,6f964d83
Premier League,Matchweek 20,W 2–0,cd051869,4ba7cbea,0,9,0,0,0,0,0,0,0,0,5,0,0,1,0.0,0.0,0.0,0,0,1,2,50.0,0,2,0,1,0,2023-01-14,3f992264
Premier League,Matchweek 21,D 0–0,cd051869,5bfb9659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-22,f0e7d8a8
