comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,W 2–1,d07537b9,19538871,Y*,90,0,0,0,0,1,0,0,0,34,0,0,2,0.1,0.1,0.0,0,0,14,26,53.8,0,11,0,0,0,2022-08-07,8251694e
Premier League,Matchweek 2,D 0–0,d07537b9,b2b47a98,Y*,90,0,0,0,0,0,0,0,0,46,0,2,0,0.0,0.0,0.0,0,0,26,32,81.3,3,15,0,0,0,2022-08-13,c916a5f6
Premier League,Matchweek 3,W 2–0,d07537b9,7c21e445,Y*,90,0,0,0,0,0,0,0,0,56,0,1,4,0.0,0.0,0.0,0,0,41,47,87.2,1,19,0,0,0,2022-08-21,aa2a3517
Premier League,Matchweek 4,W 1–0,d07537b9,5bfb9659,Y*,90,0,0,0,0,1,0,0,0,49,0,0,0,0.0,0.0,0.1,2,0,35,46,76.1,1,23,1,0,0,2022-08-27,77c70160
Premier League,Matchweek 5,L 1–2,d07537b9,fd962109,Y*,90,0,0,0,0,0,0,0,0,104,3,1,0,0.0,0.0,0.0,0,0,84,95,88.4,5,79,0,0,0,2022-08-30,361f4461
Premier League,Matchweek 6,W 5–2,d07537b9,a2d435b3,Y*,90,0,0,0,0,1,0,0,0,98,0,0,1,0.1,0.1,0.0,1,0,89,92,96.7,3,63,0,0,0,2022-09-04,42d5b3b1
Premier League,Matchweek 9,D 3–3,d07537b9,822bd0ba,Y*,90,0,0,0,0,0,0,0,0,86,2,1,0,0.0,0.0,0.0,0,0,64,74,86.5,0,53,0,0,0,2022-10-01,aadd2e80
Premier League,Matchweek 10,L 0–1,d07537b9,361ca564,Y*,90,0,0,0,0,1,0,0,0,89,1,4,1,0.2,0.2,0.0,0,0,70,81,86.4,3,49,0,0,0,2022-10-08,3eeefbc5
Premier League,Matchweek 11,L 0–2,d07537b9,cd051869,Y*,90,0,0,0,0,1,0,0,0,92,1,2,2,0.3,0.3,0.0,0,0,78,83,94.0,3,53,0,0,0,2022-10-14,69409682
Premier League,Matchweek 12,D 0–0,d07537b9,e4a775cb,Y*,90,0,0,0,0,1,1,0,0,96,0,2,1,0.1,0.1,0.0,0,0,82,88,93.2,1,58,1,0,0,2022-10-18,4f876daa
Premier League,Matchweek 13,L 1–3,d07537b9,b8fd03ef,Y*,90,0,0,0,0,0,0,0,0,72,0,0,1,0.0,0.0,0.0,1,0,60,68,88.2,3,47,1,1,1,2022-10-22,cd5cd3f0
Premier League,Matchweek 14,W 4–1,d07537b9,cff3d9bb,Y*,90,0,0,0,0,0,0,0,0,58,3,0,1,0.0,0.0,0.0,0,0,39,45,86.7,0,25,0,0,0,2022-10-29,ac6abad1
Premier League,Matchweek 15,W 3–2,d07537b9,8cec06e1,Y*,90,0,0,0,0,1,0,0,0,122,0,1,1,0.0,0.0,0.0,2,0,110,113,97.3,7,105,0,0,0,2022-11-05,982d16a2
Premier League,Matchweek 16,L 1–2,d07537b9,8602292d,Y*,90,0,0,0,0,1,0,0,0,82,0,2,1,0.0,0.0,0.0,0,0,66,74,89.2,1,64,0,0,0,2022-11-13,a7031cbd
Premier League,Matchweek 17,W 3–1,d07537b9,33c895d4,Y*,90,0,0,0,0,0,0,0,0,86,0,1,1,0.0,0.0,0.0,0,0,72,80,90.0,2,68,0,0,0,2022-12-26,3527c390
Premier League,Matchweek 18,L 2–4,d07537b9,18bb7c10,Y*,90,0,0,0,0,1,0,0,0,111,0,2,3,0.1,0.1,0.0,2,1,94,103,91.3,7,70,2,0,0,2022-12-31,dd50a429
Premier League,Matchweek 19,W 4–1,d07537b9,d3fd31cc,Y*,90,0,0,0,0,0,0,0,0,58,0,0,0,0.0,0.0,0.0,0,0,45,53,84.9,3,30,0,0,0,2023-01-03,c62d7632
