comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,W 2–0,18bb7c10,47c64c55,Y*,89,0,0,0,0,2,0,0,0,51,2,0,0,0.1,0.1,0.0,0,0,29,41,70.7,4,27,1,1,0,2022-08-05,e62f6e78
Premier League,Matchweek 2,W 4–2,18bb7c10,a2d435b3,Y*,90,0,0,0,0,1,0,0,0,52,1,0,1,0.0,0.0,0.0,5,1,40,47,85.1,2,29,4,2,2,2022-08-13,7483b97f
Premier League,Matchweek 3,W 3–0,18bb7c10,4ba7cbea,Y*,73,2,0,0,0,3,2,0,0,67,0,0,0,0.6,0.6,0.0,3,0,45,57,78.9,7,40,1,1,1,2022-08-20,7f11dd9e
Premier League,Matchweek 4,W 2–1,18bb7c10,fd962109,Y*,89,1,0,0,0,3,2,0,0,80,3,0,0,0.2,0.2,0.2,9,0,61,73,83.6,17,48,2,5,5,2022-08-27,8b69fd2d
Premier League,Matchweek 5,W 2–1,18bb7c10,8602292d,Y*,80,0,0,0,0,3,1,1,0,64,1,0,1,0.4,0.4,0.3,5,0,41,52,78.8,7,35,3,1,1,2022-08-31,cc235aad
Premier League,Matchweek 6,L 1–3,18bb7c10,19538871,Y*,73,0,0,0,0,1,0,0,0,43,0,0,0,0.4,0.4,0.2,5,0,27,41,65.9,6,25,2,1,0,2022-09-04,61ddafa5
Premier League,Matchweek 9,W 3–1,18bb7c10,361ca564,Y*,79,0,0,0,0,3,1,0,0,47,0,1,0,0.1,0.1,0.0,4,0,33,42,78.6,8,32,1,1,1,2022-10-01,aefe3b90
Premier League,Matchweek 10,W 3–2,18bb7c10,822bd0ba,Y*,81,0,1,0,0,2,1,1,0,33,1,0,1,0.3,0.3,0.5,1,1,17,23,73.9,4,15,2,2,1,2022-10-09,84a48413
Premier League,Matchweek 11,W 1–0,18bb7c10,5bfb9659,Y*,72,0,1,0,0,4,2,0,0,46,0,0,0,0.2,0.2,0.2,3,1,32,40,80.0,4,29,1,3,2,2022-10-16,92885cfc
Premier League,Matchweek 13,D 1–1,18bb7c10,33c895d4,Y*,82,0,0,0,0,1,0,0,0,40,1,0,0,0.1,0.1,0.4,4,0,30,35,85.7,8,24,1,0,0,2022-10-23,d8138438
Premier League,Matchweek 14,W 5–0,18bb7c10,e4a775cb,Y*,90,1,0,0,0,3,1,0,0,65,1,1,0,0.2,0.2,0.6,8,1,38,53,71.7,5,31,5,2,0,2022-10-30,1b496cc1
Premier League,Matchweek 15,W 1–0,18bb7c10,cff3d9bb,Y*,86,0,0,0,0,1,0,0,0,39,0,0,2,0.1,0.1,0.2,4,0,24,33,72.7,4,21,4,1,1,2022-11-06,af9dc838
Premier League,Matchweek 16,W 2–0,18bb7c10,8cec06e1,Y*,90,2,0,0,0,3,2,0,0,63,2,0,1,1.5,1.5,0.0,2,0,44,55,80.0,3,36,2,2,2,2022-11-12,863d7a8f
Premier League,Matchweek 17,W 3–1,18bb7c10,7c21e445,Y*,90,0,2,0,0,6,0,0,0,77,1,0,1,0.4,0.4,1.1,9,3,58,64,90.6,17,48,5,4,2,2022-12-26,3be32b8b
Premier League,Matchweek 18,W 4–2,18bb7c10,d07537b9,Y*,86,1,1,0,0,1,1,0,0,42,1,0,0,0.1,0.1,0.8,6,2,29,36,80.6,7,27,2,4,1,2022-12-31,dd50a429
Premier League,Matchweek 19,D 0–0,18bb7c10,b2b47a98,Y*,90,0,0,0,0,2,0,1,0,36,2,0,0,0.2,0.2,0.3,5,0,20,29,69.0,3,20,2,2,1,2023-01-03,ceebd643
Premier League,Matchweek 20,W 2–0,18bb7c10,361ca564,Y*,89,1,0,0,0,3,2,0,0,53,0,0,1,0.1,0.1,0.2,5,0,37,45,82.2,8,35,3,2,1,2023-01-15,4fc8b7b2
Premier League,Matchweek 21,W 3–2,18bb7c10,19538871,Y*,89,0,0,0,0,6,0,0,0,63,3,0,0,0.5,0.5,0.1,7,2,37,50,74.0,7,30,5,2,0,2023-01-22,1b35bc71
Premier League,Matchweek 22,L 0–1,18bb7c10,d3fd31cc,Y*,76,0,0,0,0,1,0,0,0,35,0,1,0,0.1,0.1,0.1,3,0,28,31,90.3,6,22,2,3,1,2023-02-04,07fc721a
Premier League,Matchweek 23,D 1–1,18bb7c10,cd051869,Y*,90,0,0,0,0,2,1,0,0,66,0,0,1,0.1,0.1,0.1,6,1,46,58,79.3,14,44,4,3,2,2023-02-11,7caa56bc
Premier League,Matchweek 12,L 1–3,18bb7c10,b8fd03ef,Y*,90,0,0,0,0,2,0,0,0,53,0,0,1,0.1,0.1,0.0,2,0,38,47,80.9,7,34,0,1,0,2023-02-15,b9da01e6
Premier League,Matchweek 24,W 4–2,18bb7c10,8602292d,Y*,89,0,1,0,0,1,0,0,0,69,1,0,0,0.3,0.3,0.9,11,1,56,65,86.2,12,42,5,3,3,2023-02-18,e50bfcf8
Premier League,Matchweek 25,W 1–0,18bb7c10,a2d435b3,1,83,0,0,0,0,3,0,0,0,52,0,0,0,0.1,0.1,0.2,4,0,35,44,79.5,7,33,1,2,2,2023-02-25,145cc0a5
Premier League,Matchweek 7,W 4–0,18bb7c10,d3fd31cc,Y*,90,1,0,0,0,2,1,0,0,73,0,0,0,0.6,0.6,0.1,4,0,56,65,86.2,5,45,1,1,1,2023-03-01,705a2f3c
Premier League,Matchweek 26,W 3–2,18bb7c10,4ba7cbea,Y*,90,0,0,0,0,11,3,0,0,100,3,1,0,0.6,0.6,0.1,8,0,64,83,77.1,17,76,3,4,2,2023-03-04,3e9a33fc
