comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Serie A,Matchweek 1,W 1–0,cf74a709,c5577084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-08-14,ff9838f3
Serie A,Matchweek 2,W 1–0,cf74a709,9aad3a77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-08-22,836b2832
Serie A,Matchweek 3,D 1–1,cf74a709,e0652b02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-08-27,23a2abe6
Serie A,Matchweek 4,W 3–0,cf74a709,21680aa4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-08-30,707c399a
Serie A,Matchweek 5,L 0–4,cf74a709,04eea015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-09-04,7de0fe74
Serie A,Matchweek 6,W 2–1,cf74a709,a3d88bd8,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,0,0,0,0,2022-09-12,6c06536f
Serie A,Matchweek 7,L 0–1,cf74a709,922493f3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-09-18,7f3c30b2
Serie A,Matchweek 8,W 2–1,cf74a709,d609edc0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-01,e8065e11
Serie A,Matchweek 9,W 2–1,cf74a709,ffcbe334,1,45,0,0,0,0,0,0,0,0,31,2,0,4,0.0,0.0,0.1,3,1,16,18,88.9,2,15,2,1,1,2022-10-09,6a7ff463
Serie A,Matchweek 10,W 1–0,cf74a709,8ff9e3b3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-17,a014cee9
Serie A,Matchweek 11,L 0–1,cf74a709,d48ad4ff,0,9,0,0,0,0,0,0,0,0,15,1,2,1,0.0,0.0,0.0,1,0,5,9,55.6,0,4,0,0,0,2022-10-23,0b675836
Serie A,Matchweek 12,W 3–1,cf74a709,0e72edf2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-31,a5748739
Serie A,Matchweek 13,L 0–1,cf74a709,7213da33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-11-06,892d3ce3
Serie A,Matchweek 14,D 1–1,cf74a709,e2befd26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-11-09,2c1655ec
Serie A,Matchweek 15,D 1–1,cf74a709,105360fe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-11-13,579ceb27
Serie A,Matchweek 16,W 1–0,cf74a709,1d8099f8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-04,94763792
