comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,L 0–2,7c21e445,b8fd03ef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-08-07,ece62baf
Serie A,Matchweek 1,W 2–1,105360fe,21680aa4,0,45,0,0,0,0,0,0,0,0,20,1,0,1,0.0,0.0,0.0,0,0,13,15,86.7,0,16,0,0,0,2022-08-13,5f0a8b10
Serie A,Matchweek 2,D 0–0,105360fe,7213da33,1,90,0,0,0,0,1,0,0,0,24,0,0,1,0.1,0.1,0.0,3,0,16,20,80.0,4,16,3,2,2,2022-08-20,a1ed12f1
Serie A,Matchweek 3,W 2–1,105360fe,9aad3a77,1,90,1,0,0,0,5,2,0,0,37,1,0,0,0.5,0.5,0.0,3,0,19,28,67.9,3,28,3,2,1,2022-08-27,ff16ac21
Serie A,Matchweek 4,L 1–3,105360fe,922493f3,1,90,1,0,0,0,1,1,1,0,50,4,1,1,0.1,0.1,0.3,5,0,28,35,80.0,3,18,1,4,3,2022-09-01,a8d5d5fc
Serie A,Matchweek 5,W 1–0,105360fe,ffcbe334,1,90,1,0,0,0,2,1,0,0,47,1,0,1,0.2,0.2,0.1,4,0,30,39,76.9,6,31,2,1,1,2022-09-05,def4d163
Serie A,Matchweek 6,L 0–1,105360fe,d609edc0,1,90,0,0,0,0,4,3,0,0,46,0,0,0,0.3,0.3,0.2,6,0,25,29,86.2,6,27,5,4,4,2022-09-10,c85b25b5
Serie A,Matchweek 7,L 0–1,105360fe,e2befd26,1,90,0,0,0,0,2,0,0,0,40,1,0,0,0.1,0.1,0.0,1,0,25,30,83.3,1,21,3,1,0,2022-09-17,a7f11ac3
Serie A,Matchweek 8,L 1–3,105360fe,d48ad4ff,1,90,0,0,0,0,2,1,0,0,43,1,0,0,0.1,0.1,0.3,3,0,21,32,65.6,4,22,4,0,0,2022-10-01,5b1b5139
Serie A,Matchweek 9,D 1–1,105360fe,a3d88bd8,1,90,0,0,0,0,5,2,0,0,40,0,1,1,0.9,0.9,0.1,6,0,23,29,79.3,3,24,2,1,0,2022-10-09,880f23f3
Serie A,Matchweek 10,L 0–1,105360fe,e0652b02,1,90,0,0,0,0,5,1,0,0,48,1,0,0,0.3,0.3,0.2,6,0,34,38,89.5,3,42,3,1,0,2022-10-15,b183d7de
Serie A,Matchweek 11,W 2–1,105360fe,04eea015,1,90,0,0,0,0,1,0,0,0,42,1,1,0,0.2,0.2,0.1,5,1,21,29,72.4,3,23,4,3,1,2022-10-23,e229f8ab
Serie A,Matchweek 12,W 2–1,105360fe,dc56fe14,1,90,0,1,0,0,0,0,0,0,44,0,0,4,0.0,0.0,0.1,2,2,20,30,66.7,4,22,3,2,0,2022-10-30,045a51a7
Serie A,Matchweek 13,L 1–2,105360fe,1d8099f8,1,65,0,0,0,0,1,0,0,0,21,1,0,1,0.0,0.0,0.0,0,0,8,13,61.5,1,7,1,0,0,2022-11-06,93bc56e9
Serie A,Matchweek 14,W 2–0,105360fe,8ff9e3b3,1,89,1,1,0,0,2,1,0,0,46,0,0,1,0.1,0.1,0.1,2,0,27,34,79.4,4,33,2,1,1,2022-11-09,ee91c50a
Serie A,Matchweek 15,D 1–1,105360fe,cf74a709,1,90,0,0,0,0,3,1,0,0,44,1,0,0,0.2,0.2,0.0,1,0,28,35,80.0,6,24,4,2,2,2022-11-13,579ceb27
Serie A,Matchweek 16,D 1–1,105360fe,0e72edf2,1,90,0,0,0,0,0,0,0,0,52,0,0,1,0.0,0.0,0.2,6,1,38,43,88.4,2,29,0,1,1,2023-01-04,25fb9390
Serie A,Matchweek 17,D 1–1,105360fe,c5577084,1,90,0,0,0,0,3,1,0,0,58,2,0,2,0.2,0.2,0.4,12,0,40,48,83.3,10,35,9,4,1,2023-01-08,b6ec4538
Serie A,Matchweek 18,L 0–1,105360fe,68449f6d,1,90,0,0,0,0,2,1,0,0,56,2,0,1,0.3,0.3,0.3,6,0,36,46,78.3,0,32,2,1,0,2023-01-15,6613b258
Serie A,Matchweek 19,W 1–0,105360fe,421387cf,1,90,0,0,0,0,2,0,0,0,34,1,0,0,0.3,0.3,0.0,3,0,20,26,76.9,1,20,1,1,0,2023-01-21,6479cc76
Serie A,Matchweek 20,D 2–2,105360fe,a3d88bd8,1,90,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,1,0,18,24,75.0,1,16,0,1,1,2023-01-28,621ac50b
Serie A,Matchweek 21,W 1–0,105360fe,04eea015,0,36,0,0,0,0,1,0,0,0,15,1,0,0,0.0,0.0,0.0,1,0,7,8,87.5,1,12,1,2,0,2023-02-05,afff7705
Serie A,Matchweek 22,L 0–1,105360fe,dc56fe14,1,79,0,0,0,0,0,0,0,0,49,2,0,1,0.0,0.0,0.1,2,0,31,36,86.1,3,28,2,5,3,2023-02-10,71cfa6f4
Serie A,Matchweek 27,L 0–4,105360fe,d48ad4ff,1,84,0,0,0,0,1,1,0,0,41,3,1,0,0.0,0.0,0.1,4,0,26,31,83.9,2,21,0,1,0,2023-03-19,d048f6e2
Serie A,Matchweek 28,D 1–1,105360fe,e2befd26,1,90,0,0,0,0,1,0,0,0,32,0,0,2,0.1,0.1,0.2,3,0,15,23,65.2,2,20,1,2,1,2023-04-03,627f9db3
Serie A,Matchweek 29,L 0–1,105360fe,cf74a709,0,29,0,0,0,0,0,0,0,0,19,0,1,0,0.0,0.0,0.1,1,0,17,19,89.5,5,16,2,0,0,2023-04-08,7c243fe7
Serie A,Matchweek 30,D 1–1,105360fe,c5577084,0,53,0,0,0,0,0,0,0,0,31,1,1,0,0.0,0.0,0.0,0,0,20,23,87.0,1,19,1,2,0,2023-04-16,e49ad6cf
Serie A,Matchweek 31,W 1–0,105360fe,7213da33,1,90,0,1,0,0,0,0,0,0,37,1,0,0,0.0,0.0,0.3,5,1,25,32,78.1,4,28,5,3,3,2023-04-22,bad0eeaa
Serie A,Matchweek 32,L 1–2,105360fe,922493f3,0,45,0,0,0,0,1,1,0,0,27,1,0,1,0.0,0.0,0.0,0,0,17,21,81.0,1,19,3,2,1,2023-04-29,01babd1c
Serie A,Matchweek 33,W 2–0,105360fe,8ff9e3b3,1,90,0,0,0,0,1,1,0,0,44,0,0,3,0.1,0.1,0.2,3,0,25,34,73.5,2,30,4,3,1,2023-05-03,226dc5e0
Serie A,Matchweek 34,D 1–1,105360fe,21680aa4,1,74,0,1,0,0,2,1,0,0,44,0,0,0,0.1,0.1,0.2,5,1,26,33,78.8,4,29,4,5,2,2023-05-07,f2170761
Serie A,Matchweek 35,W 1–0,105360fe,0e72edf2,1,59,1,0,0,0,1,1,0,0,23,0,1,1,0.0,0.0,0.1,1,0,11,15,73.3,4,13,1,1,0,2023-05-14,33a2394a
Serie A,Matchweek 36,D 1–1,105360fe,421387cf,1,90,0,0,0,0,2,1,0,0,37,1,2,0,0.1,0.1,0.1,3,0,20,27,74.1,7,29,3,3,0,2023-05-21,c02c3b21
Serie A,Matchweek 37,W 4–0,105360fe,68449f6d,1,90,0,2,0,0,1,0,0,0,35,2,0,2,0.0,0.0,0.3,5,2,17,24,70.8,2,9,1,2,1,2023-05-27,3feeb5a0
Serie A,Matchweek 38,L 0–1,105360fe,d609edc0,1,90,0,0,0,0,1,0,0,0,42,2,1,0,0.1,0.1,0.2,7,0,28,32,87.5,3,23,5,1,0,2023-06-03,0eb77679
