comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,L 0–2,8602292d,4ba7cbea,0,25,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,1,0,4,4,100.0,0,4,0,0,0,2022-08-06,877e3193
Premier League,Matchweek 2,W 2–1,8602292d,d3fd31cc,1,90,0,2,0,0,2,1,0,0,34,1,0,0,0.6,0.6,1.1,3,2,20,24,83.3,0,22,4,3,1,2022-08-13,8cd71c65
Premier League,Matchweek 3,L 1–3,8602292d,47c64c55,1,90,1,0,0,0,2,1,0,0,36,2,0,1,0.3,0.3,0.0,3,0,21,27,77.8,1,10,0,0,0,2022-08-20,3f89bccf
Premier League,Matchweek 4,L 0–1,8602292d,7c21e445,1,90,0,0,0,0,2,1,0,0,21,0,2,0,0.2,0.2,0.0,1,0,16,18,88.9,2,17,2,0,0,2022-08-28,659b9113
Premier League,Matchweek 5,L 1–2,8602292d,18bb7c10,1,90,0,0,0,0,0,0,0,0,23,1,0,0,0.0,0.0,0.0,0,0,15,17,88.2,0,13,0,0,0,2022-08-31,cc235aad
Premier League,Matchweek 6,D 1–1,8602292d,b8fd03ef,1,90,0,0,0,0,1,0,0,0,20,1,0,0,0.2,0.2,0.0,1,0,8,14,57.1,0,10,4,1,0,2022-09-03,3091f0b8
Premier League,Matchweek 8,W 1–0,8602292d,33c895d4,1,90,0,0,0,0,1,1,0,0,34,3,1,0,0.1,0.1,0.1,5,1,14,23,60.9,3,11,0,1,0,2022-09-16,1219daa1
Premier League,Matchweek 9,D 0–0,8602292d,5bfb9659,1,90,0,0,0,0,6,3,0,0,26,0,0,0,1.2,1.2,0.0,4,0,9,17,52.9,0,17,2,4,2,2022-10-02,627d2279
Premier League,Matchweek 10,D 1–1,8602292d,e4a775cb,1,90,0,0,0,0,1,1,0,0,31,0,0,2,0.1,0.1,0.2,1,0,11,19,57.9,1,10,1,2,0,2022-10-10,fb99ddf9
Premier League,Matchweek 11,L 0–2,8602292d,cff3d9bb,1,90,0,0,0,0,3,0,0,0,46,2,1,1,0.2,0.2,0.1,2,0,19,28,67.9,5,32,2,1,0,2022-10-16,7113ce7f
Premier League,Matchweek 12,L 0–3,8602292d,fd962109,1,90,0,0,0,0,4,2,0,0,32,0,0,1,0.5,0.5,0.1,3,0,16,22,72.7,1,22,1,2,1,2022-10-20,e6102606
Premier League,Matchweek 13,W 4–0,8602292d,cd051869,1,80,1,0,0,0,5,5,0,0,34,0,0,1,1.0,1.0,0.0,5,2,15,21,71.4,2,21,1,2,1,2022-10-23,7764ca02
Premier League,Matchweek 14,L 0–4,8602292d,b2b47a98,1,90,0,0,0,0,0,0,1,0,36,0,1,2,0.0,0.0,0.1,0,0,16,26,61.5,3,22,4,3,1,2022-10-29,96f5ee84
Premier League,Matchweek 15,W 3–1,8602292d,19538871,1,77,0,1,0,0,0,0,0,0,29,0,0,1,0.0,0.0,0.2,3,2,15,20,75.0,2,17,2,0,0,2022-11-06,6638574f
Premier League,Matchweek 17,L 1–3,8602292d,822bd0ba,1,90,1,0,0,0,4,3,0,0,25,0,0,2,0.7,0.7,0.0,2,0,6,10,60.0,3,16,1,1,0,2022-12-26,ab7d4465
Premier League,Matchweek 18,W 2–0,8602292d,361ca564,1,90,0,1,0,0,4,0,0,0,27,0,0,2,0.4,0.4,0.2,4,2,9,14,64.3,1,13,2,2,1,2023-01-01,63e8eaf8
Premier League,Matchweek 19,D 1–1,8602292d,8cec06e1,1,65,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,5,0,2,0,2023-01-04,895a1c1f
Premier League,Matchweek 20,W 2–1,8602292d,5bfb9659,1,31,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,3,0,1,0,2023-01-13,ea58bf24
Premier League,Matchweek 21,W 1–0,8602292d,33c895d4,1,90,1,0,0,0,4,1,0,0,28,0,0,0,0.5,0.5,0.0,2,0,9,13,69.2,0,18,0,4,0,2023-01-21,91d49468
Premier League,Matchweek 22,L 2–4,8602292d,a2d435b3,1,90,1,0,0,0,4,1,0,0,25,0,1,1,0.7,0.7,0.1,5,0,8,9,88.9,1,12,0,3,1,2023-02-04,76a2a22c
Premier League,Matchweek 23,L 1–3,8602292d,b8fd03ef,1,90,1,0,0,0,1,1,0,0,16,0,1,0,0.1,0.1,0.2,5,0,8,11,72.7,2,4,2,0,0,2023-02-12,18fcd595
Premier League,Matchweek 24,L 2–4,8602292d,18bb7c10,1,77,1,0,0,0,1,1,0,0,23,2,1,1,0.1,0.1,0.0,1,0,8,12,66.7,1,9,3,3,0,2023-02-18,e50bfcf8
Premier League,Matchweek 25,W 2–0,8602292d,d3fd31cc,1,90,1,0,1,1,3,3,0,0,37,0,0,0,1.5,0.7,0.0,1,0,16,23,69.6,2,20,2,7,3,2023-02-25,25436a3b
Premier League,Matchweek 26,W 1–0,8602292d,47c64c55,1,84,0,0,0,0,1,0,0,0,13,1,0,0,0.7,0.7,0.0,2,0,4,7,57.1,0,7,1,1,0,2023-03-04,433a4487
Premier League,Matchweek 27,D 1–1,8602292d,7c21e445,1,84,1,0,0,0,4,3,0,0,30,1,0,1,0.7,0.7,0.1,1,0,11,17,64.7,0,15,1,3,0,2023-03-12,df6f054e
Premier League,Matchweek 28,W 3–0,8602292d,4ba7cbea,1,90,0,1,0,0,4,3,0,0,22,0,0,0,0.7,0.7,0.4,2,1,9,14,64.3,1,7,2,0,0,2023-03-18,88981274
Premier League,Matchweek 29,W 2–0,8602292d,cff3d9bb,1,90,1,0,0,0,2,1,0,0,31,0,0,1,0.8,0.8,0.0,0,0,10,17,58.8,0,13,1,4,2,2023-04-01,870fa8c9
Premier League,Matchweek 7,W 2–1,8602292d,a2d435b3,1,90,1,0,0,0,3,3,0,0,17,0,0,1,0.5,0.5,0.0,3,0,8,11,72.7,1,6,3,1,1,2023-04-04,f213214b
Premier League,Matchweek 30,W 2–0,8602292d,e4a775cb,1,90,1,0,0,0,4,2,1,0,32,1,0,0,0.6,0.6,0.0,1,1,12,16,75.0,3,11,1,3,1,2023-04-08,68cd68fd
Premier League,Matchweek 31,W 3–0,8602292d,b2b47a98,1,89,2,1,0,0,6,4,0,0,24,0,0,0,1.0,1.0,0.5,3,1,12,14,85.7,0,17,4,0,0,2023-04-15,7bbac622
Premier League,Matchweek 32,D 1–1,8602292d,cd051869,1,90,0,0,0,0,2,0,0,0,25,0,0,2,0.3,0.3,0.0,1,0,15,19,78.9,0,4,0,0,0,2023-04-22,2b51686a
Premier League,Matchweek 33,W 1–0,8602292d,fd962109,1,90,0,0,0,0,4,1,0,0,27,1,0,1,0.3,0.3,0.0,1,1,7,15,46.7,0,13,1,3,0,2023-04-25,8b295a84
Premier League,Matchweek 34,L 0–1,8602292d,19538871,1,90,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.1,1,0,5,11,45.5,0,6,0,1,1,2023-04-30,08607696
Premier League,Matchweek 35,L 0–1,8602292d,8cec06e1,1,90,0,0,0,0,3,1,1,0,25,0,0,0,0.4,0.4,0.1,1,0,9,12,75.0,0,10,1,1,0,2023-05-06,217a7faf
Premier League,Matchweek 36,W 2–1,8602292d,361ca564,1,89,0,0,0,0,1,0,1,0,23,0,0,0,0.5,0.5,0.2,3,1,7,13,53.8,2,18,1,3,1,2023-05-13,362514ee
Premier League,Matchweek 37,D 1–1,8602292d,822bd0ba,1,86,0,0,0,1,0,0,0,0,14,0,1,0,0.8,0.0,0.1,3,0,8,11,72.7,0,10,1,1,1,2023-05-20,72646bde
Premier League,Matchweek 38,W 2–1,8602292d,d07537b9,1,90,1,0,0,0,2,2,0,0,24,3,1,0,1.0,1.0,0.1,5,0,8,11,72.7,2,10,0,2,0,2023-05-28,ac0e65e2
