comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,W 2–1,5bfb9659,8cec06e1,1,90,0,0,0,0,0,0,0,0,50,1,2,0,0.0,0.0,0.0,3,0,31,45,68.9,7,24,0,1,0,2022-08-06,82702941
Premier League,Matchweek 2,D 2–2,5bfb9659,33c895d4,1,90,0,0,0,0,1,1,1,0,65,1,2,1,0.1,0.1,0.0,0,0,34,57,59.6,1,31,1,0,0,2022-08-13,54b33a13
Premier League,Matchweek 3,W 3–0,5bfb9659,cff3d9bb,1,90,0,0,0,0,0,0,0,0,58,2,2,3,0.0,0.0,0.0,1,0,35,45,77.8,6,17,0,2,0,2022-08-21,a5632124
Premier League,Matchweek 4,L 0–1,5bfb9659,d07537b9,1,90,0,0,0,0,0,0,0,0,59,2,2,2,0.0,0.0,0.0,1,0,36,52,69.2,3,22,2,0,0,2022-08-27,77c70160
Premier League,Matchweek 5,D 1–1,5bfb9659,d3fd31cc,1,90,0,0,0,0,0,0,1,0,76,4,2,1,0.0,0.0,0.1,3,0,55,69,79.7,4,28,1,1,1,2022-08-30,42d294e5
Premier League,Matchweek 9,D 0–0,5bfb9659,8602292d,1,67,0,0,0,0,0,0,0,0,56,2,2,0,0.0,0.0,0.0,1,0,33,47,70.2,5,22,1,1,1,2022-10-02,627d2279
Premier League,Matchweek 10,L 1–2,5bfb9659,47c64c55,1,83,0,0,0,0,0,0,1,0,52,4,4,4,0.0,0.0,0.0,0,0,25,36,69.4,1,8,0,0,0,2022-10-09,f9563020
Premier League,Matchweek 11,L 0–1,5bfb9659,18bb7c10,1,90,0,0,0,0,0,0,0,0,58,6,3,0,0.0,0.0,0.0,1,0,37,48,77.1,3,33,1,0,0,2022-10-16,92885cfc
Premier League,Matchweek 12,L 0–2,5bfb9659,a2d435b3,1,90,0,0,0,0,1,0,0,0,72,6,0,0,0.0,0.0,0.3,1,0,39,60,65.0,2,22,1,2,1,2022-10-20,6356af5a
Premier League,Matchweek 13,L 2–3,5bfb9659,fd962109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-23,d7b30e2b
Premier League,Matchweek 14,W 2–1,5bfb9659,822bd0ba,1,90,0,0,0,0,2,0,0,0,73,1,2,0,0.1,0.1,0.2,3,0,41,60,68.3,1,27,1,0,0,2022-10-29,b5b1e744
Premier League,Matchweek 15,W 4–3,5bfb9659,4ba7cbea,1,90,0,0,0,0,1,0,1,0,74,5,0,2,0.1,0.1,0.0,2,0,48,63,76.2,8,36,2,3,2,2022-11-05,63975c3e
Premier League,Matchweek 16,L 3–4,5bfb9659,361ca564,1,88,0,1,0,0,1,0,0,0,79,0,0,2,0.0,0.0,0.1,4,2,44,71,62.0,3,41,2,0,0,2022-11-12,0030e686
Premier League,Matchweek 17,L 1–3,5bfb9659,b8fd03ef,1,64,0,0,0,0,1,0,0,0,30,2,0,4,0.0,0.0,0.0,0,0,13,19,68.4,2,12,0,0,0,2022-12-28,a85ef749
Premier League,Matchweek 18,D 0–0,5bfb9659,b2b47a98,0,21,0,0,0,0,0,0,0,0,7,2,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,1,0,0,0,2022-12-31,0facecde
Premier League,Matchweek 19,D 2–2,5bfb9659,7c21e445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-04,068406dc
Premier League,Matchweek 20,L 1–2,5bfb9659,8602292d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-13,ea58bf24
Premier League,Matchweek 21,D 0–0,5bfb9659,cd051869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-22,f0e7d8a8
