comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,W 2–1,5bfb9659,8cec06e1,1,64,1,0,0,0,3,1,0,0,31,0,2,1,0.1,0.1,0.0,0,0,11,20,55.0,3,20,1,0,0,2022-08-06,82702941
Premier League,Matchweek 2,D 2–2,5bfb9659,33c895d4,1,90,2,0,0,0,5,3,0,0,48,0,0,0,1.3,1.3,0.3,4,0,26,33,78.8,3,31,1,1,0,2022-08-13,54b33a13
Premier League,Matchweek 3,W 3–0,5bfb9659,cff3d9bb,Y*,82,1,1,0,0,5,2,0,0,31,0,0,0,0.6,0.6,0.5,2,1,11,18,61.1,1,13,2,3,0,2022-08-21,a5632124
Premier League,Matchweek 4,L 0–1,5bfb9659,d07537b9,Y*,90,0,0,0,0,5,1,0,0,40,1,0,0,0.3,0.3,0.0,1,0,21,29,72.4,2,24,3,0,0,2022-08-27,77c70160
Premier League,Matchweek 5,D 1–1,5bfb9659,d3fd31cc,Y*,31,0,0,0,0,1,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,6,8,75.0,1,4,0,0,0,2022-08-30,42d294e5
Premier League,Matchweek 9,D 0–0,5bfb9659,8602292d,1,67,0,0,0,0,3,0,1,0,24,0,0,0,0.1,0.1,0.0,1,0,12,17,70.6,0,8,0,0,0,2022-10-02,627d2279
Premier League,Matchweek 10,L 1–2,5bfb9659,47c64c55,1,90,0,0,0,0,1,0,0,0,40,2,0,2,0.0,0.0,0.2,4,0,21,33,63.6,4,29,1,4,3,2022-10-09,f9563020
Premier League,Matchweek 11,L 0–1,5bfb9659,18bb7c10,1,45,0,0,0,0,3,0,0,0,25,1,0,1,0.2,0.2,0.0,4,0,14,19,73.7,3,15,2,1,1,2022-10-16,92885cfc
Premier League,Matchweek 12,L 0–2,5bfb9659,a2d435b3,0,45,0,0,0,0,2,0,0,0,22,3,0,0,0.1,0.1,0.0,0,0,9,12,75.0,1,11,2,1,0,2022-10-20,6356af5a
Premier League,Matchweek 13,L 2–3,5bfb9659,fd962109,1,63,1,0,0,0,3,2,0,0,27,1,0,0,0.5,0.5,0.0,1,0,14,19,73.7,1,19,2,0,0,2022-10-23,d7b30e2b
Premier League,Matchweek 14,W 2–1,5bfb9659,822bd0ba,1,51,1,0,0,0,2,2,0,0,24,0,0,0,1.0,1.0,0.2,3,0,13,20,65.0,1,17,2,0,0,2022-10-29,b5b1e744
Premier League,Matchweek 15,W 4–3,5bfb9659,4ba7cbea,1,80,1,0,1,1,2,0,0,0,34,1,0,1,0.9,0.1,0.0,0,0,14,22,63.6,0,20,2,2,1,2022-11-05,63975c3e
Premier League,Matchweek 16,L 3–4,5bfb9659,361ca564,1,88,2,0,0,0,3,2,0,0,34,1,0,1,0.3,0.3,0.0,1,0,22,26,84.6,1,13,1,1,0,2022-11-12,0030e686
Premier League,Matchweek 17,L 1–3,5bfb9659,b8fd03ef,1,71,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.1,1,0,18,21,85.7,0,10,0,0,0,2022-12-28,a85ef749
Premier League,Matchweek 18,D 0–0,5bfb9659,b2b47a98,1,81,0,0,0,0,3,1,0,0,23,0,0,1,0.1,0.1,0.0,0,0,9,17,52.9,1,17,3,0,0,2022-12-31,0facecde
Premier League,Matchweek 19,D 2–2,5bfb9659,7c21e445,1,90,1,0,0,0,4,3,1,0,31,0,0,0,0.3,0.3,0.0,1,0,12,19,63.2,1,16,1,1,0,2023-01-04,068406dc
Premier League,Matchweek 20,L 1–2,5bfb9659,8602292d,1,90,0,0,0,0,5,0,0,0,36,0,0,1,0.5,0.5,0.2,4,1,16,20,80.0,2,18,5,2,1,2023-01-13,ea58bf24
Premier League,Matchweek 21,D 0–0,5bfb9659,cd051869,1,78,0,0,0,0,2,2,1,0,45,0,1,2,0.1,0.1,0.0,3,0,25,37,67.6,5,25,3,1,1,2023-01-22,f0e7d8a8
Premier League,Matchweek 27,D 2–2,5bfb9659,d07537b9,0,25,0,0,0,0,0,0,0,0,11,0,1,0,0.0,0.0,0.0,0,0,4,5,80.0,1,8,0,0,0,2023-03-11,3f653d6f
Premier League,Matchweek 28,W 4–2,5bfb9659,8cec06e1,0,24,1,0,0,0,1,1,0,0,19,2,0,1,0.3,0.3,0.0,0,0,6,11,54.5,1,10,2,1,0,2023-03-18,3cb714a4
Premier League,Matchweek 29,L 1–4,5bfb9659,18bb7c10,0,26,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,6,7,85.7,0,6,0,0,0,2023-04-01,2e4383ca
Premier League,Matchweek 7,W 2–1,5bfb9659,e4a775cb,0,17,0,0,0,0,1,1,0,0,17,1,1,0,0.0,0.0,0.0,3,0,5,9,55.6,2,7,1,1,1,2023-04-04,1251d1c0
Premier League,Matchweek 30,L 1–5,5bfb9659,47c64c55,0,31,0,0,0,0,0,0,0,0,23,2,0,0,0.0,0.0,0.0,0,0,14,19,73.7,4,15,1,1,1,2023-04-09,a1c39217
Premier League,Matchweek 31,L 1–6,5bfb9659,822bd0ba,Y*,65,0,0,0,0,3,1,0,0,19,0,0,1,0.3,0.3,0.0,2,0,11,14,78.6,2,15,1,2,2,2023-04-17,fd3d05f5
Premier League,Matchweek 32,L 1–2,5bfb9659,fd962109,1,64,0,0,0,0,1,0,0,0,26,1,0,1,0.1,0.1,0.0,1,0,13,20,65.0,1,15,0,1,0,2023-04-22,f2d8700d
Premier League,Matchweek 33,D 1–1,5bfb9659,a2d435b3,1,67,0,0,0,0,2,0,1,0,34,4,1,1,0.2,0.2,0.0,2,0,13,16,81.3,1,13,0,1,0,2023-04-25,56c70cf7
Premier League,Matchweek 34,L 1–4,5bfb9659,4ba7cbea,0,21,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,2,0,0,0,2023-04-30,0b0733ce
Premier League,Matchweek 35,L 1–2,5bfb9659,b8fd03ef,0,33,1,0,0,0,1,1,1,0,7,1,0,0,0.1,0.1,0.0,0,0,0,2,0.0,0,3,0,0,0,2023-05-06,7ee695ea
Premier League,Matchweek 36,D 2–2,5bfb9659,b2b47a98,1,86,0,0,0,0,1,1,0,0,31,2,0,2,0.2,0.2,0.0,2,1,14,18,77.8,0,16,1,1,0,2023-05-13,d63581e0
Premier League,Matchweek 37,L 1–3,5bfb9659,7c21e445,1,90,1,0,0,0,2,1,1,0,23,1,0,0,0.1,0.1,0.0,3,0,11,15,73.3,1,16,2,0,0,2023-05-21,0359c7d5
Premier League,Matchweek 38,L 1–4,5bfb9659,361ca564,1,90,0,0,0,0,2,0,0,0,33,0,0,0,0.1,0.1,0.3,2,1,15,21,71.4,1,15,1,4,1,2023-05-28,c9c73ddd
