comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,D 2–2,a2d435b3,cd051869,1,90,1,0,0,0,1,1,0,0,63,0,1,2,0.2,0.2,0.0,3,0,46,55,83.6,0,34,4,2,0,2022-08-07,3249ba27
Premier League,Matchweek 2,L 2–4,a2d435b3,18bb7c10,1,90,0,0,0,0,0,0,0,0,62,1,1,0,0.0,0.0,0.0,0,0,43,52,82.7,3,36,0,1,0,2022-08-13,7483b97f
Premier League,Matchweek 3,L 1–2,a2d435b3,33c895d4,1,90,0,0,0,0,0,0,0,0,85,0,1,0,0.0,0.0,0.0,0,0,61,77,79.2,5,45,1,1,1,2022-08-20,02efd4d1
Premier League,Matchweek 4,L 1–2,a2d435b3,cff3d9bb,1,90,0,0,0,0,2,1,0,0,90,1,1,1,0.4,0.4,0.0,3,0,63,74,85.1,3,26,2,0,0,2022-08-27,b737a3a7
Premier League,Matchweek 5,L 0–1,a2d435b3,19538871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-09-01,c1f25d02
Premier League,Matchweek 6,L 2–5,a2d435b3,d07537b9,0,45,0,0,0,0,0,0,0,0,14,1,0,0,0.0,0.0,0.0,0,0,7,9,77.8,0,4,1,1,1,2022-09-04,42d5b3b1
Premier League,Matchweek 8,L 2–6,a2d435b3,361ca564,1,90,0,1,0,0,0,0,0,0,57,2,2,1,0.0,0.0,0.0,3,1,41,50,82.0,1,25,2,0,0,2022-09-17,99e44c16
Premier League,Matchweek 9,W 4–0,a2d435b3,e4a775cb,1,90,0,0,0,0,0,0,0,0,53,1,1,0,0.0,0.0,0.1,3,0,48,53,90.6,4,35,4,1,0,2022-10-03,a7976021
Premier League,Matchweek 10,L 1–2,a2d435b3,4ba7cbea,1,66,0,0,0,0,0,0,0,0,49,3,0,1,0.0,0.0,0.2,2,0,35,41,85.4,4,18,0,0,0,2022-10-08,7db2a40a
Premier League,Matchweek 11,D 0–0,a2d435b3,47c64c55,1,90,0,0,0,0,2,1,0,0,74,4,2,0,0.2,0.2,0.0,0,0,41,60,68.3,3,38,2,2,1,2022-10-15,37677e58
