comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,D 2–2,cd051869,a2d435b3,1,90,0,0,0,0,0,0,0,0,61,3,0,0,0.0,0.0,0.2,2,0,46,52,88.5,4,41,4,2,1,2022-08-07,3249ba27
Premier League,Matchweek 2,W 4–0,cd051869,19538871,0,29,0,0,0,0,1,0,0,0,17,1,0,0,0.1,0.1,0.0,4,0,12,14,85.7,0,3,0,3,3,2022-08-13,04712d4e
Premier League,Matchweek 3,L 2–3,cd051869,fd962109,0,31,0,0,0,0,0,0,0,0,19,1,0,0,0.0,0.0,0.0,0,0,16,18,88.9,0,9,0,0,0,2022-08-20,a107c037
Premier League,Matchweek 4,D 1–1,cd051869,d3fd31cc,0,22,1,0,0,0,3,2,0,0,29,0,0,1,0.8,0.8,0.0,2,0,21,24,87.5,2,21,1,1,1,2022-08-27,db59fc65
Premier League,Matchweek 5,D 1–1,cd051869,47c64c55,1,90,0,1,0,0,0,0,0,0,77,0,4,1,0.0,0.0,0.3,2,1,58,69,84.1,3,52,1,2,2,2022-08-30,e1d6440f
Premier League,Matchweek 6,W 5–2,cd051869,5bfb9659,1,66,0,0,0,0,0,0,0,0,30,5,1,1,0.0,0.0,0.0,1,1,13,18,72.2,0,10,0,1,1,2022-09-03,88f9aad9
Premier League,Matchweek 8,L 0–3,cd051869,18bb7c10,1,62,0,0,0,0,0,0,0,0,26,2,2,0,0.0,0.0,0.0,0,0,13,18,72.2,0,15,0,1,1,2022-09-18,fd5626e6
Premier League,Matchweek 9,D 0–0,cd051869,4ba7cbea,1,90,0,0,0,0,0,0,0,0,56,3,0,1,0.0,0.0,0.1,2,0,44,50,88.0,2,41,1,0,0,2022-10-01,f2e86b27
Premier League,Matchweek 10,L 1–5,cd051869,b2b47a98,0,45,0,0,0,0,0,0,0,0,18,1,0,0,0.0,0.0,0.0,1,1,13,14,92.9,3,8,0,1,0,2022-10-08,7dd42d3f
Premier League,Matchweek 11,W 2–0,cd051869,d07537b9,1,90,0,0,0,0,0,0,0,0,35,3,2,3,0.0,0.0,0.0,1,0,18,22,81.8,2,6,0,0,0,2022-10-14,69409682
Premier League,Matchweek 12,D 0–0,cd051869,cff3d9bb,1,89,0,0,0,0,1,0,0,0,40,2,2,1,0.0,0.0,0.0,2,0,26,29,89.7,4,17,0,1,0,2022-10-19,b7a32aeb
Premier League,Matchweek 13,L 0–4,cd051869,8602292d,1,90,0,0,0,0,0,0,0,0,52,1,2,0,0.0,0.0,0.1,1,0,43,48,89.6,5,37,0,0,0,2022-10-23,7764ca02
Premier League,Matchweek 14,D 1–1,cd051869,8cec06e1,1,90,0,0,0,0,0,0,0,0,55,1,0,0,0.0,0.0,0.0,3,0,39,48,81.3,2,30,0,1,0,2022-10-29,41e403d3
Premier League,Matchweek 15,D 2–2,cd051869,e4a775cb,1,45,0,0,0,0,0,0,1,0,20,1,0,0,0.0,0.0,0.0,0,0,16,18,88.9,3,13,0,0,0,2022-11-05,12251835
Premier League,Matchweek 16,W 2–1,cd051869,b8fd03ef,1,61,0,0,0,0,0,0,0,0,14,1,1,1,0.0,0.0,0.0,1,0,5,9,55.6,1,4,0,0,0,2022-11-12,28b60c1b
Premier League,Matchweek 17,D 2–2,cd051869,361ca564,1,90,1,0,0,0,1,1,0,0,55,5,0,4,0.9,0.9,0.1,1,0,21,42,50.0,3,19,0,0,0,2022-12-26,14e4f648
Premier League,Matchweek 18,W 2–0,cd051869,7c21e445,0,32,0,0,0,0,0,0,0,0,16,1,1,0,0.0,0.0,0.0,1,0,10,14,71.4,2,2,0,0,0,2022-12-30,56acbbbe
Premier League,Matchweek 19,W 3–1,cd051869,822bd0ba,1,86,0,0,0,0,1,1,0,0,38,5,1,2,0.0,0.0,0.0,2,0,8,18,44.4,2,11,0,1,0,2023-01-02,af6aa183
Premier League,Matchweek 20,W 2–0,cd051869,4ba7cbea,1,90,0,0,0,0,1,0,0,0,82,3,0,1,0.0,0.0,0.0,4,0,51,69,73.9,6,46,2,2,0,2023-01-14,3f992264
Premier League,Matchweek 21,D 0–0,cd051869,5bfb9659,0,31,0,0,0,0,0,0,0,0,11,0,0,1,0.0,0.0,0.0,0,0,4,9,44.4,0,3,0,0,0,2023-01-22,f0e7d8a8
Premier League,Matchweek 22,W 3–0,cd051869,33c895d4,0,30,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,8,14,57.1,0,10,1,0,0,2023-02-04,ef31dad5
Premier League,Matchweek 23,D 1–1,cd051869,18bb7c10,1,70,0,0,0,0,0,0,0,0,29,4,1,1,0.0,0.0,0.0,3,0,17,19,89.5,4,9,1,2,0,2023-02-11,7caa56bc
Premier League,Matchweek 24,D 1–1,cd051869,47c64c55,0,15,1,0,0,0,2,1,0,0,22,0,0,0,0.2,0.2,0.0,0,0,14,18,77.8,5,13,0,0,0,2023-02-18,f6370484
Premier League,Matchweek 26,W 3–2,cd051869,fd962109,0,15,0,0,0,0,0,0,0,0,10,2,0,0,0.0,0.0,0.0,0,0,2,7,28.6,0,3,0,0,0,2023-03-06,3dce3a24
Premier League,Matchweek 27,L 0–1,cd051869,d3fd31cc,1,90,0,0,0,0,0,0,0,0,53,0,0,0,0.0,0.0,0.2,2,0,36,49,73.5,6,29,0,2,0,2023-03-11,980f57d4
Premier League,Matchweek 7,W 2–0,cd051869,33c895d4,1,44,0,0,0,0,1,0,0,0,19,1,2,2,0.0,0.0,0.0,1,0,9,13,69.2,1,9,0,0,0,2023-03-15,a4202b5b
Premier League,Matchweek 30,L 1–2,cd051869,b2b47a98,0,10,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,7,8,87.5,2,5,1,0,0,2023-04-08,a5e78e89
Premier League,Matchweek 31,L 0–2,cd051869,8cec06e1,0,30,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.1,2,0,17,22,77.3,3,12,0,0,0,2023-04-15,b2402736
Premier League,Matchweek 32,D 1–1,cd051869,8602292d,1,75,0,0,0,0,0,0,1,0,28,1,1,0,0.0,0.0,0.0,0,0,16,24,66.7,0,17,0,0,0,2023-04-22,2b51686a
Premier League,Matchweek 33,W 2–0,cd051869,cff3d9bb,1,90,0,0,0,0,0,0,0,0,45,2,4,2,0.0,0.0,0.1,3,0,25,34,73.5,2,19,0,1,0,2023-04-26,071b5820
Premier League,Matchweek 34,W 2–1,cd051869,e4a775cb,1,70,0,0,0,0,0,0,0,0,62,0,2,1,0.0,0.0,0.0,1,0,49,55,89.1,6,46,0,2,0,2023-04-29,3aeacbaa
Premier League,Matchweek 35,L 0–1,cd051869,822bd0ba,1,80,0,0,0,0,0,0,0,0,35,0,0,1,0.0,0.0,0.0,0,0,29,33,87.9,3,24,0,0,0,2023-05-06,6e2d1c8c
Premier League,Matchweek 36,W 2–0,cd051869,7c21e445,1,90,0,0,0,0,0,0,0,0,68,3,1,2,0.0,0.0,0.1,2,1,51,58,87.9,4,34,2,1,0,2023-05-14,9a41c925
Premier League,Matchweek 37,W 3–1,cd051869,361ca564,1,90,0,0,0,0,0,0,0,0,44,1,1,3,0.0,0.0,0.0,1,0,31,36,86.1,2,25,0,0,0,2023-05-20,28ebbaf2
