General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes
Player,Nation,Pos,Age,Born,Mp,Starts,Min,90s,Gls,Ast,G+a,G-pk,Pk,Pkatt,Crdy,Crdr,Xg,Npxg,Xag,Npxg+xag,Prgc,Prgp,Prgr,Gls,Ast,G+a,G-pk,G+a-pk,Xg,Xag,Xg+xag,Npxg,Npxg+xag
Aiham Ousou,SYR,DF,23,2000,6,5,430,4.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,7,0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
Borja Vázquez,ESP,FW,18,2005,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.7,0.0,1.7
Brian Ocampo,URU,"MF,FW",24,1999,13,1,248,2.8,1,0,1,1,0,0,2,0,0.3,0.3,0.1,0.3,18,9,25,0.36,0.0,0.36,0.36,0.36,0.1,0.03,0.13,0.1,0.13
Chris Ramos,ESP,"FW,MF",26,1997,37,30,2612,29.0,5,1,6,5,0,0,5,0,10.1,10.1,1.7,11.7,31,28,102,0.17,0.03,0.21,0.17,0.21,0.35,0.06,0.4,0.35,0.4
Darwin Machís,VEN,MF,30,1993,21,10,785,8.7,4,0,4,3,1,1,0,1,1.4,0.6,0.7,1.3,20,15,54,0.46,0.0,0.46,0.34,0.34,0.16,0.08,0.24,0.07,0.15
David Gil,ESP,GK,29,1994,5,4,372,4.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diadie Samassékou,MLI,MF,27,1996,4,0,92,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,7,1,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.04,0.03,0.04
Fali,ESP,DF,29,1993,30,30,2547,28.3,0,0,0,0,0,0,12,0,0.8,0.8,0.1,0.9,16,82,10,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
Fede San Emeterio,ESP,MF,26,1997,4,3,152,1.7,1,0,1,1,0,0,1,1,0.1,0.1,0.1,0.1,0,4,0,0.59,0.0,0.59,0.59,0.59,0.03,0.05,0.09,0.03,0.09
Gonzalo Escalante,ARG,MF,30,1993,25,18,1697,18.9,1,2,3,1,0,0,2,1,1.9,1.9,1.7,3.6,4,66,14,0.05,0.11,0.16,0.05,0.16,0.1,0.09,0.19,0.1,0.19
