General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes
Player,Nation,Pos,Age,Born,Mp,Starts,Min,90s,Gls,Ast,G+a,G-pk,Pk,Pkatt,Crdy,Crdr,Xg,Npxg,Xag,Npxg+xag,Prgc,Prgp,Prgr,Gls,Ast,G+a,G-pk,G+a-pk,Xg,Xag,Xg+xag,Npxg,Npxg+xag
Aarón Escandell,ESP,GK,27,1995,2,1,153,1.7,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberto Moleiro,ESP,"FW,MF",19,2003,28,21,1803,20.0,3,3,6,3,0,0,1,0,2.0,2.0,2.7,4.6,86,87,184,0.15,0.15,0.3,0.15,0.3,0.1,0.13,0.23,0.1,0.23
Benito Ramírez,ESP,"FW,MF",28,1995,20,2,384,4.3,1,1,2,1,0,0,0,0,0.4,0.4,0.5,0.9,13,5,46,0.23,0.23,0.47,0.23,0.47,0.09,0.13,0.22,0.09,0.22
Cristian Herrera,ESP,"FW,MF",32,1991,8,1,166,1.8,1,0,1,1,0,0,1,0,0.9,0.9,0.0,0.9,2,8,16,0.54,0.0,0.54,0.54,0.54,0.48,0.02,0.5,0.48,0.5
Daley Sinkgraven,NED,DF,28,1995,10,6,374,4.2,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,3,17,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enzo Loiodice,FRA,MF,22,2000,34,19,1790,19.9,0,1,1,0,0,0,2,0,0.5,0.5,1.3,1.9,27,97,72,0.0,0.05,0.05,0.0,0.05,0.03,0.07,0.09,0.03,0.09
Eric Curbelo,ESP,"DF,MF",29,1994,2,1,102,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fabio González,ESP,MF,26,1997,6,1,123,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iñaki González,ESP,MF,19,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Javier Muñoz,ESP,MF,28,1995,37,30,2640,29.3,2,3,5,2,0,0,6,0,2.5,2.5,1.4,4.0,33,122,126,0.07,0.1,0.17,0.07,0.17,0.09,0.05,0.14,0.09,0.14
Jonathan Viera,ESP,"MF,FW",33,1989,9,7,617,6.9,2,1,3,0,2,2,1,0,2.3,0.7,1.0,1.7,26,65,37,0.29,0.15,0.44,0.0,0.15,0.33,0.14,0.47,0.1,0.24
