General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes
Player,Nation,Pos,Age,Born,Mp,Starts,Min,90s,Gls,Ast,G+a,G-pk,Pk,Pkatt,Crdy,Crdr,Xg,Npxg,Xag,Npxg+xag,Prgc,Prgp,Prgr,Gls,Ast,G+a,G-pk,G+a-pk,Xg,Xag,Xg+xag,Npxg,Npxg+xag
Adrian Beck,GER,"MF,FW",26,1997,23,11,974,10.8,1,1,2,1,0,0,1,0,1.7,1.7,0.8,2.5,17,29,43,0.09,0.09,0.18,0.09,0.18,0.16,0.07,0.23,0.16,0.23
Benedikt Gimber,GER,DF,26,1997,24,24,2021,22.5,1,1,2,1,0,0,9,0,1.4,1.4,1.1,2.5,3,25,6,0.04,0.04,0.09,0.04,0.09,0.06,0.05,0.11,0.06,0.11
Christian Kühlwetter,GER,MF,27,1996,1,0,8,0.1,0,1,1,0,0,0,0,0,0.0,0.0,0.6,0.6,1,0,0,0.0,11.25,11.25,0.0,11.25,0.0,6.85,6.85,0.0,6.85
Denis Thomalla,GER,"MF,FW",30,1992,21,3,446,5.0,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,3,22,19,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.13,0.06,0.13
Eren Dinkçi,GER,"FW,MF",21,2001,33,33,2650,29.4,10,5,15,10,0,0,8,0,4.3,4.3,3.7,8.0,85,89,143,0.34,0.17,0.51,0.34,0.51,0.15,0.13,0.27,0.15,0.27
Florian Pick,GER,"MF,FW",27,1995,22,1,327,3.6,0,1,1,0,0,0,2,0,0.3,0.3,0.8,1.1,12,12,34,0.0,0.28,0.28,0.0,0.28,0.08,0.21,0.29,0.08,0.29
Jan Schöppner,GER,MF,24,1999,26,23,1998,22.2,2,2,4,2,0,0,3,0,1.1,1.1,1.5,2.6,16,72,32,0.09,0.09,0.18,0.09,0.18,0.05,0.07,0.12,0.05,0.12
Jan-Niklas Beste,GER,"FW,MF",24,1999,31,31,2603,28.9,8,11,19,8,0,1,4,0,4.3,3.5,5.7,9.2,80,57,136,0.28,0.38,0.66,0.28,0.66,0.15,0.2,0.35,0.12,0.32
Jonas Föhrenbach,GER,DF,27,1996,33,32,2788,31.0,0,0,0,0,0,0,2,0,0.5,0.5,0.8,1.3,44,96,69,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.04,0.02,0.04
Kevin Müller,GER,GK,32,1991,34,34,3060,34.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Sessa,GER,"MF,FW",23,2000,30,7,1011,11.2,3,0,3,3,0,0,1,0,2.9,2.9,1.3,4.2,29,51,48,0.27,0.0,0.27,0.27,0.27,0.25,0.12,0.37,0.25,0.37
Lennard Maloney,USA,MF,23,1999,29,27,2284,25.4,1,1,2,1,0,0,1,0,0.8,0.8,1.1,1.8,3,62,17,0.04,0.04,0.08,0.04,0.08,0.03,0.04,0.07,0.03,0.07
Marnon Busch,GER,DF,28,1994,16,5,595,6.6,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,15,34,27,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06
Marvin Pieringer,GER,"MF,FW",23,1999,31,18,1513,16.8,3,3,6,3,0,0,5,0,2.3,2.3,2.1,4.4,28,41,72,0.18,0.18,0.36,0.18,0.36,0.14,0.13,0.26,0.14,0.26
Nikola Dovedan,AUT,"MF,FW",29,1994,21,5,656,7.3,3,1,4,3,0,0,0,1,1.9,1.9,0.6,2.6,12,22,25,0.41,0.14,0.55,0.41,0.55,0.26,0.09,0.35,0.26,0.35
Norman Theuerkauf,GER,"MF,DF",36,1987,25,14,1259,14.0,0,1,1,0,0,0,3,0,0.4,0.4,0.8,1.2,15,46,17,0.0,0.07,0.07,0.0,0.07,0.03,0.06,0.09,0.03,0.09
Omar Traoré,GER,DF,25,1998,31,29,2472,27.5,0,2,2,0,0,0,5,0,0.3,0.3,1.3,1.6,61,78,91,0.0,0.07,0.07,0.0,0.07,0.01,0.05,0.06,0.01,0.06
Patrick Mainka,GER,DF,28,1994,34,34,3060,34.0,2,0,2,2,0,0,1,0,3.2,3.2,0.1,3.2,33,122,6,0.06,0.0,0.06,0.06,0.06,0.09,0.0,0.09,0.09,0.09
Stefan Schimmer,GER,"MF,FW",29,1994,16,0,153,1.7,0,1,1,0,0,0,0,0,0.6,0.6,0.9,1.5,1,2,12,0.0,0.59,0.59,0.0,0.59,0.34,0.51,0.85,0.34,0.85
Thomas Keller,GER,"MF,FW",23,1999,2,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tim Kleindienst,GER,FW,27,1995,33,33,2869,31.9,12,3,15,10,2,2,6,0,13.9,12.3,3.3,15.6,40,73,178,0.38,0.09,0.47,0.31,0.41,0.44,0.1,0.54,0.39,0.49
Tim Siersleben,GER,DF,23,2000,14,10,910,10.1,0,0,0,0,0,0,1,0,0.2,0.2,0.5,0.7,12,48,1,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
