General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes
Player,Nation,Pos,Age,Born,Mp,Starts,Min,90s,Gls,Ast,G+a,G-pk,Pk,Pkatt,Crdy,Crdr,Xg,Npxg,Xag,Npxg+xag,Prgc,Prgp,Prgr,Gls,Ast,G+a,G-pk,G+a-pk,Xg,Xag,Xg+xag,Npxg,Npxg+xag
Andrej Kramarić,CRO,"MF,FW",32,1991,30,25,2199,24.4,15,6,21,10,5,5,4,0,11.1,7.1,7.3,14.5,71,119,175,0.61,0.25,0.86,0.41,0.65,0.45,0.3,0.75,0.29,0.59
Angelo Stiller,GER,MF,22,2001,1,1,84,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,7,3,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.12,0.09,0.12
Anton Stach,GER,MF,24,1998,31,26,2321,25.8,2,3,5,2,0,0,4,0,1.7,1.7,3.5,5.2,49,143,46,0.08,0.12,0.19,0.08,0.19,0.07,0.13,0.2,0.07,0.2
Attila Szalai,HUN,DF,25,1998,4,4,288,3.2,0,0,0,0,0,0,1,0,0.0,0.0,0.5,0.5,2,13,3,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.0,0.16
Bambasé Conté,GER,"MF,FW",20,2003,7,0,48,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,2,8,0.0,0.0,0.0,0.0,0.0,0.34,0.07,0.41,0.34,0.41
David Jurásek,CZE,DF,22,2000,13,4,496,5.5,0,1,1,0,0,0,1,0,0.2,0.2,1.0,1.1,12,12,38,0.0,0.18,0.18,0.0,0.18,0.03,0.18,0.21,0.03,0.21
Dennis Geiger,GER,MF,25,1998,3,0,64,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,1,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.31,0.0,0.31
Diadie Samassékou,MLI,MF,27,1996,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finn Ole Becker,GER,MF,23,2000,22,5,606,6.7,0,0,0,0,0,0,1,0,0.2,0.2,0.4,0.6,16,36,23,0.0,0.0,0.0,0.0,0.0,0.04,0.06,0.09,0.04,0.09
Florian Grillitsch,AUT,"DF,MF",27,1995,30,25,2295,25.5,1,6,7,1,0,0,8,0,1.2,1.2,1.7,2.9,32,152,22,0.04,0.24,0.27,0.04,0.27,0.05,0.07,0.12,0.05,0.12
Grischa Prömel,GER,MF,28,1995,28,27,2139,23.8,4,5,9,4,0,0,10,1,3.8,3.8,2.8,6.6,35,96,60,0.17,0.21,0.38,0.17,0.38,0.16,0.12,0.28,0.16,0.28
Ihlas Bebou,TOG,"FW,DF",29,1994,32,16,1636,18.2,7,5,12,7,0,0,3,0,4.9,4.9,2.6,7.5,42,38,145,0.39,0.28,0.66,0.39,0.66,0.27,0.14,0.41,0.27,0.41
John Brooks,USA,DF,30,1993,21,18,1539,17.1,2,0,2,2,0,0,6,1,2.6,2.6,0.1,2.7,5,61,1,0.12,0.0,0.12,0.12,0.12,0.15,0.01,0.16,0.15,0.16
Julian Justvan,GER,"FW,MF",25,1998,4,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,5,12,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07
Kasim Nuhu,GHA,DF,28,1995,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Akpoguma,NGA,DF,28,1995,17,11,1097,12.2,0,0,0,0,0,0,7,0,0.3,0.3,0.3,0.6,10,55,9,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.05,0.02,0.05
Kevin Vogt,GER,DF,31,1991,16,14,1319,14.7,0,0,0,0,0,0,2,0,0.7,0.7,0.1,0.8,16,84,12,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.05,0.05,0.05
Marius Bülter,GER,"DF,FW",30,1993,30,15,1351,15.0,1,4,5,1,0,0,3,1,1.4,1.4,3.4,4.9,37,60,107,0.07,0.27,0.33,0.07,0.33,0.1,0.23,0.32,0.1,0.32
Max Moerstedt,GER,"DF,FW",,,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maximilian Beier,GER,"FW,MF",20,2002,33,29,2420,26.9,16,1,17,16,0,0,0,0,11.4,11.4,2.4,13.8,61,30,224,0.6,0.04,0.63,0.6,0.63,0.43,0.09,0.51,0.43,0.51
Mergim Berisha,GER,FW,25,1998,6,0,144,1.6,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.8,2,3,13,0.0,0.0,0.0,0.0,0.0,0.32,0.19,0.51,0.32,0.51
Oliver Baumann,GER,GK,33,1990,34,34,3060,34.0,0,1,1,0,0,0,1,0,0.0,0.0,0.2,0.2,0,1,0,0.0,0.03,0.03,0.0,0.03,0.0,0.01,0.01,0.0,0.01
Ozan Kabak,TUR,DF,23,2000,28,28,2282,25.4,4,0,4,4,0,0,11,1,2.2,2.2,1.1,3.3,21,110,11,0.16,0.0,0.16,0.16,0.16,0.09,0.04,0.13,0.09,0.13
Pavel Kadeřábek,CZE,"DF,FW",31,1992,29,28,2412,26.8,3,4,7,3,0,0,7,0,2.5,2.5,4.7,7.2,38,88,153,0.11,0.15,0.26,0.11,0.26,0.09,0.18,0.27,0.09,0.27
Robert Skov,DEN,"DF,FW",27,1996,25,14,1260,14.0,3,4,7,3,0,0,2,0,1.8,1.8,1.9,3.7,28,71,92,0.21,0.29,0.5,0.21,0.5,0.13,0.14,0.26,0.13,0.26
Stanley N'Soki,FRA,DF,24,1999,11,7,631,7.0,0,0,0,0,0,0,3,1,0.0,0.0,0.1,0.1,7,37,14,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
Tim Drexler,GER,DF,18,2005,8,6,573,6.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,6,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom Bischof,GER,"MF,FW",18,2005,13,1,178,2.0,0,2,2,0,0,0,0,0,0.4,0.4,0.8,1.2,2,18,18,0.0,1.01,1.01,0.0,1.01,0.19,0.4,0.59,0.19,0.59
Umut Tohumcu,GER,MF,18,2004,20,12,1011,11.2,0,2,2,0,0,0,5,0,0.5,0.5,1.1,1.6,18,46,27,0.0,0.18,0.18,0.0,0.18,0.04,0.1,0.14,0.04,0.14
Wout Weghorst,NED,FW,30,1992,28,24,1977,22.0,7,3,10,6,1,1,4,0,7.2,6.4,3.5,9.9,14,57,132,0.32,0.14,0.46,0.27,0.41,0.33,0.16,0.49,0.29,0.45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
