General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes
Player,Nation,Pos,Age,Born,Mp,Starts,Min,90s,Gls,Ast,G+a,G-pk,Pk,Pkatt,Crdy,Crdr,Xg,Npxg,Xag,Npxg+xag,Prgc,Prgp,Prgr,Gls,Ast,G+a,G-pk,G+a-pk,Xg,Xag,Xg+xag,Npxg,Npxg+xag
Andreas Hanche-Olsen,NOR,DF,26,1997,15,12,992,11.0,1,0,1,1,0,0,5,0,0.7,0.7,0.0,0.7,1,19,0,0.09,0.0,0.09,0.09,0.09,0.06,0.0,0.06,0.06,0.06
Anthony Caci,FRA,DF,26,1997,31,29,2486,27.6,2,3,5,2,0,0,8,0,1.5,1.5,2.9,4.4,43,144,75,0.07,0.11,0.18,0.07,0.18,0.06,0.1,0.16,0.06,0.16
Anton Stach,GER,MF,24,1998,2,2,170,1.9,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,3,8,10,0.0,0.0,0.0,0.0,0.0,0.1,0.06,0.16,0.1,0.16
Anwar El Ghazi,NED,"MF,DF",28,1995,3,0,54,0.6,0,1,1,0,0,0,0,0,0.1,0.1,0.2,0.4,2,4,5,0.0,1.67,1.67,0.0,1.67,0.22,0.39,0.61,0.22,0.61
Aymen Barkok,MAR,"MF,FW",25,1998,13,1,321,3.6,1,0,1,1,0,1,2,0,1.7,0.9,0.3,1.2,14,16,33,0.28,0.0,0.28,0.28,0.28,0.48,0.07,0.55,0.26,0.33
Brajan Gruda,GER,"MF,FW",19,2004,28,19,1641,18.2,4,3,7,4,0,0,5,0,3.5,3.5,4.1,7.6,100,71,167,0.22,0.16,0.38,0.22,0.38,0.19,0.23,0.42,0.19,0.42
Daniel Batz,GER,GK,32,1991,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danny da Costa,GER,DF,30,1993,19,9,830,9.2,0,1,1,0,0,0,1,0,0.3,0.3,1.2,1.5,22,40,53,0.0,0.11,0.11,0.0,0.11,0.03,0.13,0.16,0.03,0.16
David Mamutovic,GER,"FW,DF",22,2000,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominik Kohr,GER,"DF,MF",29,1994,31,27,2184,24.3,1,0,1,1,0,0,15,1,1.6,1.6,1.2,2.8,19,99,26,0.04,0.0,0.04,0.04,0.04,0.07,0.05,0.12,0.07,0.12
Edimilson Fernandes,SUI,DF,27,1996,21,13,1290,14.3,0,2,2,0,0,0,4,0,0.5,0.5,0.7,1.3,9,53,9,0.0,0.14,0.14,0.0,0.14,0.04,0.05,0.09,0.04,0.09
Jessic Ngankam,GER,"FW,MF",23,2000,7,2,184,2.0,0,0,0,0,0,0,0,1,0.6,0.6,0.3,0.9,3,1,11,0.0,0.0,0.0,0.0,0.0,0.29,0.14,0.43,0.29,0.43
Jonathan Burkardt,GER,"FW,MF",23,2000,21,18,1538,17.1,8,2,10,7,1,1,2,0,6.1,5.3,2.1,7.4,36,28,101,0.47,0.12,0.59,0.41,0.53,0.36,0.12,0.48,0.31,0.43
Josuha Guilavogui,FRA,DF,32,1990,11,5,409,4.5,0,1,1,0,0,0,1,0,0.0,0.0,0.1,0.1,1,9,1,0.0,0.22,0.22,0.0,0.22,0.0,0.02,0.02,0.0,0.02
Karim Onisiwo,AUT,"FW,MF",31,1992,24,17,1493,16.6,1,3,4,1,0,0,1,0,2.3,2.3,1.3,3.7,26,27,111,0.06,0.18,0.24,0.06,0.24,0.14,0.08,0.22,0.14,0.22
Leandro Barreiro Martins,LUX,MF,23,2000,31,29,2606,29.0,4,1,5,4,0,0,8,0,4.5,4.5,1.1,5.6,22,93,46,0.14,0.03,0.17,0.14,0.17,0.16,0.04,0.19,0.16,0.19
Lee Jae-sung,KOR,"MF,FW",30,1992,29,24,2113,23.5,6,3,9,6,0,0,6,0,4.9,4.9,3.4,8.3,25,82,121,0.26,0.13,0.38,0.26,0.38,0.21,0.14,0.35,0.21,0.35
Ludovic Ajorque,FRA,FW,29,1994,26,15,1360,15.1,2,0,2,2,0,2,4,0,5.3,3.7,1.0,4.7,5,21,88,0.13,0.0,0.13,0.13,0.13,0.35,0.06,0.41,0.25,0.31
Marco Richter,GER,"MF,FW",25,1997,20,7,717,8.0,1,0,1,1,0,0,3,0,1.9,1.9,1.3,3.2,20,30,53,0.13,0.0,0.13,0.13,0.13,0.24,0.16,0.4,0.24,0.4
Marcus Müller,GER,MF,20,2002,1,0,18,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.26,0.26
Maxim Leitsch,GER,DF,25,1998,7,4,379,4.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Merveille Papela,GER,"MF,DF",22,2001,11,3,257,2.9,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,6,12,10,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.22,0.11,0.22
Nadiem Amiri,GER,MF,26,1996,15,15,1315,14.6,1,4,5,1,0,1,5,0,2.2,1.4,4.3,5.7,16,88,22,0.07,0.27,0.34,0.07,0.34,0.15,0.3,0.45,0.1,0.39
