comp,round,result,squad,opponent,start,min,performance_sota,performance_ga,performance_saves,performance_save%,performance_cs,performance_psxg,penalty kicks_pkatt,penalty kicks_pka,penalty kicks_pksv,penalty kicks_pkm,launched_cmp,launched_att,launched_cmp%,passes_att (gk),passes_thr,passes_launch%,passes_avglen,goal kicks_att,goal kicks_launch%,goal kicks_avglen,crosses_opp,crosses_stp,crosses_stp%,sweeper_#opa,sweeper_avgdist,date,match_id
Premier League,Matchweek 1,W 2–1,18bb7c10,e4a775cb,1,90,2,1,1,50.0,0,0.9,0,0,0,0,1,6,16.7,23,4,21.7,28.7,6,16.7,24.3,3,1,33.3,0,3.3,2023-08-12,26a7f90c
Premier League,Matchweek 2,W 1–0,18bb7c10,47c64c55,1,90,2,0,2,100.0,1,0.2,0,0,0,0,4,13,30.8,24,5,41.7,35.4,3,100.0,73.0,15,1,6.7,3,21.4,2023-08-21,3b5ecd36
Premier League,Matchweek 3,D 2–2,18bb7c10,fd962109,1,90,3,2,1,33.3,0,0.4,0,0,0,0,2,3,66.7,30,6,6.7,21.1,4,25.0,27.5,8,0,0.0,2,23.0,2023-08-26,d8f8f8ad
Premier League,Matchweek 4,W 3–1,18bb7c10,19538871,1,90,2,1,1,50.0,0,0.6,0,0,0,0,2,5,40.0,27,6,18.5,25.7,0,,,2,0,0.0,0,,2023-09-03,74125d47
Premier League,Matchweek 5,W 1–0,18bb7c10,d3fd31cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-09-17,b1278924
Premier League,Matchweek 6,D 2–2,18bb7c10,361ca564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-09-24,08947a10
Premier League,Matchweek 7,W 4–0,18bb7c10,4ba7cbea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-09-30,8de4aca0
Premier League,Matchweek 8,W 1–0,18bb7c10,b8fd03ef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-08,59cd18ae
Premier League,Matchweek 10,W 5–0,18bb7c10,1df6b87e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-28,d498f918
Premier League,Matchweek 11,L 0–1,18bb7c10,b2b47a98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-04,6096abaa
Premier League,Matchweek 12,W 3–1,18bb7c10,943e8050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-11,2cb4e4dc
Premier League,Matchweek 13,W 1–0,18bb7c10,cd051869,1,90,1,0,1,100.0,1,0.1,0,0,0,0,4,18,22.2,29,4,44.8,37.6,5,100.0,60.8,7,1,14.3,4,21.7,2023-11-25,626c6561
