comp,round,result,squad,opponent,start,min,performance_sota,performance_ga,performance_saves,performance_save%,performance_cs,penalty kicks_pkatt,penalty kicks_pka,penalty kicks_pksv,penalty kicks_pkm,date,match_id
Premier League,Matchweek 1,L 0–1,1df6b87e,47c64c55,0,0,0,0,0,0,0,0,0,0,0,2023-08-12,55fd92c7
Premier League,Matchweek 2,L 1–2,1df6b87e,e4a775cb,0,0,0,0,0,0,0,0,0,0,0,2023-08-18,a0a93f71
Premier League,Matchweek 3,L 1–2,1df6b87e,b8fd03ef,0,0,0,0,0,0,0,0,0,0,0,2023-08-27,0844ff10
Premier League,Matchweek 4,D 2–2,1df6b87e,d3fd31cc,0,0,0,0,0,0,0,0,0,0,0,2023-09-02,87b46bb9
Premier League,Matchweek 5,L 1–2,1df6b87e,361ca564,0,0,0,0,0,0,0,0,0,0,0,2023-09-16,e56e96e1
Premier League,Matchweek 6,L 0–8,1df6b87e,b2b47a98,0,0,0,0,0,0,0,0,0,0,0,2023-09-24,cf4fef85
Premier League,Matchweek 7,L 0–2,1df6b87e,7c21e445,0,0,0,0,0,0,0,0,0,0,0,2023-09-30,b82be6d7
Premier League,Matchweek 8,L 1–3,1df6b87e,fd962109,0,0,0,0,0,0,0,0,0,0,0,2023-10-07,ffc59ea8
Premier League,Matchweek 10,L 0–5,1df6b87e,18bb7c10,0,0,0,0,0,0,0,0,0,0,0,2023-10-28,d498f918
Premier League,Matchweek 13,L 1–3,1df6b87e,4ba7cbea,0,0,0,0,0,0,0,0,0,0,0,2023-11-25,799a2c04
Premier League,Matchweek 14,L 0–5,1df6b87e,943e8050,0,0,0,0,0,0,0,0,0,0,0,2023-12-02,e2c53b0a
Premier League,Matchweek 15,L 0–2,1df6b87e,822bd0ba,0,0,0,0,0,0,0,0,0,0,0,2023-12-06,01aca132
Premier League,Matchweek 16,W 1–0,1df6b87e,cd051869,0,0,0,0,0,0,0,0,0,0,0,2023-12-09,e268f518
Premier League,Matchweek 17,L 0–2,1df6b87e,cff3d9bb,0,0,0,0,0,0,0,0,0,0,0,2023-12-16,3bbbaf15
Premier League,Matchweek 18,D 1–1,1df6b87e,8602292d,0,0,0,0,0,0,0,0,0,0,0,2023-12-22,37916998
Premier League,Matchweek 19,L 2–3,1df6b87e,e297cd13,0,0,0,0,0,0,0,0,0,0,0,2023-12-26,6269b2e3
Premier League,Matchweek 20,L 0–2,1df6b87e,b8fd03ef,0,0,0,0,0,0,0,0,0,0,0,2023-12-30,aefd7405
Premier League,Matchweek 38,L 0–3,1df6b87e,361ca564,0,0,0,0,0,0,0,0,0,0,0,2024-05-19,273a89b4
