comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 5,L 0–1,e297cd13,fd962109,1,73,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.1,2,0,18,25,72.0,1,20,0,2,0,2023-09-16,48b1bdc7
Premier League,Matchweek 6,D 1–1,e297cd13,8cec06e1,1,56,0,0,0,0,2,1,0,0,43,1,0,0,0.1,0.1,0.0,1,0,30,37,81.1,3,29,0,0,0,2023-09-23,76a1421e
Premier League,Matchweek 16,L 1–2,e297cd13,b8fd03ef,0,19,0,0,0,0,0,0,0,0,13,2,1,0,0.0,0.0,0.0,0,0,10,10,100.0,1,8,0,0,0,2023-12-10,f6155857
Premier League,Matchweek 18,W 1–0,e297cd13,b2b47a98,1,79,0,0,0,0,0,0,0,0,41,1,0,1,0.0,0.0,0.0,2,0,31,34,91.2,3,23,0,2,0,2023-12-23,46bfb645
Premier League,Matchweek 19,W 3–2,e297cd13,1df6b87e,1,90,0,1,0,0,1,0,0,0,46,3,0,3,0.0,0.0,0.1,4,1,28,33,84.8,3,23,1,1,1,2023-12-26,6269b2e3
Premier League,Matchweek 20,L 2–3,e297cd13,cff3d9bb,1,89,0,0,0,0,0,0,0,0,63,1,0,2,0.0,0.0,0.0,1,0,50,59,84.7,6,30,4,2,0,2023-12-30,8e04572c
Premier League,Matchweek 21,D 1–1,e297cd13,943e8050,1,85,0,0,0,0,2,0,0,0,71,1,1,1,0.3,0.3,0.0,1,0,56,64,87.5,4,53,1,1,1,2024-01-12,d62dd931
Premier League,Matchweek 22,W 4–0,e297cd13,d07537b9,1,67,0,1,0,0,1,0,1,0,29,1,0,1,0.0,0.0,1.0,1,1,18,24,75.0,1,14,0,1,1,2024-01-30,381f12be
Premier League,Matchweek 23,D 4–4,e297cd13,b2b47a98,1,90,0,0,0,0,0,0,1,0,62,5,2,2,0.0,0.0,0.0,1,0,42,45,93.3,2,32,1,1,1,2024-02-03,67cb7a4e
Premier League,Matchweek 24,L 1–3,e297cd13,1df6b87e,1,90,0,0,0,0,0,0,0,0,90,3,1,1,0.0,0.0,0.0,1,0,74,81,91.4,12,62,9,1,0,2024-02-10,1a4e7d02
Premier League,Matchweek 25,L 1–2,e297cd13,19538871,1,90,0,0,0,0,1,0,0,0,85,0,1,7,0.0,0.0,0.1,4,0,69,72,95.8,10,60,2,1,1,2024-02-18,49523b04
Premier League,Matchweek 26,L 1–4,e297cd13,822bd0ba,1,45,0,0,0,0,0,0,0,0,22,1,0,1,0.0,0.0,0.0,0,0,11,16,68.8,1,14,0,5,3,2024-02-21,58636a1e
Premier League,Matchweek 34,L 1–5,e297cd13,cd051869,1,70,0,0,0,0,0,0,0,0,50,1,0,0,0.0,0.0,0.0,2,0,37,43,86.0,2,22,3,3,2,2024-04-20,c98abeb4
Premier League,Matchweek 35,L 1–2,e297cd13,8cec06e1,1,90,0,0,0,0,0,0,1,0,66,4,0,1,0.0,0.0,0.0,0,0,50,59,84.7,5,36,4,2,1,2024-04-27,55d68500
Premier League,Matchweek 36,D 1–1,e297cd13,d3fd31cc,1,90,0,1,0,0,0,0,0,0,66,4,2,0,0.0,0.0,0.1,5,1,48,55,87.3,6,30,1,0,0,2024-05-03,76d10c7d
Premier League,Matchweek 37,L 1–3,e297cd13,7c21e445,1,90,1,0,0,0,1,1,0,0,69,1,2,3,0.2,0.2,0.0,1,0,56,59,94.9,5,42,2,0,0,2024-05-11,17e9dbbf
Premier League,Matchweek 38,L 2–4,e297cd13,fd962109,1,90,0,0,0,0,0,0,1,0,53,0,1,0,0.0,0.0,0.0,1,0,41,50,82.0,7,30,1,0,0,2024-05-19,0fde9d70
