comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,W 5–1,b2b47a98,8602292d,1,67,0,1,0,0,1,0,1,0,34,2,0,0,0.1,0.1,0.6,3,1,19,22,86.4,3,27,1,5,2,2023-08-12,8ff2f8fe
Premier League,Matchweek 2,L 0–1,b2b47a98,b8fd03ef,1,55,0,0,0,0,2,0,1,0,23,0,0,0,0.1,0.1,0.0,0,0,14,16,87.5,0,22,3,1,0,2023-08-19,0b8f50a5
Premier League,Matchweek 3,L 1–2,b2b47a98,822bd0ba,1,71,1,0,0,0,4,3,0,0,40,1,0,1,0.6,0.6,0.2,5,0,25,28,89.3,3,29,8,7,3,2023-08-27,b31156ab
Premier League,Matchweek 4,L 1–3,b2b47a98,d07537b9,1,90,0,0,0,0,1,0,1,0,38,3,0,1,0.2,0.2,0.1,2,0,27,30,90.0,1,23,3,2,1,2023-09-02,4f754e0a
Premier League,Matchweek 5,W 1–0,b2b47a98,cd051869,1,90,0,0,0,0,0,0,1,0,42,2,0,1,0.0,0.0,0.0,1,1,26,34,76.5,3,24,4,6,2,2023-09-16,71b7e5e2
Premier League,Matchweek 6,W 8–0,b2b47a98,1df6b87e,0,79,1,1,0,0,4,3,0,0,52,3,1,1,0.7,0.7,0.7,5,2,26,35,74.3,5,38,11,3,2,2023-09-24,cf4fef85
Premier League,Matchweek 7,W 2–0,b2b47a98,943e8050,1,90,0,0,0,0,3,1,1,0,41,4,0,2,0.1,0.1,0.0,3,1,16,24,66.7,0,24,4,2,2,2023-09-30,a79ff136
Premier League,Matchweek 9,W 4–0,b2b47a98,47c64c55,1,69,1,0,0,0,2,1,0,0,37,0,0,3,0.7,0.7,0.0,1,0,23,26,88.5,5,23,0,2,1,2023-10-21,21625dde
Premier League,Matchweek 10,D 2–2,b2b47a98,8cec06e1,1,90,0,0,0,0,1,0,0,0,42,0,0,1,0.1,0.1,0.0,1,0,29,33,87.9,2,34,3,7,2,2023-10-28,b84d060a
Premier League,Matchweek 11,W 1–0,b2b47a98,18bb7c10,1,90,1,0,0,0,2,1,1,0,35,4,0,0,0.7,0.7,0.0,3,0,20,26,76.9,1,27,1,0,0,2023-11-04,6096abaa
Premier League,Matchweek 12,L 0–2,b2b47a98,4ba7cbea,1,90,0,0,0,0,1,1,0,0,39,3,0,2,0.1,0.1,0.0,4,0,19,23,82.6,6,22,2,5,2,2023-11-11,641024cf
Premier League,Matchweek 13,W 4–1,b2b47a98,cff3d9bb,1,89,1,1,0,0,3,1,0,0,40,1,1,3,0.1,0.1,0.3,4,2,19,22,86.4,1,27,2,5,0,2023-11-25,8c8f48f4
Premier League,Matchweek 14,W 1–0,b2b47a98,19538871,1,89,1,0,0,0,3,2,0,0,49,2,0,3,0.7,0.7,0.1,6,0,27,35,77.1,5,38,2,3,0,2023-12-02,66a1f3ac
Premier League,Matchweek 15,L 0–3,b2b47a98,d3fd31cc,1,90,0,0,0,0,3,1,0,0,41,1,0,1,0.3,0.3,0.0,6,0,22,29,75.9,1,30,4,6,1,2023-12-07,2fe9d766
Premier League,Matchweek 16,L 1–4,b2b47a98,361ca564,1,73,0,0,0,0,1,0,0,0,31,1,0,1,0.1,0.1,0.2,3,0,17,25,68.0,3,16,2,3,0,2023-12-10,be6d1aac
Premier League,Matchweek 17,W 3–0,b2b47a98,fd962109,1,83,0,1,0,0,4,1,0,0,58,2,1,1,0.3,0.3,1.1,7,2,34,44,77.3,5,36,2,3,1,2023-12-16,5db0f25b
Premier League,Matchweek 18,L 0–1,b2b47a98,e297cd13,1,90,0,0,0,0,2,0,0,0,41,1,0,0,0.1,0.1,0.5,2,0,24,33,72.7,3,33,2,5,2,2023-12-23,46bfb645
