comp,round,result,squad,opponent,start,min,performance_sota,performance_ga,performance_saves,performance_save%,performance_cs,performance_psxg,penalty kicks_pkatt,penalty kicks_pka,penalty kicks_pksv,penalty kicks_pkm,launched_cmp,launched_att,launched_cmp%,passes_att (gk),passes_thr,passes_launch%,passes_avglen,goal kicks_att,goal kicks_launch%,goal kicks_avglen,crosses_opp,crosses_stp,crosses_stp%,sweeper_#opa,sweeper_avgdist,date,match_id
Premier League,Matchweek 2,W 1–0,18bb7c10,47c64c55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-08-21,3b5ecd36
Premier League,Matchweek 3,D 2–2,18bb7c10,fd962109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-08-26,d8f8f8ad
Premier League,Matchweek 4,W 3–1,18bb7c10,19538871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-09-03,74125d47
Premier League,Matchweek 5,W 1–0,18bb7c10,d3fd31cc,1,90,1,0,1,100.0,1,0.1,0,0,0,0,5,7,71.4,35,7,17.1,26.3,4,25.0,33.3,4,2,50.0,3,17.7,2023-09-17,b1278924
Premier League,Matchweek 6,D 2–2,18bb7c10,361ca564,1,90,5,2,3,60.0,0,2.6,0,0,0,0,6,15,40.0,35,7,42.9,35.0,1,0.0,18.0,8,0,0.0,4,27.2,2023-09-24,08947a10
Premier League,Matchweek 7,W 4–0,18bb7c10,4ba7cbea,1,90,1,0,1,100.0,1,0.2,0,0,0,0,5,10,50.0,51,3,15.7,23.0,4,50.0,39.8,12,3,25.0,1,15.3,2023-09-30,8de4aca0
Premier League,Matchweek 8,W 1–0,18bb7c10,b8fd03ef,1,90,0,0,0,,1,0.0,0,0,0,0,10,22,45.5,45,5,42.2,35.2,3,100.0,63.0,9,1,11.1,0,3.5,2023-10-08,59cd18ae
Premier League,Matchweek 9,D 2–2,18bb7c10,cff3d9bb,1,90,5,2,3,80.0,0,1.9,1,1,0,0,4,13,30.8,49,10,22.4,29.3,3,66.7,41.3,7,1,14.3,4,23.6,2023-10-21,a1c336e2
Premier League,Matchweek 10,W 5–0,18bb7c10,1df6b87e,1,90,0,0,0,,1,0.0,0,0,0,0,4,7,57.1,23,2,26.1,28.4,3,33.3,30.0,5,3,60.0,1,12.8,2023-10-28,d498f918
Premier League,Matchweek 11,L 0–1,18bb7c10,b2b47a98,1,90,1,1,0,0.0,0,0.9,0,0,0,0,5,14,35.7,27,4,37.0,36.1,4,100.0,69.3,7,0,0.0,1,14.3,2023-11-04,6096abaa
Premier League,Matchweek 12,W 3–1,18bb7c10,943e8050,1,90,5,1,4,80.0,0,1.1,0,0,0,0,3,10,30.0,22,6,36.4,32.1,4,50.0,48.5,7,0,0.0,1,23.0,2023-11-11,2cb4e4dc
Premier League,Matchweek 14,W 2–1,18bb7c10,8cec06e1,1,90,3,1,2,66.7,0,0.9,0,0,0,0,2,9,22.2,24,6,33.3,32.0,5,20.0,23.8,7,1,14.3,0,12.0,2023-12-02,6e65df8e
Premier League,Matchweek 15,W 4–3,18bb7c10,e297cd13,1,90,4,3,1,25.0,0,0.9,0,0,0,0,8,16,50.0,26,2,42.3,32.5,5,100.0,65.2,9,2,22.2,2,17.0,2023-12-05,dd3a5afc
Premier League,Matchweek 16,L 0–1,18bb7c10,8602292d,1,90,3,1,2,66.7,0,0.4,0,0,0,0,1,5,20.0,22,9,22.7,26.8,1,0.0,22.0,7,1,14.3,3,31.5,2023-12-09,8cf29e50
Premier League,Matchweek 17,W 2–0,18bb7c10,d07537b9,1,90,1,0,1,100.0,1,0.1,0,0,0,0,2,13,15.4,32,4,34.4,29.2,2,100.0,65.5,7,2,28.6,0,3.0,2023-12-17,e3a46a4e
Premier League,Matchweek 18,D 1–1,18bb7c10,822bd0ba,1,90,3,1,2,66.7,0,0.6,0,0,0,0,2,16,12.5,24,9,45.8,40.6,5,100.0,71.2,17,4,23.5,0,9.3,2023-12-23,bfbfbbe8
Premier League,Matchweek 19,L 0–2,18bb7c10,7c21e445,1,90,3,2,0,33.3,0,2.3,1,0,1,0,0,0,,20,5,0.0,15.1,2,0.0,12.5,7,1,14.3,4,25.4,2023-12-28,ba570015
Premier League,Matchweek 20,L 1–2,18bb7c10,fd962109,1,90,4,2,2,50.0,0,1.0,0,0,0,0,2,7,28.6,23,4,30.4,28.6,4,0.0,18.0,14,0,0.0,2,27.5,2023-12-31,6c1b6ffc
Premier League,Matchweek 21,W 5–0,18bb7c10,47c64c55,1,90,5,0,5,100.0,1,0.6,0,0,0,0,2,9,22.2,31,5,29.0,29.4,2,0.0,20.0,14,2,14.3,1,12.3,2024-01-20,006fb5b5
Premier League,Matchweek 22,W 2–1,18bb7c10,e4a775cb,1,90,3,1,2,66.7,0,1.0,0,0,0,0,1,7,14.3,21,1,33.3,31.6,1,0.0,20.0,12,1,8.3,1,14.7,2024-01-30,20a16b44
Premier League,Matchweek 23,W 3–1,18bb7c10,822bd0ba,1,90,1,1,1,0.0,0,0.0,0,0,0,0,3,20,15.0,29,6,58.6,41.1,4,75.0,60.3,17,2,11.8,2,19.0,2024-02-04,99020abf
Premier League,Matchweek 24,W 6–0,18bb7c10,7c21e445,1,90,1,0,1,100.0,1,0.2,0,0,0,0,0,0,,29,9,0.0,19.5,1,0.0,24.0,8,2,25.0,1,11.7,2024-02-11,a1da23dc
Premier League,Matchweek 25,W 5–0,18bb7c10,943e8050,1,90,0,0,0,,1,0.0,0,0,0,0,7,12,58.3,31,6,35.5,28.0,3,33.3,34.0,10,0,0.0,2,21.3,2024-02-17,59631171
