comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,D 1–1,4ba7cbea,7c21e445,1,90,1,0,0,0,3,2,0,0,29,1,0,0,1.0,1.0,0.1,5,1,12,16,75.0,2,24,2,3,1,2023-08-12,d6bbf293
Premier League,Matchweek 2,L 1–3,4ba7cbea,822bd0ba,1,90,0,1,0,0,3,0,0,0,29,0,0,0,0.1,0.1,0.1,1,0,10,17,58.8,0,13,2,3,2,2023-08-19,80bebdbb
Premier League,Matchweek 3,L 0–2,4ba7cbea,361ca564,1,90,0,0,0,0,1,0,0,0,22,0,1,0,0.1,0.1,0.0,2,0,9,11,81.8,1,9,0,3,0,2023-08-26,f49c4ad2
Premier League,Matchweek 4,D 2–2,4ba7cbea,cd051869,1,90,1,0,0,0,2,2,0,0,38,0,0,0,0.6,0.6,0.1,2,0,13,15,86.7,3,19,2,3,0,2023-09-02,e2946b10
Premier League,Matchweek 5,D 0–0,4ba7cbea,cff3d9bb,1,90,0,0,0,0,4,1,0,0,25,0,1,1,0.4,0.4,0.0,2,0,9,11,81.8,1,20,3,4,2,2023-09-17,be0cbf88
Premier League,Matchweek 6,L 1–3,4ba7cbea,d07537b9,1,90,1,0,0,0,3,1,0,0,26,1,0,1,0.5,0.5,0.0,0,0,12,13,92.3,0,12,0,3,0,2023-09-24,5593f16c
Premier League,Matchweek 7,L 0–4,4ba7cbea,18bb7c10,1,90,0,0,0,0,2,0,0,0,35,1,0,1,0.2,0.2,0.1,3,0,13,16,81.3,2,18,2,6,1,2023-09-30,8de4aca0
Premier League,Matchweek 8,L 0–3,4ba7cbea,d3fd31cc,1,90,0,0,0,0,3,1,1,0,26,0,0,1,0.1,0.1,0.1,1,0,8,9,88.9,3,23,2,3,1,2023-10-07,497b9558
Premier League,Matchweek 9,L 1–2,4ba7cbea,8cec06e1,1,84,1,0,0,0,3,1,0,0,31,0,0,0,0.5,0.5,0.0,1,0,11,15,73.3,1,31,2,7,2,2023-10-21,007b352e
Premier League,Matchweek 10,W 2–1,4ba7cbea,943e8050,1,90,0,0,0,0,2,1,0,0,28,0,0,2,0.2,0.2,0.0,1,0,11,16,68.8,3,10,0,0,0,2023-10-28,c4c42d3e
Premier League,Matchweek 11,L 1–6,4ba7cbea,b8fd03ef,1,84,0,0,0,0,3,0,0,0,30,0,0,0,0.6,0.6,0.0,1,0,20,20,100.0,1,18,0,1,1,2023-11-04,e75a870b
Premier League,Matchweek 12,W 2–0,4ba7cbea,b2b47a98,1,90,2,0,0,0,4,2,0,0,33,2,0,3,1.1,1.1,0.4,2,0,9,12,75.0,0,16,2,3,1,2023-11-11,641024cf
Premier League,Matchweek 13,W 3–1,4ba7cbea,1df6b87e,1,90,0,0,0,0,4,0,0,0,37,0,0,1,0.6,0.6,0.0,3,0,10,19,52.6,4,23,1,1,1,2023-11-25,799a2c04
Premier League,Matchweek 14,D 2–2,4ba7cbea,8602292d,1,90,1,0,0,0,4,3,0,0,24,2,0,2,1.3,1.3,0.0,0,0,9,12,75.0,0,14,0,0,0,2023-12-03,19533403
Premier League,Matchweek 15,W 2–0,4ba7cbea,47c64c55,1,87,0,0,0,0,2,1,0,0,27,0,1,2,0.2,0.2,0.0,1,0,9,13,69.2,2,15,1,6,3,2023-12-06,09909bf8
Premier League,Matchweek 16,W 3–0,4ba7cbea,19538871,1,90,1,0,0,0,5,1,0,0,34,1,0,1,0.9,0.9,0.0,2,1,9,13,69.2,2,24,3,3,2,2023-12-09,0760a568
Premier League,Matchweek 18,W 3–2,4ba7cbea,e4a775cb,1,90,3,0,0,0,6,3,0,0,35,0,0,2,0.7,0.7,0.0,1,0,9,13,69.2,3,15,2,5,0,2023-12-23,c5548935
Premier League,Matchweek 19,W 3–0,4ba7cbea,fd962109,1,90,1,0,1,1,2,0,0,0,28,1,0,0,1.0,0.2,0.0,0,0,15,18,83.3,2,18,0,2,1,2023-12-26,331c942d
Premier League,Matchweek 20,L 1–3,4ba7cbea,361ca564,1,90,0,0,0,0,9,2,0,0,29,2,0,0,0.8,0.8,0.0,3,0,7,9,77.8,1,14,2,4,0,2023-12-31,3ab71352
