comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,W 2–1,18bb7c10,e4a775cb,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,0,0,2023-08-12,26a7f90c
Premier League,Matchweek 2,W 1–0,18bb7c10,47c64c55,0,21,0,0,0,0,0,0,0,0,9,1,0,2,0.0,0.0,0.0,0,0,3,5,60.0,0,3,0,0,0,2023-08-21,3b5ecd36
Premier League,Matchweek 3,D 2–2,18bb7c10,fd962109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-08-26,d8f8f8ad
Premier League,Matchweek 4,W 3–1,18bb7c10,19538871,1,90,0,0,0,0,0,0,0,0,71,2,2,2,0.0,0.0,0.0,1,0,52,60,86.7,5,49,0,1,0,2023-09-03,74125d47
Premier League,Matchweek 5,W 1–0,18bb7c10,d3fd31cc,1,90,0,0,0,0,0,0,1,0,106,0,0,2,0.0,0.0,0.0,0,0,90,101,89.1,6,80,0,0,0,2023-09-17,b1278924
Premier League,Matchweek 6,D 2–2,18bb7c10,361ca564,1,90,0,0,0,0,1,0,0,0,50,0,3,0,0.1,0.1,0.0,0,0,40,46,87.0,1,31,0,0,0,2023-09-24,08947a10
Premier League,Matchweek 7,W 4–0,18bb7c10,4ba7cbea,1,90,0,0,0,0,0,0,0,0,74,3,0,2,0.0,0.0,0.0,0,0,60,65,92.3,0,47,0,0,0,2023-09-30,8de4aca0
Premier League,Matchweek 8,W 1–0,18bb7c10,b8fd03ef,1,90,0,0,0,0,0,0,0,0,64,1,3,1,0.0,0.0,0.0,2,0,54,59,91.5,5,47,1,0,0,2023-10-08,59cd18ae
Premier League,Matchweek 9,D 2–2,18bb7c10,cff3d9bb,1,90,0,0,0,0,2,0,0,0,85,2,2,0,0.1,0.1,0.0,0,0,71,78,91.0,5,54,0,1,0,2023-10-21,a1c336e2
Premier League,Matchweek 10,W 5–0,18bb7c10,1df6b87e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-28,d498f918
