comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,L 0–1,1df6b87e,47c64c55,1,90,0,0,0,0,0,0,0,0,52,2,0,2,0.0,0.0,0.0,2,0,27,43,62.8,3,24,1,1,1,2023-08-12,55fd92c7
Premier League,Matchweek 3,L 1–2,1df6b87e,b8fd03ef,1,70,0,0,0,0,0,0,1,0,27,2,0,1,0.0,0.0,0.0,0,0,9,14,64.3,1,5,0,1,0,2023-08-27,0844ff10
Premier League,Matchweek 4,D 2–2,1df6b87e,d3fd31cc,1,90,0,0,0,0,0,0,0,0,54,1,2,1,0.0,0.0,0.2,4,0,31,42,73.8,2,35,1,6,4,2023-09-02,87b46bb9
Premier League,Matchweek 10,L 0–5,1df6b87e,18bb7c10,0,20,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,9,12,75.0,0,10,0,2,0,2023-10-28,d498f918
Premier League,Matchweek 11,W 2–1,1df6b87e,8cec06e1,1,90,0,0,0,0,0,0,1,0,34,0,0,0,0.0,0.0,0.0,1,1,26,33,78.8,4,20,0,0,0,2023-11-04,e841bbac
Premier League,Matchweek 12,D 1–1,1df6b87e,d07537b9,1,90,0,0,0,0,1,0,0,0,68,3,2,1,0.0,0.0,0.0,0,0,48,59,81.4,7,41,1,0,0,2023-11-12,ebf41e41
Premier League,Matchweek 13,L 1–3,1df6b87e,4ba7cbea,1,90,0,1,0,0,0,0,1,0,66,3,3,2,0.0,0.0,0.5,3,1,36,49,73.5,4,24,2,0,0,2023-11-25,799a2c04
Premier League,Matchweek 14,L 0–5,1df6b87e,943e8050,1,24,0,0,0,0,0,0,0,0,13,1,0,0,0.0,0.0,0.0,0,0,6,12,50.0,1,9,1,0,0,2023-12-02,e2c53b0a
Premier League,Matchweek 17,L 0–2,1df6b87e,cff3d9bb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-12-16,3bbbaf15
Premier League,Matchweek 18,D 1–1,1df6b87e,8602292d,1,90,0,0,0,0,0,0,0,0,24,1,0,1,0.0,0.0,0.0,0,0,10,17,58.8,1,9,0,0,0,2023-12-22,37916998
Premier League,Matchweek 19,L 2–3,1df6b87e,e297cd13,1,90,0,0,0,0,0,0,1,0,67,2,1,2,0.0,0.0,0.0,2,0,39,52,75.0,6,26,2,0,0,2023-12-26,6269b2e3
Premier League,Matchweek 20,L 0–2,1df6b87e,b8fd03ef,1,90,0,0,0,0,0,0,0,0,47,2,1,2,0.0,0.0,0.0,1,0,31,36,86.1,1,22,0,0,0,2023-12-30,aefd7405
Premier League,Matchweek 27,L 0–6,1df6b87e,18bb7c10,0,45,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.1,3,0,6,9,66.7,1,7,1,1,1,2024-03-04,2eca8900
Premier League,Matchweek 28,D 2–2,1df6b87e,4ba7cbea,1,90,0,0,0,0,0,0,0,0,28,1,1,2,0.0,0.0,0.0,0,0,13,19,68.4,0,6,0,0,0,2024-03-09,81b6715a
