comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,W 1–0,fd962109,d3fd31cc,1,90,0,0,0,0,1,0,0,0,34,1,0,1,0.1,0.1,0.4,5,1,27,29,93.1,4,33,3,1,1,2023-08-12,15addfc7
Premier League,Matchweek 2,L 0–3,fd962109,cd051869,1,90,0,0,0,0,2,2,0,0,47,0,0,2,0.0,0.0,0.0,4,0,29,38,76.3,6,30,1,1,0,2023-08-19,46be83af
Premier League,Matchweek 3,D 2–2,fd962109,18bb7c10,1,70,0,0,0,0,1,0,0,0,23,0,0,2,0.0,0.0,0.0,2,0,13,16,81.3,1,11,0,1,0,2023-08-26,d8f8f8ad
Premier League,Matchweek 4,L 1–5,fd962109,b8fd03ef,1,80,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,7,12,58.3,0,7,1,2,0,2023-09-02,88066bdf
Premier League,Matchweek 5,W 1–0,fd962109,e297cd13,1,80,0,0,0,0,2,1,0,0,50,0,0,0,0.1,0.1,0.1,3,0,40,45,88.9,2,37,0,0,0,2023-09-16,48b1bdc7
Premier League,Matchweek 6,D 0–0,fd962109,47c64c55,0,12,0,0,0,0,1,0,0,0,17,2,1,0,0.0,0.0,0.0,0,0,8,12,66.7,1,8,1,2,1,2023-09-23,cf0b2b19
Premier League,Matchweek 7,L 0–2,fd962109,cff3d9bb,1,53,0,0,0,0,0,0,0,0,35,0,1,1,0.0,0.0,0.0,0,0,20,28,71.4,4,24,2,0,0,2023-10-02,c9787e60
Premier League,Matchweek 8,W 3–1,fd962109,1df6b87e,0,13,0,0,0,0,1,0,0,0,14,1,0,0,0.0,0.0,0.0,2,1,11,12,91.7,0,13,0,1,1,2023-10-07,ffc59ea8
Premier League,Matchweek 9,L 0–2,fd962109,361ca564,0,29,0,0,0,0,2,0,0,0,15,2,0,0,0.3,0.3,0.5,2,0,8,10,80.0,2,9,1,1,1,2023-10-23,8c6293a3
Premier League,Matchweek 10,D 1–1,fd962109,d07537b9,0,33,0,1,0,0,0,0,1,0,13,1,0,0,0.0,0.0,0.2,3,1,7,9,77.8,0,8,1,3,2,2023-10-29,a0c422e9
Premier League,Matchweek 11,L 0–1,fd962109,19538871,1,89,0,0,0,0,4,1,1,0,35,1,0,1,0.2,0.2,0.1,4,0,15,22,68.2,4,25,3,3,0,2023-11-04,31273be0
Premier League,Matchweek 12,L 1–3,fd962109,8602292d,0,45,0,0,0,0,1,0,0,0,35,1,1,1,0.1,0.1,0.0,2,1,20,28,71.4,2,19,0,2,1,2023-11-12,d6a70a44
Premier League,Matchweek 13,W 3–2,fd962109,8cec06e1,0,15,0,0,0,0,0,0,0,0,13,0,1,0,0.0,0.0,0.0,2,1,3,10,30.0,0,10,1,2,1,2023-11-27,b19cc422
Premier League,Matchweek 14,L 3–4,fd962109,822bd0ba,1,61,1,0,0,0,1,1,0,0,31,2,1,2,0.2,0.2,0.0,0,0,12,16,75.0,3,15,0,1,0,2023-12-03,4b7e6f44
Premier League,Matchweek 15,W 5–0,fd962109,e4a775cb,0,28,0,1,0,0,1,0,0,0,14,0,0,1,0.1,0.1,0.1,2,1,10,12,83.3,1,10,2,0,0,2023-12-06,fd5606da
Premier League,Matchweek 16,W 5–0,fd962109,7c21e445,0,45,1,1,0,0,2,2,0,0,34,0,0,1,0.4,0.4,0.8,2,1,24,28,85.7,1,26,0,2,2,2023-12-10,d3dd23fb
Premier League,Matchweek 17,L 0–3,fd962109,b2b47a98,1,90,0,0,0,0,0,0,0,0,31,0,1,2,0.0,0.0,0.0,1,0,20,23,87.0,2,14,1,1,0,2023-12-16,5db0f25b
Premier League,Matchweek 18,L 0–2,fd962109,943e8050,1,90,0,0,0,0,2,1,0,0,51,1,1,3,0.1,0.1,0.0,4,0,30,38,78.9,3,26,2,1,0,2023-12-23,7dd3c51a
Premier League,Matchweek 19,L 0–3,fd962109,4ba7cbea,0,18,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,5,8,62.5,0,5,0,1,0,2023-12-26,331c942d
Premier League,Matchweek 20,W 2–1,fd962109,18bb7c10,0,11,0,0,0,0,1,0,0,0,5,1,0,0,0.0,0.0,0.0,1,0,2,2,100.0,0,0,0,0,0,2023-12-31,6c1b6ffc
Premier League,Matchweek 21,L 0–1,fd962109,cff3d9bb,1,63,0,0,0,0,2,1,1,0,34,3,1,3,0.1,0.1,0.0,3,0,12,19,63.2,3,17,3,0,0,2024-01-13,dd052c34
Premier League,Matchweek 24,W 3–1,fd962109,4ba7cbea,0,28,0,0,0,0,0,0,1,0,10,0,0,0,0.0,0.0,0.0,0,0,3,7,42.9,0,5,1,0,0,2024-02-10,bf9e0d20
Premier League,Matchweek 25,L 1–2,fd962109,8602292d,0,27,0,0,0,0,1,0,1,0,18,0,0,0,0.0,0.0,0.5,4,0,12,15,80.0,2,13,1,0,0,2024-02-17,796ff9f0
Premier League,Matchweek 26,W 2–1,fd962109,19538871,1,80,0,0,0,0,1,0,1,0,36,2,0,1,0.1,0.1,0.0,3,0,23,29,79.3,5,20,2,2,2,2024-02-24,45f67948
Premier League,Matchweek 27,W 3–0,fd962109,d07537b9,1,83,1,1,0,0,4,1,0,0,34,1,2,2,0.4,0.4,0.1,4,1,14,20,70.0,1,18,2,1,0,2024-03-02,20278247
Premier League,Matchweek 28,L 1–2,fd962109,8cec06e1,1,69,0,0,0,0,3,0,0,0,31,0,0,1,0.5,0.5,0.0,3,0,19,25,76.0,3,20,2,0,0,2024-03-09,b606cbde
Premier League,Matchweek 29,W 3–0,fd962109,361ca564,0,19,0,0,0,0,1,1,0,0,14,0,0,0,0.1,0.1,0.2,1,0,8,11,72.7,1,9,1,1,0,2024-03-16,8a009cc4
Premier League,Matchweek 30,D 3–3,fd962109,1df6b87e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-03-30,ad4a1302
Premier League,Matchweek 31,L 1–3,fd962109,e4a775cb,1,32,0,0,0,0,1,0,0,0,18,0,0,0,0.2,0.2,0.0,0,0,12,15,80.0,2,12,2,0,0,2024-04-02,55996670
Premier League,Matchweek 32,L 0–1,fd962109,b2b47a98,0,26,0,0,0,0,0,0,0,0,25,1,0,0,0.0,0.0,0.1,1,0,12,22,54.5,2,12,0,1,0,2024-04-06,a9d2819f
Premier League,Matchweek 33,W 2–0,fd962109,7c21e445,0,17,0,0,0,0,0,0,0,0,12,1,0,2,0.0,0.0,0.0,0,0,6,8,75.0,0,6,2,1,1,2024-04-14,bd62891f
Premier League,Matchweek 34,L 1–3,fd962109,822bd0ba,0,20,0,0,0,0,1,1,0,0,13,0,0,1,0.0,0.0,0.0,1,0,5,9,55.6,0,7,1,1,0,2024-04-21,9dcb5084
Premier League,Matchweek 35,D 1–1,fd962109,47c64c55,0,6,0,0,0,0,1,0,0,0,4,0,0,0,0.1,0.1,0.0,0,0,2,3,66.7,0,3,0,0,0,2024-04-27,9fe4ec6e
Premier League,Matchweek 36,D 0–0,fd962109,cd051869,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,3,1,0,0,2024-05-04,a388fc69
Premier League,Matchweek 37,L 0–4,fd962109,b8fd03ef,0,17,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,7,10,70.0,1,4,2,0,0,2024-05-11,4e211d29
Premier League,Matchweek 38,W 4–2,fd962109,e297cd13,1,90,1,2,0,0,3,1,0,0,43,0,0,0,0.2,0.2,0.5,6,2,30,38,78.9,4,26,2,2,2,2024-05-19,0fde9d70
