comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 2,L 0–3,fd962109,cd051869,0,24,0,0,0,0,0,0,1,0,24,1,1,0,0.0,0.0,0.0,1,0,19,20,95.0,3,17,0,0,0,2023-08-19,46be83af
Premier League,Matchweek 3,D 2–2,fd962109,18bb7c10,1,90,1,0,0,0,2,1,0,0,48,6,1,2,0.1,0.1,0.0,0,0,27,33,81.8,1,19,0,0,0,2023-08-26,d8f8f8ad
Premier League,Matchweek 5,W 1–0,fd962109,e297cd13,1,90,0,0,0,0,3,0,0,0,96,5,1,2,0.1,0.1,0.0,2,0,73,82,89.0,6,55,0,0,0,2023-09-16,48b1bdc7
Premier League,Matchweek 6,D 0–0,fd962109,47c64c55,1,90,0,0,0,0,1,0,1,0,44,5,2,2,0.1,0.1,0.0,0,0,24,31,77.4,2,19,0,1,1,2023-09-23,cf0b2b19
Premier League,Matchweek 7,L 0–2,fd962109,cff3d9bb,1,90,0,0,0,0,0,0,0,0,64,3,2,0,0.0,0.0,0.0,0,0,46,51,90.2,5,33,1,0,0,2023-10-02,c9787e60
Premier League,Matchweek 8,W 3–1,fd962109,1df6b87e,1,90,0,0,0,0,1,0,1,0,65,8,3,5,0.0,0.0,0.0,0,0,30,44,68.2,2,28,0,0,0,2023-10-07,ffc59ea8
Premier League,Matchweek 9,L 0–2,fd962109,361ca564,1,81,0,0,0,0,2,1,0,0,48,7,1,3,0.1,0.1,0.0,0,0,27,33,81.8,2,27,0,2,0,2023-10-23,8c6293a3
Premier League,Matchweek 10,D 1–1,fd962109,d07537b9,1,90,1,0,0,0,1,1,0,0,51,10,5,1,0.1,0.1,0.0,2,0,24,30,80.0,2,25,0,2,1,2023-10-29,a0c422e9
Premier League,Matchweek 11,L 0–1,fd962109,19538871,1,90,0,0,0,0,2,1,1,0,49,5,0,2,0.2,0.2,0.0,1,0,23,29,79.3,4,18,1,3,1,2023-11-04,31273be0
Premier League,Matchweek 12,L 1–3,fd962109,8602292d,1,90,0,0,0,0,0,0,1,0,55,2,1,2,0.0,0.0,0.0,1,0,37,45,82.2,1,31,1,0,0,2023-11-12,d6a70a44
Premier League,Matchweek 14,L 3–4,fd962109,822bd0ba,1,90,0,0,0,0,2,1,0,0,51,5,4,3,0.1,0.1,0.0,0,0,23,29,79.3,2,22,1,0,0,2023-12-03,4b7e6f44
Premier League,Matchweek 15,W 5–0,fd962109,e4a775cb,1,78,0,0,0,0,0,0,0,0,58,7,1,2,0.0,0.0,0.0,1,0,37,44,84.1,3,25,0,0,0,2023-12-06,fd5606da
Premier League,Matchweek 16,W 5–0,fd962109,7c21e445,1,79,0,1,0,0,1,0,1,0,58,8,0,1,0.0,0.0,0.1,1,1,42,47,89.4,5,28,1,0,0,2023-12-10,d3dd23fb
Premier League,Matchweek 17,L 0–3,fd962109,b2b47a98,1,76,0,0,0,0,1,1,1,0,23,4,1,3,0.0,0.0,0.0,0,0,12,15,80.0,0,9,0,0,0,2023-12-16,5db0f25b
Premier League,Matchweek 18,L 0–2,fd962109,943e8050,1,81,0,0,0,0,1,1,1,0,65,2,2,3,0.1,0.1,0.0,2,0,44,56,78.6,3,31,1,0,0,2023-12-23,7dd3c51a
Premier League,Matchweek 19,L 0–3,fd962109,4ba7cbea,1,90,0,0,0,0,0,0,0,0,61,4,1,1,0.0,0.0,0.0,0,0,44,51,86.3,3,35,0,0,0,2023-12-26,331c942d
Premier League,Matchweek 20,W 2–1,fd962109,18bb7c10,1,90,0,0,0,0,1,0,0,0,47,2,2,2,0.0,0.0,0.0,2,1,30,37,81.1,2,25,0,2,1,2023-12-31,6c1b6ffc
Premier League,Matchweek 21,L 0–1,fd962109,cff3d9bb,1,82,0,0,0,0,0,0,0,0,42,6,2,1,0.0,0.0,0.0,0,0,21,27,77.8,2,17,1,1,1,2024-01-13,dd052c34
Premier League,Matchweek 22,D 0–0,fd962109,d3fd31cc,1,90,0,0,0,0,4,1,1,0,63,3,1,2,0.3,0.3,0.0,0,0,35,45,77.8,3,22,0,4,3,2024-01-30,17d24e01
Premier League,Matchweek 23,D 2–2,fd962109,943e8050,1,90,1,0,0,0,1,1,0,0,64,1,3,1,0.1,0.1,0.0,2,0,35,50,70.0,5,19,0,0,0,2024-02-03,a2436e30
Premier League,Matchweek 24,W 3–1,fd962109,4ba7cbea,1,90,0,0,0,0,0,0,0,0,57,7,1,2,0.0,0.0,0.0,0,0,31,42,73.8,1,20,0,1,0,2024-02-10,bf9e0d20
Premier League,Matchweek 25,L 1–2,fd962109,8602292d,1,88,0,0,0,0,1,0,1,0,60,4,1,2,0.0,0.0,0.1,2,0,42,44,95.5,2,25,0,2,0,2024-02-17,796ff9f0
Premier League,Matchweek 28,L 1–2,fd962109,8cec06e1,0,21,0,0,0,0,3,1,1,0,22,1,0,0,0.6,0.6,0.0,4,0,16,18,88.9,2,16,0,0,0,2024-03-09,b606cbde
Premier League,Matchweek 29,W 3–0,fd962109,361ca564,1,90,0,0,0,0,3,0,1,0,40,4,2,3,0.1,0.1,0.1,1,0,19,23,82.6,2,9,0,0,0,2024-03-16,8a009cc4
Premier League,Matchweek 30,D 3–3,fd962109,1df6b87e,1,90,1,0,0,0,3,1,0,0,58,3,1,0,0.2,0.2,0.0,3,0,44,53,83.0,5,30,1,1,1,2024-03-30,ad4a1302
Premier League,Matchweek 31,L 1–3,fd962109,e4a775cb,1,70,0,0,0,0,2,0,0,0,42,2,0,0,0.4,0.4,0.0,0,0,31,37,83.8,0,19,0,0,0,2024-04-02,55996670
Premier League,Matchweek 32,L 0–1,fd962109,b2b47a98,1,84,0,0,0,0,3,0,0,0,67,6,1,0,0.2,0.2,0.0,1,0,47,55,85.5,8,40,0,0,0,2024-04-06,a9d2819f
Premier League,Matchweek 33,W 2–0,fd962109,7c21e445,1,89,0,0,0,0,3,1,0,0,53,9,2,1,0.2,0.2,0.0,0,0,27,35,77.1,2,23,0,2,2,2024-04-14,bd62891f
Premier League,Matchweek 34,L 1–3,fd962109,822bd0ba,1,70,0,0,0,0,1,1,1,0,41,3,0,2,0.0,0.0,0.2,3,0,23,31,74.2,2,14,0,0,0,2024-04-21,9dcb5084
Premier League,Matchweek 35,D 1–1,fd962109,47c64c55,1,67,0,0,0,0,0,0,0,0,57,5,1,0,0.0,0.0,0.2,2,0,37,46,80.4,7,16,0,1,0,2024-04-27,9fe4ec6e
Premier League,Matchweek 36,D 0–0,fd962109,cd051869,1,90,0,0,0,0,1,0,0,0,67,2,0,3,0.1,0.1,0.0,1,0,47,58,81.0,5,32,0,0,0,2024-05-04,a388fc69
Premier League,Matchweek 37,L 0–4,fd962109,b8fd03ef,1,90,0,0,0,0,0,0,0,0,55,10,2,3,0.0,0.0,0.0,0,0,33,38,86.8,2,21,0,0,0,2024-05-11,4e211d29
Premier League,Matchweek 38,W 4–2,fd962109,e297cd13,1,89,0,0,0,0,2,1,0,0,65,2,1,3,0.0,0.0,0.0,1,0,48,54,88.9,3,32,0,0,0,2024-05-19,0fde9d70
