comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,W 4–1,d07537b9,e297cd13,1,90,0,1,0,0,1,0,1,0,55,1,0,0,0.0,0.0,0.6,8,2,42,48,87.5,5,46,7,3,1,2023-08-12,56a137f7
Premier League,Matchweek 2,W 4–1,d07537b9,8cec06e1,1,80,1,1,0,0,1,1,0,0,37,2,1,0,0.5,0.5,0.4,6,3,25,28,89.3,3,22,5,6,2,2023-08-19,d7c606ec
Premier League,Matchweek 3,L 1–3,d07537b9,7c21e445,1,90,0,0,0,0,2,0,1,0,51,0,0,1,0.1,0.1,0.2,2,0,33,43,76.7,2,40,12,5,3,2023-08-26,ba68d60c
Premier League,Matchweek 4,W 3–1,d07537b9,b2b47a98,1,90,0,1,0,0,4,1,0,0,36,0,0,0,0.2,0.2,0.3,5,1,17,21,81.0,1,27,4,7,2,2023-09-02,4f754e0a
Premier League,Matchweek 5,W 3–1,d07537b9,19538871,1,90,0,0,0,0,1,1,0,0,39,1,1,1,0.1,0.1,0.0,2,0,20,26,76.9,1,31,7,5,0,2023-09-16,ddcf2857
Premier League,Matchweek 6,W 3–1,d07537b9,4ba7cbea,0,45,2,0,0,0,2,2,0,0,19,1,0,0,0.7,0.7,0.0,0,0,8,11,72.7,1,14,0,3,0,2023-09-24,5593f16c
Premier League,Matchweek 7,L 1–6,d07537b9,8602292d,1,90,0,0,0,0,2,0,1,0,44,0,0,2,0.1,0.1,0.1,4,0,20,31,64.5,2,33,5,7,2,2023-09-30,2df9a3a1
Premier League,Matchweek 8,D 2–2,d07537b9,822bd0ba,1,90,0,0,0,0,1,0,0,0,42,0,2,0,0.2,0.2,0.0,2,0,21,28,75.0,3,31,7,7,5,2023-10-08,3b1ec657
Premier League,Matchweek 9,L 1–2,d07537b9,b8fd03ef,1,90,0,0,0,0,3,2,0,0,35,1,0,1,0.5,0.5,0.0,2,1,18,22,81.8,1,24,7,7,4,2023-10-21,b782a834
Premier League,Matchweek 10,D 1–1,d07537b9,fd962109,1,90,0,0,0,0,1,0,0,0,61,1,0,1,0.1,0.1,0.2,7,0,46,54,85.2,6,46,11,4,2,2023-10-29,a0c422e9
Premier League,Matchweek 11,D 1–1,d07537b9,d3fd31cc,1,90,0,0,0,0,2,1,0,0,48,0,0,0,0.1,0.1,0.0,1,0,31,41,75.6,4,37,6,7,4,2023-11-04,6ecb53ac
Premier League,Matchweek 12,D 1–1,d07537b9,1df6b87e,0,45,0,0,0,0,2,1,0,0,29,0,0,3,0.1,0.1,0.0,1,0,17,22,77.3,5,16,5,1,1,2023-11-12,ebf41e41
Premier League,Matchweek 14,L 2–3,d07537b9,cff3d9bb,0,34,0,0,0,0,1,1,0,0,30,1,0,0,0.0,0.0,0.0,3,0,13,21,61.9,3,23,9,5,3,2023-12-03,86b7d24f
Premier League,Matchweek 15,W 2–1,d07537b9,cd051869,1,90,0,1,0,0,1,0,0,0,82,1,0,2,0.0,0.0,0.3,4,2,54,68,79.4,5,59,7,8,3,2023-12-06,75d21da8
Premier League,Matchweek 16,D 1–1,d07537b9,943e8050,0,45,0,0,0,0,5,1,0,0,56,0,0,0,0.3,0.3,0.1,5,0,33,42,78.6,4,45,11,7,1,2023-12-09,ab18fa97
Premier League,Matchweek 17,L 0–2,d07537b9,18bb7c10,1,90,0,0,0,0,0,0,1,0,30,0,0,0,0.0,0.0,0.4,3,0,24,27,88.9,3,18,3,3,1,2023-12-17,e3a46a4e
Premier League,Matchweek 18,D 1–1,d07537b9,47c64c55,1,82,0,0,0,0,2,2,0,0,49,1,0,1,0.1,0.1,0.0,1,0,31,34,91.2,10,28,3,2,1,2023-12-21,7340be7a
Premier League,Matchweek 24,L 1–2,d07537b9,361ca564,1,90,0,0,0,0,1,1,0,0,48,2,1,2,0.1,0.1,0.1,2,0,23,31,74.2,2,28,4,4,2,2024-02-10,c0dfccdf
Premier League,Matchweek 25,W 5–0,d07537b9,1df6b87e,1,75,0,0,0,0,2,1,0,0,61,1,0,1,0.2,0.2,0.0,4,1,33,52,63.5,3,48,8,3,2,2024-02-18,811fa03f
