comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,L 1–5,8602292d,b2b47a98,1,45,0,0,0,0,0,0,0,0,24,0,1,1,0.0,0.0,0.0,1,0,5,17,29.4,0,14,2,1,0,2023-08-12,8ff2f8fe
Premier League,Matchweek 2,W 4–0,8602292d,d3fd31cc,1,62,1,1,0,0,2,1,0,0,35,0,0,0,0.3,0.3,0.6,4,2,25,31,80.6,2,25,5,2,2,2023-08-20,959b558d
Premier League,Matchweek 3,W 3–1,8602292d,943e8050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-08-27,b66a7def
Premier League,Matchweek 4,L 0–3,8602292d,822bd0ba,0,46,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.1,2,0,7,12,58.3,1,11,2,3,2,2023-09-03,bdbc722e
Premier League,Matchweek 5,W 3–1,8602292d,47c64c55,0,34,1,0,0,0,2,1,1,0,28,0,1,0,0.8,0.8,0.0,3,0,15,21,71.4,4,18,3,4,2,2023-09-16,bc77340e
Premier League,Matchweek 6,W 1–0,8602292d,cff3d9bb,0,16,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.2,2,0,4,6,66.7,0,8,0,4,0,2023-09-24,7d2c5e05
Premier League,Matchweek 8,D 1–1,8602292d,8cec06e1,0,9,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.1,1,0,8,11,72.7,1,7,0,1,0,2023-10-08,3292ed35
Premier League,Matchweek 9,W 4–1,8602292d,7c21e445,0,15,1,0,0,0,2,1,0,0,15,0,1,0,0.3,0.3,0.0,1,0,9,10,90.0,2,11,3,1,1,2023-10-22,7efcc598
Premier League,Matchweek 10,W 3–1,8602292d,e297cd13,0,45,0,1,0,0,1,0,0,0,25,0,0,0,0.1,0.1,0.6,2,0,16,21,76.2,0,22,1,2,0,2023-10-29,ee677172
Premier League,Matchweek 11,L 0–2,8602292d,e4a775cb,0,45,0,0,0,0,3,0,0,0,32,0,0,1,0.3,0.3,0.0,1,0,13,20,65.0,0,25,3,6,2,2023-11-05,ac18f108
Premier League,Matchweek 12,W 3–1,8602292d,fd962109,0,29,0,1,0,0,1,0,0,0,20,0,2,0,0.1,0.1,1.0,1,1,10,12,83.3,2,14,2,3,1,2023-11-12,d6a70a44
Premier League,Matchweek 13,W 2–1,8602292d,361ca564,0,45,0,0,0,0,3,1,0,0,23,0,0,0,0.2,0.2,0.0,3,0,14,16,87.5,0,16,2,4,3,2023-11-26,83db7754
Premier League,Matchweek 14,D 2–2,8602292d,4ba7cbea,1,73,1,0,0,0,2,1,0,0,35,0,0,0,0.1,0.1,0.2,1,0,22,28,78.6,2,29,5,5,2,2023-12-03,19533403
Premier League,Matchweek 15,W 1–0,8602292d,b8fd03ef,1,84,1,0,0,0,5,3,0,0,35,0,0,3,0.4,0.4,0.2,3,0,16,22,72.7,5,23,7,5,3,2023-12-06,0ad90506
Premier League,Matchweek 16,W 1–0,8602292d,18bb7c10,1,45,0,1,0,0,0,0,0,0,15,2,0,0,0.0,0.0,0.1,1,1,7,10,70.0,0,10,0,3,0,2023-12-09,8cf29e50
Premier League,Matchweek 17,W 2–1,8602292d,cd051869,0,26,0,1,0,0,0,0,1,0,18,0,0,0,0.0,0.0,0.3,1,1,7,11,63.6,0,9,2,3,0,2023-12-17,4a3af0ab
Premier League,Matchweek 18,D 1–1,8602292d,1df6b87e,1,80,0,0,0,0,1,0,1,0,36,0,0,1,0.0,0.0,0.1,3,0,24,29,82.8,5,30,5,3,0,2023-12-22,37916998
Premier League,Matchweek 19,L 2–3,8602292d,19538871,1,76,0,0,0,0,2,1,0,0,31,1,0,1,0.1,0.1,0.1,2,0,14,23,60.9,3,19,3,4,2,2023-12-26,83709fdf
Premier League,Matchweek 20,W 3–2,8602292d,943e8050,1,89,1,0,0,0,3,1,0,0,42,0,0,0,0.2,0.2,0.1,5,0,25,35,71.4,3,32,7,6,2,2023-12-30,2828c5bc
Premier League,Matchweek 21,D 0–0,8602292d,d3fd31cc,1,63,0,0,0,0,1,1,0,0,35,0,0,0,0.1,0.1,0.0,4,0,23,29,79.3,3,25,1,1,0,2024-01-14,1628c63e
Premier League,Matchweek 22,L 1–3,8602292d,b2b47a98,0,29,0,1,0,0,1,0,0,0,24,0,0,0,0.0,0.0,0.8,8,1,16,22,72.7,5,19,4,5,4,2024-01-30,d8679e54
Premier League,Matchweek 23,W 5–0,8602292d,1df6b87e,1,59,1,0,0,0,2,1,0,0,34,1,1,0,0.1,0.1,0.2,3,0,20,24,83.3,2,20,2,2,2,2024-02-03,b3e195c5
Premier League,Matchweek 24,L 1–2,8602292d,19538871,1,72,0,0,0,0,2,0,0,0,33,0,0,0,0.1,0.1,0.1,6,1,23,28,82.1,2,21,3,3,3,2024-02-11,fd36479b
Premier League,Matchweek 25,W 2–1,8602292d,fd962109,1,80,0,0,0,0,3,0,0,0,32,0,0,1,0.1,0.1,0.1,5,0,15,21,71.4,2,20,4,4,2,2024-02-17,796ff9f0
Premier League,Matchweek 26,W 4–2,8602292d,e4a775cb,1,89,1,1,0,0,3,2,0,0,40,0,0,2,1.1,1.1,1.0,3,2,18,27,66.7,0,29,5,5,2,2024-02-24,f61fbe36
Premier League,Matchweek 27,W 3–2,8602292d,e297cd13,1,78,0,1,0,0,1,1,1,0,41,2,1,1,0.1,0.1,0.7,5,1,24,31,77.4,4,26,1,4,3,2024-03-02,59f4adc0
Premier League,Matchweek 28,L 0–4,8602292d,361ca564,1,68,0,0,0,0,1,0,0,0,19,1,1,0,0.0,0.0,0.1,4,0,4,14,28.6,1,15,1,0,0,2024-03-10,a32a7069
Premier League,Matchweek 29,D 1–1,8602292d,7c21e445,1,90,0,0,0,0,3,0,0,0,55,0,0,1,0.1,0.1,0.1,4,0,35,47,74.5,4,38,10,5,5,2024-03-17,fc356c59
Premier League,Matchweek 30,W 2–0,8602292d,8cec06e1,1,89,0,0,0,0,1,0,0,0,35,2,0,1,0.0,0.0,0.3,3,0,21,29,72.4,2,24,1,4,2,2024-03-30,5f218b76
Premier League,Matchweek 31,L 1–4,8602292d,b8fd03ef,0,28,0,0,0,0,0,0,0,0,13,1,0,1,0.0,0.0,0.1,1,0,6,8,75.0,2,9,0,2,1,2024-04-03,ae3ba8e8
Premier League,Matchweek 32,D 3–3,8602292d,cd051869,1,89,0,0,0,0,2,0,0,0,67,0,0,0,0.1,0.1,0.0,0,0,39,58,67.2,5,45,6,4,1,2024-04-06,e8f307a3
Premier League,Matchweek 33,W 2–0,8602292d,18bb7c10,0,30,1,0,0,0,1,1,0,0,16,0,0,0,0.3,0.3,0.0,0,0,9,11,81.8,1,5,2,2,1,2024-04-14,c1739ced
Premier League,Matchweek 34,W 3–1,8602292d,4ba7cbea,1,86,1,1,0,0,1,1,0,0,51,0,0,1,1.0,1.0,0.6,8,1,36,46,78.3,12,33,4,2,1,2024-04-21,6236de96
