comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Ligue 1,Matchweek 2,W 4–1,281b0e73,d53c0b06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-08-19,39ad4054
Ligue 1,Matchweek 3,L 1–3,281b0e73,7fdd64e0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-08-27,4d6e6c68
Ligue 1,Matchweek 4,L 0–1,281b0e73,cb188c0c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-09-03,26cacbb5
Ligue 1,Matchweek 5,D 2–2,281b0e73,c0d3eab4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-09-17,b04003c3
Ligue 1,Matchweek 6,D 0–0,281b0e73,b3072e00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-09-24,fd6b554c
Ligue 1,Matchweek 7,W 3–0,281b0e73,d2c87802,1,83,0,0,0,0,0,0,1,0,49,4,2,2,0.0,0.0,0.0,1,0,27,36,75.0,2,27,1,3,1,2023-10-01,fd60231d
Ligue 1,Matchweek 10,W 3–0,281b0e73,3f8c4b5f,1,85,0,0,0,0,1,0,0,0,35,0,0,1,0.0,0.0,0.0,1,0,25,29,86.2,2,27,1,1,1,2023-10-29,c7788081
Ligue 1,Matchweek 11,L 0–3,281b0e73,e2d8892c,1,90,0,0,0,0,0,0,0,0,31,1,1,1,0.0,0.0,0.0,0,0,20,22,90.9,1,18,0,0,0,2023-11-03,4f44d7fc
Ligue 1,Matchweek 12,D 0–0,281b0e73,132ebc33,1,90,0,0,0,0,1,0,0,0,58,1,2,1,0.0,0.0,0.0,1,0,37,42,88.1,1,37,1,0,0,2023-11-10,5bdc7c32
Ligue 1,Matchweek 13,L 1–3,281b0e73,fb08dbb3,1,90,0,0,0,0,1,0,0,0,53,2,3,1,0.0,0.0,0.1,2,0,30,38,78.9,4,22,0,0,0,2023-11-26,e4cca984
Ligue 1,Matchweek 8,D 1–1,281b0e73,d9676424,1,17,0,0,0,0,0,0,1,0,13,0,0,0,0.0,0.0,0.0,1,0,12,13,92.3,0,11,0,0,0,2023-11-29,341877cf
Ligue 1,Matchweek 14,L 0–2,281b0e73,fd6114db,1,90,0,0,0,0,0,0,0,0,43,2,3,2,0.0,0.0,0.0,1,0,21,27,77.8,4,24,2,0,0,2023-12-03,0d5e1575
Ligue 1,Matchweek 15,D 0–0,281b0e73,fd4e0f7d,1,90,0,0,0,0,0,0,0,0,44,2,5,2,0.0,0.0,0.0,1,0,23,31,74.2,2,22,0,0,0,2023-12-08,ad238285
Ligue 1,Matchweek 16,W 1–0,281b0e73,f83960ae,1,90,1,0,0,0,1,1,0,0,55,1,1,0,0.1,0.1,0.0,0,0,34,46,73.9,1,37,2,0,0,2023-12-17,eb4084eb
