comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,L 0–1,8cec06e1,19538871,1,90,0,0,0,0,0,0,0,0,63,4,3,2,0.0,0.0,0.0,4,0,44,51,86.3,4,41,4,3,1,2023-08-14,f1ecda2c
Premier League,Matchweek 2,L 1–4,8cec06e1,d07537b9,1,90,0,0,0,0,1,0,0,0,59,4,0,1,0.0,0.0,0.0,2,0,43,52,82.7,5,36,1,1,1,2023-08-19,d7c606ec
Premier League,Matchweek 3,W 1–0,8cec06e1,d3fd31cc,1,90,0,0,0,0,0,0,1,0,90,3,1,0,0.0,0.0,0.0,0,0,66,77,85.7,8,58,1,4,1,2023-08-26,18dfee28
Premier League,Matchweek 4,L 2–3,8cec06e1,47c64c55,1,90,0,0,0,0,1,0,1,0,76,6,2,0,0.0,0.0,0.0,2,0,47,61,77.0,6,29,2,2,1,2023-09-03,f9436d32
Premier League,Matchweek 5,L 1–3,8cec06e1,822bd0ba,1,90,0,0,0,0,1,0,1,0,84,2,2,3,0.1,0.1,0.0,2,0,55,66,83.3,3,47,5,7,6,2023-09-16,38daebd2
Premier League,Matchweek 6,D 1–1,8cec06e1,e297cd13,1,83,0,0,0,0,0,0,0,0,47,0,0,1,0.0,0.0,0.0,0,0,30,41,73.2,0,28,0,0,0,2023-09-23,76a1421e
Premier League,Matchweek 7,W 2–1,8cec06e1,b8fd03ef,1,90,0,0,0,0,0,0,0,0,55,3,3,5,0.0,0.0,0.0,0,0,28,39,71.8,1,31,0,0,0,2023-09-30,60ce29cd
Premier League,Matchweek 8,D 1–1,8cec06e1,8602292d,1,90,0,0,0,0,1,1,1,0,39,1,0,0,0.5,0.5,0.0,1,0,22,31,71.0,2,20,2,3,3,2023-10-08,3292ed35
Premier League,Matchweek 10,D 2–2,8cec06e1,b2b47a98,1,90,0,0,0,0,0,0,0,0,61,3,2,0,0.0,0.0,0.1,0,0,37,52,71.2,4,33,4,3,3,2023-10-28,b84d060a
Premier League,Matchweek 11,L 1–2,8cec06e1,1df6b87e,1,90,0,0,0,0,1,0,0,0,68,1,0,1,0.0,0.0,0.0,1,0,45,55,81.8,4,41,3,3,1,2023-11-04,e841bbac
