comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,D 2–2,361ca564,cd051869,1,90,0,0,0,0,2,1,0,0,30,0,0,0,0.2,0.2,0.0,1,0,13,18,72.2,1,21,1,5,3,2023-08-13,67ed3ba2
Premier League,Matchweek 2,W 2–0,361ca564,19538871,1,69,0,0,0,0,0,0,0,0,24,0,0,1,0.0,0.0,0.0,1,0,9,14,64.3,0,20,1,3,1,2023-08-19,4bb62251
Premier League,Matchweek 3,W 2–0,361ca564,4ba7cbea,1,59,0,0,0,0,2,1,1,0,26,0,0,0,0.3,0.3,0.0,2,0,10,13,76.9,2,17,1,3,1,2023-08-26,f49c4ad2
Premier League,Matchweek 4,W 5–2,361ca564,943e8050,0,19,0,0,0,0,0,0,0,0,6,0,0,2,0.0,0.0,0.0,0,0,2,3,66.7,0,4,0,1,0,2023-09-02,f1786fb8
Premier League,Matchweek 5,W 2–1,361ca564,1df6b87e,0,11,1,1,0,0,2,1,1,0,8,0,0,1,0.3,0.3,0.1,1,1,3,5,60.0,0,7,1,0,0,2023-09-16,e56e96e1
Premier League,Matchweek 6,D 2–2,361ca564,18bb7c10,0,12,0,0,0,0,3,1,0,0,7,0,0,0,0.2,0.2,0.0,0,0,2,3,66.7,0,4,0,1,0,2023-09-24,08947a10
Premier League,Matchweek 7,W 2–1,361ca564,822bd0ba,1,90,0,1,0,0,5,2,0,0,44,2,2,4,0.8,0.8,0.7,3,1,17,24,70.8,6,26,2,2,1,2023-09-30,ec4145b4
Premier League,Matchweek 8,W 1–0,361ca564,e297cd13,1,45,0,0,0,0,4,1,0,0,34,2,1,0,0.9,0.9,0.0,2,0,19,25,76.0,3,20,1,2,0,2023-10-07,d021f28f
Premier League,Matchweek 9,W 2–0,361ca564,fd962109,1,80,0,1,0,0,3,0,0,0,44,1,1,3,0.2,0.2,0.2,3,1,17,28,60.7,2,28,1,1,0,2023-10-23,8c6293a3
Premier League,Matchweek 10,W 2–1,361ca564,47c64c55,1,63,0,0,0,0,1,0,0,0,47,1,1,2,0.0,0.0,0.1,2,0,20,30,66.7,4,30,2,2,0,2023-10-27,6b0aa474
Premier League,Matchweek 11,L 1–4,361ca564,cff3d9bb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-06,478e4eb3
Premier League,Matchweek 14,D 3–3,361ca564,b8fd03ef,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,2023-12-03,0e39f016
Premier League,Matchweek 15,L 1–2,361ca564,7c21e445,0,24,0,0,0,0,2,0,0,0,7,0,0,0,0.3,0.3,0.0,0,0,3,4,75.0,0,5,0,0,0,2023-12-07,200af033
Premier League,Matchweek 16,W 4–1,361ca564,b2b47a98,1,72,2,0,0,0,6,3,0,0,31,1,1,3,0.7,0.7,0.0,0,0,13,16,81.3,1,19,2,4,1,2023-12-10,be6d1aac
Premier League,Matchweek 17,W 2–0,361ca564,e4a775cb,1,71,1,0,0,0,1,1,0,0,15,2,1,1,0.4,0.4,0.0,0,0,9,10,90.0,0,8,1,0,0,2023-12-15,4d9f1a71
Premier League,Matchweek 18,W 2–1,361ca564,d3fd31cc,1,62,1,0,0,0,1,1,0,0,19,0,0,0,0.3,0.3,0.0,0,0,5,11,45.5,1,13,2,2,0,2023-12-23,849071fe
Premier League,Matchweek 19,L 2–4,361ca564,d07537b9,1,64,0,0,0,0,2,0,1,0,26,0,0,1,0.3,0.3,0.2,2,0,10,15,66.7,2,11,0,0,0,2023-12-28,3e2e9248
Premier League,Matchweek 20,W 3–1,361ca564,4ba7cbea,1,81,1,0,0,0,5,2,0,0,40,2,0,4,1.3,1.3,0.0,3,0,12,19,63.2,2,17,0,1,0,2023-12-31,3ab71352
Premier League,Matchweek 21,D 2–2,361ca564,19538871,1,90,1,0,0,0,2,2,0,0,36,2,0,2,0.3,0.3,0.0,1,0,18,26,69.2,2,16,1,1,0,2024-01-14,904ed2f9
Premier League,Matchweek 22,W 3–2,361ca564,cd051869,1,90,1,0,0,0,4,2,0,0,42,2,1,3,0.5,0.5,0.0,1,0,19,24,79.2,2,27,3,0,0,2024-01-31,79ffec97
Premier League,Matchweek 23,D 2–2,361ca564,d3fd31cc,1,90,2,0,0,0,4,3,0,0,42,1,0,3,0.7,0.7,0.1,2,0,16,24,66.7,1,27,0,3,0,2024-02-03,fd68d50e
Premier League,Matchweek 24,W 2–1,361ca564,d07537b9,1,90,0,0,0,0,4,1,0,0,35,0,0,0,0.5,0.5,0.3,6,1,15,24,62.5,4,23,3,5,3,2024-02-10,c0dfccdf
Premier League,Matchweek 25,L 1–2,361ca564,8cec06e1,1,70,0,0,0,0,3,0,0,0,32,0,0,1,0.4,0.4,0.0,0,0,8,19,42.1,0,15,1,0,0,2024-02-17,30193251
Premier League,Matchweek 29,L 0–3,361ca564,fd962109,0,11,0,0,0,0,2,1,0,0,5,0,0,1,0.3,0.3,0.0,0,0,2,2,100.0,0,3,0,0,0,2024-03-16,8a009cc4
Premier League,Matchweek 30,W 2–1,361ca564,e297cd13,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,2,0,0,0,2024-03-30,6397e2af
Premier League,Matchweek 31,D 1–1,361ca564,7c21e445,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,1,2,0,0,0,2024-04-02,2600ff86
Premier League,Matchweek 35,L 2–3,361ca564,18bb7c10,0,27,0,0,0,0,1,0,0,0,7,0,0,0,0.1,0.1,0.0,1,0,3,4,75.0,0,6,1,1,0,2024-04-28,d98c9a99
Premier League,Matchweek 26,L 0–2,361ca564,cff3d9bb,1,62,0,0,0,0,1,0,0,0,17,0,0,0,0.1,0.1,0.0,1,0,8,11,72.7,1,11,1,0,0,2024-05-02,6b489131
Premier League,Matchweek 36,L 2–4,361ca564,822bd0ba,0,30,1,1,0,0,2,2,0,0,19,0,0,0,0.5,0.5,0.3,2,1,10,13,76.9,3,11,1,0,0,2024-05-05,08341569
