comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,D 1–1,7c21e445,4ba7cbea,1,90,0,0,0,0,2,1,0,0,42,1,0,2,0.1,0.1,0.1,4,0,21,30,70.0,4,26,3,4,1,2023-08-12,d6bbf293
Premier League,Matchweek 2,W 3–1,7c21e445,cff3d9bb,1,68,0,0,0,0,3,0,0,0,24,1,0,0,0.1,0.1,0.0,0,0,12,16,75.0,0,19,2,4,2,2023-08-20,44b9a07c
Premier League,Matchweek 3,W 3–1,7c21e445,d07537b9,0,52,0,1,0,0,0,0,0,0,40,1,0,1,0.0,0.0,0.7,7,1,25,29,86.2,7,21,5,7,3,2023-08-26,ba68d60c
Premier League,Matchweek 4,W 2–1,7c21e445,e297cd13,1,71,0,0,0,0,5,1,0,0,52,1,1,0,0.2,0.2,0.0,2,0,26,37,70.3,3,35,5,4,1,2023-09-01,e929e225
Premier League,Matchweek 5,L 1–3,7c21e445,b8fd03ef,0,23,0,0,0,0,0,0,0,0,8,0,1,0,0.0,0.0,0.0,0,0,3,5,60.0,0,6,2,1,0,2023-09-16,64c0a6e2
Premier League,Matchweek 6,L 1–3,7c21e445,822bd0ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-09-24,90adf8b3
Premier League,Matchweek 7,W 2–0,7c21e445,1df6b87e,0,19,0,0,0,0,1,1,0,0,15,0,0,1,0.1,0.1,0.1,3,0,10,12,83.3,3,14,2,0,0,2023-09-30,b82be6d7
Premier League,Matchweek 8,D 2–2,7c21e445,b2b47a98,0,16,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,1,0,5,7,71.4,0,4,0,0,0,2023-10-08,017c9ca5
Premier League,Matchweek 9,L 1–4,7c21e445,8602292d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-22,7efcc598
Premier League,Matchweek 10,L 0–1,7c21e445,d3fd31cc,0,34,0,0,0,0,1,1,1,0,33,0,0,1,0.0,0.0,0.0,2,0,21,25,84.0,0,25,3,5,2,2023-10-29,868a89be
