comp,round,result,squad,opponent,start,min,performance_sota,performance_ga,performance_saves,performance_save%,performance_cs,performance_psxg,penalty kicks_pkatt,penalty kicks_pka,penalty kicks_pksv,penalty kicks_pkm,launched_cmp,launched_att,launched_cmp%,passes_att (gk),passes_thr,passes_launch%,passes_avglen,goal kicks_att,goal kicks_launch%,goal kicks_avglen,crosses_opp,crosses_stp,crosses_stp%,sweeper_#opa,sweeper_avgdist,date,match_id
Premier League,Matchweek 1,W 3–0,b8fd03ef,943e8050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-08-11,3a6836b4
Premier League,Matchweek 2,W 1–0,b8fd03ef,b2b47a98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-08-19,0b8f50a5
Premier League,Matchweek 3,W 2–1,b8fd03ef,1df6b87e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-08-27,0844ff10
Premier League,Matchweek 4,W 5–1,b8fd03ef,fd962109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-09-02,88066bdf
Premier League,Matchweek 5,W 3–1,b8fd03ef,7c21e445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-09-16,64c0a6e2
Premier League,Matchweek 6,W 2–0,b8fd03ef,e4a775cb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-09-23,5dc7e234
Premier League,Matchweek 7,L 1–2,b8fd03ef,8cec06e1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-09-30,60ce29cd
Premier League,Matchweek 8,L 0–1,b8fd03ef,18bb7c10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-08,59cd18ae
Premier League,Matchweek 9,W 2–1,b8fd03ef,d07537b9,1,90,3,1,2,66.7,0,1.0,0,0,0,0,5,19,26.3,57,2,31.6,30.9,1,100.0,63.0,7,1,14.3,1,11.3,2023-10-21,b782a834
Premier League,Matchweek 10,W 3–0,b8fd03ef,19538871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-29,f6bfec82
Premier League,Matchweek 11,W 6–1,b8fd03ef,4ba7cbea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-04,e75a870b
Premier League,Matchweek 12,D 4–4,b8fd03ef,cff3d9bb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-12,53bb8f30
Premier League,Matchweek 13,D 1–1,b8fd03ef,822bd0ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-25,5d4a5006
Premier League,Matchweek 14,D 3–3,b8fd03ef,361ca564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-12-03,0e39f016
Premier League,Matchweek 15,L 0–1,b8fd03ef,8602292d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-12-06,0ad90506
Premier League,Matchweek 16,W 2–1,b8fd03ef,e297cd13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-12-10,f6155857
Premier League,Matchweek 17,D 2–2,b8fd03ef,47c64c55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-12-16,30f3e1ee
Premier League,Matchweek 19,W 3–1,b8fd03ef,d3fd31cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-12-27,b9f69f01
Premier League,Matchweek 20,W 2–0,b8fd03ef,1df6b87e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-12-30,aefd7405
Premier League,Matchweek 21,W 3–2,b8fd03ef,b2b47a98,0,83,5,2,3,60.0,0,2.0,0,0,0,0,2,6,33.3,27,3,18.5,27.6,1,100.0,56.0,8,0,0.0,3,23.2,2024-01-13,738f8c3e
Premier League,Matchweek 22,W 3–1,b8fd03ef,943e8050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-01-31,d10aaae8
Premier League,Matchweek 23,W 3–1,b8fd03ef,cd051869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-02-05,2b3630b6
Premier League,Matchweek 24,W 2–0,b8fd03ef,d3fd31cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-02-10,00ea7906
Premier League,Matchweek 25,D 1–1,b8fd03ef,cff3d9bb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-02-17,78fb7fc2
Premier League,Matchweek 18,W 1–0,b8fd03ef,cd051869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-02-20,af88a1aa
Premier League,Matchweek 26,W 1–0,b8fd03ef,4ba7cbea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-02-24,f6d6a212
Premier League,Matchweek 27,W 3–1,b8fd03ef,19538871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-03-03,615eff06
Premier League,Matchweek 28,D 1–1,b8fd03ef,822bd0ba,0,35,4,0,4,100.0,0,0.8,0,0,0,0,2,7,28.6,23,2,21.7,29.9,3,66.7,54.0,16,1,6.3,2,18.3,2024-03-10,96da3e29
Premier League,Matchweek 30,D 0–0,b8fd03ef,18bb7c10,1,90,2,0,2,100.0,1,0.2,0,0,0,0,6,9,66.7,36,7,22.2,25.5,3,33.3,32.7,8,1,12.5,0,8.0,2024-03-31,76b4b194
Premier League,Matchweek 31,W 4–1,b8fd03ef,8602292d,1,90,3,1,2,66.7,0,1.7,0,0,0,0,3,3,100.0,28,2,10.7,21.3,1,0.0,31.0,7,2,28.6,2,17.5,2024-04-03,ae3ba8e8
Premier League,Matchweek 32,W 4–2,b8fd03ef,47c64c55,1,90,4,2,2,50.0,0,1.4,0,0,0,0,2,6,33.3,28,5,17.9,24.9,6,16.7,21.8,5,0,0.0,1,11.3,2024-04-06,fca82852
Premier League,Matchweek 33,W 5–1,b8fd03ef,e297cd13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13,40128bc4
Premier League,Matchweek 29,W 4–0,b8fd03ef,d07537b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-25,45bb8cac
Premier League,Matchweek 35,W 2–0,b8fd03ef,e4a775cb,0,45,1,0,1,100.0,1,0.6,0,0,0,0,3,7,42.9,23,1,30.4,28.5,3,0.0,16.0,8,1,12.5,2,20.0,2024-04-28,80bbb25e
Premier League,Matchweek 36,W 5–1,b8fd03ef,8cec06e1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-04,5a9032bf
Premier League,Matchweek 37,W 4–0,b8fd03ef,fd962109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-11,4e211d29
Premier League,Matchweek 34,W 2–0,b8fd03ef,361ca564,0,22,3,0,3,100.0,1,1.1,0,0,0,0,2,6,33.3,7,1,71.4,45.4,1,100.0,65.0,1,0,0.0,0,14.0,2024-05-14,2ba17e6d
Premier League,Matchweek 38,W 3–1,b8fd03ef,7c21e445,1,90,2,1,1,50.0,0,0.3,0,0,0,0,3,5,60.0,18,1,27.8,28.6,0,,,5,0,0.0,2,20.7,2024-05-19,29335211
