comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,W 5–1,b2b47a98,8602292d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-08-12,8ff2f8fe
Premier League,Matchweek 2,L 0–1,b2b47a98,b8fd03ef,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0,2023-08-19,0b8f50a5
Premier League,Matchweek 3,L 1–2,b2b47a98,822bd0ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-08-27,b31156ab
Premier League,Matchweek 4,L 1–3,b2b47a98,d07537b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-09-02,4f754e0a
Premier League,Matchweek 5,W 1–0,b2b47a98,cd051869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-09-16,71b7e5e2
Premier League,Matchweek 6,W 8–0,b2b47a98,1df6b87e,0,21,0,0,0,0,0,0,0,0,18,2,0,0,0.0,0.0,0.0,1,0,12,15,80.0,3,11,2,0,0,2023-09-24,cf4fef85
Premier League,Matchweek 7,W 2–0,b2b47a98,943e8050,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,2023-09-30,a79ff136
Premier League,Matchweek 8,D 2–2,b2b47a98,7c21e445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-08,017c9ca5
Premier League,Matchweek 9,W 4–0,b2b47a98,47c64c55,0,22,0,0,0,0,0,0,0,0,20,1,1,0,0.0,0.0,0.0,0,0,12,13,92.3,1,12,0,0,0,2023-10-21,21625dde
Premier League,Matchweek 10,D 2–2,b2b47a98,8cec06e1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-28,b84d060a
Premier League,Matchweek 11,W 1–0,b2b47a98,18bb7c10,0,45,0,0,0,0,0,0,1,0,16,2,2,1,0.0,0.0,0.0,0,0,7,10,70.0,0,9,0,0,0,2023-11-04,6096abaa
Premier League,Matchweek 12,L 0–2,b2b47a98,4ba7cbea,0,45,0,0,0,0,0,0,0,0,23,3,0,1,0.0,0.0,0.1,1,0,19,20,95.0,0,8,0,0,0,2023-11-11,641024cf
Premier League,Matchweek 13,W 4–1,b2b47a98,cff3d9bb,1,90,0,0,0,0,0,0,0,0,55,2,3,1,0.0,0.0,0.0,4,1,45,46,97.8,4,27,1,4,2,2023-11-25,8c8f48f4
Premier League,Matchweek 14,W 1–0,b2b47a98,19538871,1,90,0,0,0,0,0,0,0,0,58,0,1,1,0.0,0.0,0.0,3,0,45,53,84.9,5,38,8,4,3,2023-12-02,66a1f3ac
Premier League,Matchweek 15,L 0–3,b2b47a98,d3fd31cc,1,90,0,0,0,0,0,0,0,0,61,0,0,1,0.0,0.0,0.0,2,0,46,52,88.5,0,30,1,3,2,2023-12-07,2fe9d766
Premier League,Matchweek 16,L 1–4,b2b47a98,361ca564,1,73,0,0,0,0,0,0,0,0,36,1,0,1,0.0,0.0,0.0,0,0,25,29,86.2,3,13,0,0,0,2023-12-10,be6d1aac
Premier League,Matchweek 17,W 3–0,b2b47a98,fd962109,1,83,0,0,0,0,1,0,0,0,74,0,3,0,0.0,0.0,0.3,6,0,64,69,92.8,7,52,6,1,1,2023-12-16,5db0f25b
Premier League,Matchweek 18,L 0–1,b2b47a98,e297cd13,0,10,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,4,0,0,0,2023-12-23,46bfb645
Premier League,Matchweek 19,L 1–3,b2b47a98,e4a775cb,0,36,0,0,0,0,0,0,0,0,28,0,1,1,0.0,0.0,0.0,0,0,20,25,80.0,2,17,2,1,1,2023-12-26,f22a20f0
Premier League,Matchweek 20,L 2–4,b2b47a98,822bd0ba,1,90,0,0,0,0,0,0,0,0,55,3,2,2,0.0,0.0,0.0,2,1,30,37,81.1,2,23,2,0,0,2024-01-01,107b2d79
Premier League,Matchweek 22,W 3–1,b2b47a98,8602292d,0,16,0,0,0,0,0,0,0,0,5,0,1,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,0,0,2024-01-30,d8679e54
Premier League,Matchweek 23,D 4–4,b2b47a98,e297cd13,0,27,0,0,0,0,0,0,0,0,21,0,1,0,0.0,0.0,0.0,0,0,16,18,88.9,1,11,0,1,0,2024-02-03,67cb7a4e
