comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 4,L 2–5,943e8050,361ca564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-09-02,f1786fb8
Premier League,Matchweek 7,L 0–2,943e8050,b2b47a98,0,24,0,0,0,0,1,0,0,0,16,0,0,0,0.1,0.1,0.1,2,0,10,13,76.9,0,13,3,2,2,2023-09-30,a79ff136
Premier League,Matchweek 2,W 2–1,943e8050,e297cd13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-03,4f7b3f27
Premier League,Matchweek 8,L 1–4,943e8050,cff3d9bb,1,78,1,0,0,0,3,2,1,0,26,2,0,0,0.1,0.1,0.3,2,0,11,13,84.6,0,18,3,6,3,2023-10-07,cfd83ca3
Premier League,Matchweek 9,L 0–3,943e8050,cd051869,1,45,0,0,0,0,1,0,0,0,12,0,0,2,0.0,0.0,0.0,0,0,3,5,60.0,0,8,2,2,1,2023-10-21,52781f37
Premier League,Matchweek 10,L 1–2,943e8050,4ba7cbea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-28,c4c42d3e
Premier League,Matchweek 11,L 0–2,943e8050,47c64c55,0,13,0,0,0,0,1,1,0,0,8,1,0,0,0.0,0.0,0.0,2,0,4,6,66.7,0,7,2,0,0,2023-11-04,8797f9a9
Premier League,Matchweek 12,L 1–3,943e8050,18bb7c10,0,3,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,1,0,9,9,100.0,2,10,1,2,0,2023-11-11,2cb4e4dc
Premier League,Matchweek 14,W 5–0,943e8050,1df6b87e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-12-02,e2c53b0a
Premier League,Matchweek 15,L 0–1,943e8050,8cec06e1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,1,0,0,0,2023-12-05,a52ffb27
Premier League,Matchweek 16,D 1–1,943e8050,d07537b9,1,77,1,0,0,0,2,1,1,0,27,1,1,0,0.1,0.1,0.0,1,0,10,13,76.9,0,16,1,5,1,2023-12-09,ab18fa97
Premier League,Matchweek 17,L 0–2,943e8050,d3fd31cc,1,86,0,0,0,0,1,0,0,0,38,4,0,2,0.0,0.0,0.1,3,0,17,27,63.0,0,26,4,2,2,2023-12-16,01904d1d
Premier League,Matchweek 18,W 2–0,943e8050,fd962109,1,79,1,1,0,0,1,1,0,0,30,2,1,6,0.0,0.0,0.1,4,2,11,15,73.3,3,16,3,2,0,2023-12-23,7dd3c51a
