comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 21,D 0–0,8cec06e1,d07537b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-01-22,35fb5bc2
La Liga,Matchweek 22,W 5–3,2a8183b3,206d90db,0,13,0,0,0,0,0,0,1,0,11,1,0,1,0.0,0.0,0.1,2,1,7,9,77.8,3,6,0,0,0,2024-01-27,06120109
La Liga,Matchweek 23,D 0–0,2a8183b3,ee7c297c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-02-04,28a20450
La Liga,Matchweek 24,D 1–1,2a8183b3,8d6fd021,1,90,0,0,0,0,1,0,0,0,50,1,0,0,0.0,0.0,0.0,0,0,33,38,86.8,2,30,0,0,0,2024-02-10,df1c317c
La Liga,Matchweek 25,D 1–1,2a8183b3,7848bd64,1,90,0,0,0,0,0,0,0,0,70,2,1,0,0.0,0.0,0.0,0,0,49,60,81.7,4,36,0,0,0,2024-02-16,39eb65ce
La Liga,Matchweek 26,W 3–1,2a8183b3,e31d1cd9,1,90,0,0,0,0,0,0,1,0,40,0,1,1,0.0,0.0,0.1,1,0,21,30,70.0,3,13,2,0,0,2024-02-23,4c975b7e
La Liga,Matchweek 27,W 5–1,2a8183b3,a0435291,1,90,0,0,0,0,0,0,0,0,67,2,0,0,0.0,0.0,0.0,0,0,47,55,85.5,0,26,0,0,0,2024-03-03,82279c7a
La Liga,Matchweek 28,W 3–2,2a8183b3,fc536746,0,1,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,0,0,4,6,66.7,0,2,0,0,0,2024-03-10,a9c711a7
La Liga,Matchweek 29,W 1–0,2a8183b3,dcc91a7b,1,90,0,0,0,0,1,0,0,0,60,1,1,0,0.0,0.0,0.0,1,0,44,51,86.3,2,23,0,1,1,2024-03-17,d88d960f
La Liga,Matchweek 30,L 1–2,2a8183b3,db3b9613,1,90,0,0,0,0,2,1,1,0,76,3,1,4,0.2,0.2,0.0,4,0,50,62,80.6,8,28,4,2,0,2024-04-01,ea244c20
La Liga,Matchweek 31,D 1–1,2a8183b3,2b390eca,1,90,0,0,0,0,0,0,0,0,61,0,1,1,0.0,0.0,0.0,0,0,48,53,90.6,1,32,0,1,1,2024-04-14,941a4629
La Liga,Matchweek 32,W 2–1,2a8183b3,78ecf4bb,1,90,0,0,0,0,0,0,0,0,76,1,2,1,0.0,0.0,0.0,4,0,60,67,89.6,3,43,1,1,1,2024-04-21,635dcbf9
La Liga,Matchweek 33,W 3–0,2a8183b3,98e8af82,1,90,1,0,0,0,1,1,0,0,86,6,1,0,0.1,0.1,0.0,2,1,59,72,81.9,3,47,1,0,0,2024-04-28,9db220c0
La Liga,Matchweek 34,L 2–3,2a8183b3,f25da7fb,1,45,0,0,0,0,0,0,0,0,41,0,0,1,0.0,0.0,0.0,0,0,31,36,86.1,1,24,0,0,0,2024-05-05,429fcafb
La Liga,Matchweek 35,W 3–2,2a8183b3,ad2be733,1,90,1,0,0,0,3,1,0,0,53,1,1,0,0.7,0.7,0.0,1,0,41,46,89.1,5,38,0,1,1,2024-05-11,db2c3f5d
La Liga,Matchweek 36,W 1–0,2a8183b3,9024a00a,1,90,0,0,0,0,0,0,0,0,62,1,3,0,0.0,0.0,0.0,1,0,46,51,90.2,0,38,0,0,0,2024-05-14,34cead76
La Liga,Matchweek 37,D 4–4,2a8183b3,53a2f082,1,90,0,1,0,0,1,1,0,0,64,5,3,3,0.1,0.1,0.1,2,1,43,48,89.6,1,26,0,3,0,2024-05-19,ec275e77
La Liga,Matchweek 38,D 1–1,2a8183b3,03c57e2b,1,90,0,0,0,0,1,0,1,0,60,2,2,0,0.5,0.5,0.0,0,0,45,50,90.0,0,26,0,1,0,2024-05-25,ecd762d7
