name,position,id
Pascal Groß,"MF,DF",8aec0537
Lewis Dunk,DF,282f75f3
Jan Paul van Hecke,DF,4fd08daa
Simon Adingra,FW,4dcec659
Billy Gilmour,MF,df10e27c
Bart Verbruggen,GK,cf134113
Danny Welbeck,"FW,MF",ce5143da
João Pedro,"FW,MF",e8832875
Igor,DF,a4e85758
Joël Veltman,DF,dad4b285
Jason Steele,GK,28300a16
Facundo Buonanotte,"FW,MF",468a7a91
Kaoru Mitoma,FW,74618572
Evan Ferguson,FW,4596da74
Carlos Baleba,MF,a1390d2f
Pervis Estupiñán,DF,d38fdf53
Adam Webster,DF,c40b6180
Adam Lallana,"MF,FW",99813635
James Milner,"DF,MF",2f90f6b8
Tariq Lamptey,"DF,FW",f4e433d4
Jack Hinshelwood,DF,e98211e7
Solly March,"FW,DF",bb5fbd2b
Jakub Moder,"MF,DF",f230bc30
Mahmoud Dahoud,MF,db4ed67b
Julio Enciso,"MF,FW",9cfbad36
Ansu Fati,"MF,FW",0ba976e4
Valentín Barco,"DF,FW",b9f282ec
Odeluga Offiah,DF,65c3efa2
Mark O'Mahony,FW,a3afdd69
Benicio Boaitey,"FW,DF",4c5835e6
Steven Alzate,MF,ad1f61f3
Bigo Atom,DF,966f64a3
Luca Barrington,MF,85d7679f
Samy Chouchane,MF,6c1ebbc8
Josh Duffus,MF,6224214f
Ben Jackson,DF,0cd9c796
Leigh Kavanagh,DF,e16986b1
Cameron Peupion,MF,0bdeb013
Imari Samuels,DF,8218e831
