name,position,id
Rodri,MF,6434f10d
Phil Foden,"FW,MF",ed1e53f3
Ederson,GK,3bb7b8b4
Julián Álvarez,"MF,FW",15ab5a2b
Kyle Walker,DF,86dd77d1
Bernardo Silva,"MF,FW",3eb22ec9
Erling Haaland,FW,1f44ac21
Rúben Dias,DF,31c69ef1
Manuel Akanji,"DF,MF",89ac64a6
Joško Gvardiol,DF,5ad50391
Nathan Aké,DF,eaeca114
Jeremy Doku,"FW,MF",fffea3e5
Mateo Kovačić,MF,79c0821a
Kevin De Bruyne,MF,e46012d4
John Stones,"DF,MF",5eecec3d
Jack Grealish,"FW,MF",b0b4fd3e
Rico Lewis,"DF,MF",b57e066e
Matheus Nunes,MF,e6af02e0
Stefan Ortega,GK,c1242d4e
Oscar Bobb,"FW,MF",eed2427e
Kalvin Phillips,MF,4f565d77
Sergio Gómez,"FW,MF",01e5f06e
Aymeric Laporte,DF,119b9a8e
Cole Palmer,MF,dc7f8a28
James Mcatee,MF,96593e89
Scott Carson,GK,3e1550ee
Micah Hamilton,MF,0b059e15
Máximo Perrone,MF,53552942
Mahamadou Susoho,DF,6cdd9d3d
Jacob Wright,MF,b6db05c3
