name,position,id
Max Kilman,DF,d0f72bf1
Nélson Semedo,"DF,MF",d04b94db
José Sá,GK,903b6e8b
Mario Lemina,MF,2b471f99
João Gomes,MF,8b57ad2c
Toti Gomes,DF,f0caab96
Matheus Cunha,"FW,MF",dc62b55d
Rayan Aït-Nouri,"DF,MF",9b398aea
Craig Dawson,DF,3e9e06cb
Hwang Hee-chan,"FW,MF",169fd162
Pablo Sarabia,"MF,FW",9744ff80
Pedro Neto,"FW,MF",7ba2eaa9
Tommy Doyle,MF,5526deb1
Jean-Ricner Bellegarde,"MF,FW",10f0fdd3
Matt Doherty,"DF,MF",d557d734
Santiago Bueno,DF,edc98fac
Boubacar Traoré,MF,999ceb5f
Hugo Bueno,"DF,MF",bfc3b3a0
Daniel Bentley,GK,68db6358
Fábio Silva,FW,e7aa9d7c
Matheus Nunes,MF,e6af02e0
Leon Chiwome,FW,a2852b4f
Nathan Fraser,FW,00b77ecf
Sasa Kalajdzic,FW,15f24fe7
Tawanda Chirewa,"MF,FW",34721c11
Jonny Castro,MF,e28868f3
Enso Gonzalez,"MF,DF",7e5bebeb
Ty Barnett,MF,c68c6838
Harvey Griffiths,MF,6e4cb264
Owen Hesketh,MF,3f991cbb
Joseph Hodge,MF,bd8a5d95
Fletcher Holman,FW,de40b95a
Justin Hubner,DF,f233ed69
Tom King,GK,5791b997
Noha Lemina,MF,28401b55
Yerson Mosquera,DF,1e159d70
Temple Ojinnaka,MF,4e93ceb2
Wesley Okoduwa,FW,58469e7c
Matthew Whittingham,MF,cd84f0e3
