General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes
Player,Nation,Pos,Age,Born,Mp,Starts,Min,90s,Gls,Ast,G+a,G-pk,Pk,Pkatt,Crdy,Crdr,Xg,Npxg,Xag,Npxg+xag,Prgc,Prgp,Prgr,Gls,Ast,G+a,G-pk,G+a-pk,Xg,Xag,Xg+xag,Npxg,Npxg+xag
Abdel Abqar,MAR,DF,25-341,1999,21,21,1758,19.5,0,1,1,0,0,0,11,0,0.5,0.5,0.2,0.7,12,66,4,0.0,0.05,0.05,0.0,0.05,0.03,0.01,0.04,0.03,0.04
Abderrahman Rebbach,ALG,"FW,MF",26-187,1998,8,4,385,4.3,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,16,5,34,0.0,0.0,0.0,0.0,0.0,0.04,0.07,0.11,0.04,0.11
Aleksandar Sedlar,SRB,DF,33-063,1991,7,5,426,4.7,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1,6,1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
Ander Guevara,ESP,MF,27-222,1997,21,14,1361,15.1,0,1,1,0,0,0,1,0,0.4,0.4,0.5,0.9,10,77,11,0.0,0.07,0.07,0.0,0.07,0.03,0.03,0.06,0.03,0.06
Antonio Blanco,ESP,MF,24-206,2000,21,18,1510,16.8,0,1,1,0,0,0,5,0,0.6,0.6,1.3,1.9,4,82,7,0.0,0.06,0.06,0.0,0.06,0.04,0.08,0.11,0.04,0.11
Antonio Sivera,ESP,GK,28-187,1996,19,19,1673,18.6,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
Asier Villalibre,ESP,FW,27-137,1997,11,2,250,2.8,1,0,1,0,1,1,1,0,1.4,0.6,0.0,0.6,2,5,14,0.36,0.0,0.36,0.0,0.0,0.49,0.0,0.49,0.21,0.21
Carlos Benavídez,URU,MF,26-321,1998,9,5,316,3.5,1,1,2,1,0,0,2,0,0.1,0.1,0.6,0.7,3,16,3,0.28,0.28,0.57,0.28,0.57,0.03,0.17,0.21,0.03,0.21
Carlos Martín,ESP,"FW,MF",22-298,2002,16,10,837,9.3,2,1,3,2,0,0,2,0,1.9,1.9,1.7,3.6,8,14,40,0.22,0.11,0.32,0.22,0.32,0.2,0.18,0.38,0.2,0.38
Carlos Vicente,ESP,"FW,MF",25-297,1999,22,22,1938,21.5,3,3,6,3,0,0,1,0,1.8,1.8,3.6,5.4,66,34,136,0.14,0.14,0.28,0.14,0.28,0.08,0.17,0.25,0.08,0.25
Hugo Novoa,ESP,"DF,MF",22-044,2003,5,2,237,2.6,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,7,2,10,0.0,0.0,0.0,0.0,0.0,0.18,0.07,0.26,0.18,0.26
Jesús Owono,EQG,GK,23-350,2001,5,4,397,4.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joan Jordán,ESP,MF,30-223,1994,12,6,642,7.1,2,2,4,1,1,1,1,0,2.2,1.4,0.5,1.9,4,51,18,0.28,0.28,0.56,0.14,0.42,0.31,0.06,0.37,0.2,0.26
Jon Guridi,ESP,"MF,FW",29-352,1995,21,17,1389,15.4,2,0,2,1,1,1,4,0,1.7,0.9,0.6,1.5,19,60,55,0.13,0.0,0.13,0.06,0.06,0.11,0.04,0.15,0.06,0.09
Kiké,ESP,FW,35-081,1989,22,16,1452,16.1,9,0,9,7,2,2,5,1,5.2,3.6,0.7,4.4,12,33,72,0.56,0.0,0.56,0.43,0.43,0.32,0.05,0.37,0.23,0.27
Luis Rioja,ESP,FW,31-121,1993,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.57,0.0,0.57
Luka Romero,ARG,"FW,MF",20-088,2004,6,2,199,2.2,0,0,0,0,0,1,0,0,0.8,0.0,0.2,0.2,3,0,12,0.0,0.0,0.0,0.0,0.0,0.37,0.08,0.45,0.01,0.09
Manu Sánchez,ESP,DF,24-174,2000,19,17,1555,17.3,0,0,0,0,0,0,5,0,0.3,0.3,0.3,0.5,31,49,52,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.03,0.02,0.03
Moussa Diarra,MLI,DF,24-096,2000,18,15,1389,15.4,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,8,53,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01
Nahuel Tenaglia,ARG,DF,28-359,1996,20,20,1741,19.3,1,1,2,1,0,0,7,0,1.6,1.6,0.8,2.4,26,49,63,0.05,0.05,0.1,0.05,0.1,0.08,0.04,0.12,0.08,0.12
Pau Cabanes,ESP,MF,19-363,2005,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pica,ESP,DF,23-044,2002,7,5,483,5.4,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.4,3,15,0,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.07,0.06,0.07
Santiago Mouriño,URU,DF,23-001,2002,12,8,724,8.0,0,0,0,0,0,0,1,0,0.2,0.2,0.4,0.6,10,21,0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.08,0.02,0.08
Stoichkov,ESP,"MF,FW",31-101,1993,16,6,699,7.8,0,1,1,0,0,0,1,0,1.1,1.1,1.2,2.3,9,26,41,0.0,0.13,0.13,0.0,0.13,0.14,0.15,0.3,0.14,0.3
Tomás Conechny,ARG,"FW,MF",26-321,1998,14,9,701,7.8,1,0,1,1,0,0,4,0,2.3,2.3,0.2,2.5,12,14,53,0.13,0.0,0.13,0.13,0.13,0.29,0.03,0.32,0.29,0.32
Toni Martínez,ESP,FW,27-229,1997,18,6,651,7.2,3,0,3,3,0,0,0,0,1.8,1.8,0.5,2.3,8,8,32,0.41,0.0,0.41,0.41,0.41,0.25,0.07,0.32,0.25,0.32
