General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes
Player,Nation,Pos,Age,Born,Mp,Starts,Min,90s,Gls,Ast,G+a,G-pk,Pk,Pkatt,Crdy,Crdr,Xg,Npxg,Xag,Npxg+xag,Prgc,Prgp,Prgr,Gls,Ast,G+a,G-pk,G+a-pk,Xg,Xag,Xg+xag,Npxg,Npxg+xag
Adrien Rabiot,FRA,MF,29-317,1995,16,14,1315,14.6,4,1,5,4,0,0,3,0,3.0,3.0,1.1,4.1,39,82,86,0.27,0.07,0.34,0.27,0.34,0.2,0.07,0.28,0.2,0.28
Amar Dedić,BIH,FW,22-180,2002,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amine Gouiri,ALG,"FW,MF",24-364,2000,2,1,107,1.2,0,3,3,0,0,0,0,0,0.5,0.5,1.4,1.9,4,4,17,0.0,2.52,2.52,0.0,2.52,0.41,1.18,1.59,0.41,1.59
Amine Harit,MAR,MF,27-241,1997,9,8,472,5.2,2,3,5,2,0,0,0,1,0.7,0.7,1.3,2.0,12,33,21,0.38,0.57,0.95,0.38,0.95,0.14,0.25,0.39,0.14,0.39
Bamo Meïté,CIV,"DF,MF",23-073,2001,3,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bilal Nadir,FRA,MF,21-078,2003,9,3,217,2.4,1,0,1,1,0,0,1,0,0.3,0.3,0.4,0.7,9,10,13,0.41,0.0,0.41,0.41,0.41,0.13,0.16,0.3,0.13,0.3
Darryl Bakola,FRA,DF,17-076,2007,1,0,12,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derek Cornelius,CAN,DF,27-081,1997,14,11,947,10.5,0,0,0,0,0,0,6,1,0.7,0.7,0.1,0.8,6,44,9,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.07,0.06,0.07
Elye Wahi,FRA,FW,22-043,2003,13,7,574,6.4,3,1,4,2,1,1,1,0,6.0,5.2,0.4,5.6,7,7,41,0.47,0.16,0.63,0.31,0.47,0.94,0.07,1.0,0.81,0.88
