General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes
Player,Nation,Pos,Age,Born,Mp,Starts,Min,90s,Gls,Ast,G+a,G-pk,Pk,Pkatt,Crdy,Crdr,Xg,Npxg,Xag,Npxg+xag,Prgc,Prgp,Prgr,Gls,Ast,G+a,G-pk,G+a-pk,Xg,Xag,Xg+xag,Npxg,Npxg+xag
Abakar Sylla,CIV,DF,22-051,2002,13,8,652,7.2,1,0,1,1,0,0,2,0,0.4,0.4,0.0,0.4,0,9,2,0.14,0.0,0.14,0.14,0.14,0.06,0.0,0.06,0.06,0.06
Andrew Omobamidele,IRL,DF,22-236,2002,3,2,226,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrey Santos,BRA,MF,20-287,2004,20,20,1775,19.7,7,1,8,7,0,0,5,0,3.5,3.5,2.4,5.9,21,101,19,0.35,0.05,0.41,0.35,0.41,0.18,0.12,0.3,0.18,0.3
Caleb Wiley,USA,"DF,MF",20-054,2004,6,3,266,3.0,0,1,1,0,0,0,1,0,0.0,0.0,0.7,0.7,3,7,9,0.0,0.34,0.34,0.0,0.34,0.01,0.23,0.24,0.01,0.24
Diego Moreira,POR,"DF,MF",20-192,2004,20,18,1623,18.0,1,5,6,1,0,0,4,0,1.3,1.3,4.8,6.1,57,54,142,0.06,0.28,0.33,0.06,0.33,0.07,0.26,0.34,0.07,0.34
Dilane Bakwa,FRA,"MF,FW",22-172,2002,18,18,1553,17.3,2,5,7,2,0,0,1,0,2.8,2.8,3.9,6.7,63,71,145,0.12,0.29,0.41,0.12,0.41,0.16,0.22,0.39,0.16,0.39
Eduard Sobol,UKR,DF,29-300,1995,5,0,57,0.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emanuel Emegha,NED,FW,22-011,2003,16,16,1311,14.6,9,2,11,9,0,0,3,0,11.2,11.2,1.8,13.0,24,8,63,0.62,0.14,0.76,0.62,0.76,0.77,0.12,0.89,0.77,0.89
Félix Lemaréchal,FRA,"MF,FW",21-191,2003,14,8,775,8.6,1,1,2,1,0,0,1,0,1.0,1.0,1.2,2.3,14,25,35,0.12,0.12,0.23,0.12,0.23,0.12,0.14,0.26,0.12,0.26
Guela Doué,CIV,DF,22-120,2002,20,19,1726,19.2,1,0,1,1,0,0,5,0,0.8,0.8,0.3,1.1,29,93,35,0.05,0.0,0.05,0.05,0.05,0.04,0.02,0.06,0.04,0.06
Guimissongui Ouattara,FRA,"FW,DF",19-115,2005,9,3,324,3.6,1,0,1,1,0,0,1,0,0.2,0.2,0.1,0.3,6,13,14,0.28,0.0,0.28,0.28,0.28,0.05,0.02,0.07,0.05,0.07
Habib Diarra,SEN,"MF,FW",21-042,2004,20,20,1730,19.2,4,3,7,2,2,2,5,0,2.8,1.3,3.5,4.7,46,87,81,0.21,0.16,0.36,0.1,0.26,0.15,0.18,0.33,0.07,0.25
Ismaël Doukouré,FRA,"MF,DF",21-205,2003,19,19,1599,17.8,0,1,1,0,0,0,6,0,0.1,0.1,0.7,0.8,12,71,6,0.0,0.06,0.06,0.0,0.06,0.0,0.04,0.04,0.0,0.04
Junior Mwanga,FRA,MF,21-279,2003,8,2,296,3.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,10,2,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
Jérémy Sebas,MTQ,"FW,MF",21-306,2003,13,1,190,2.1,0,0,0,0,0,0,0,0,0.7,0.7,0.0,0.7,6,3,10,0.0,0.0,0.0,0.0,0.0,0.35,0.01,0.35,0.35,0.35
Karl-Johan Johnsson,SWE,GK,35-017,1990,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karol Fila,POL,MF,26-246,1998,1,0,5,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mamadou Sarr,FRA,DF,19-169,2005,15,15,1307,14.5,0,1,1,0,0,0,2,0,0.2,0.2,0.2,0.5,3,35,1,0.0,0.07,0.07,0.0,0.07,0.02,0.02,0.03,0.02,0.03
Marvin Senaya,TOG,DF,24-017,2001,10,1,227,2.5,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,1,5,2,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06
Milos Lukovic,SRB,"FW,MF",19-088,2005,2,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nordine Kandil,FRA,MF,23-106,2001,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pape Daouda Diongue,SEN,"MF,FW",,,7,1,73,0.8,1,0,1,1,0,0,0,0,1.0,1.0,0.2,1.2,2,2,3,1.23,0.0,1.23,1.23,1.23,1.26,0.24,1.5,1.26,1.5
Saidou Sow,GUI,DF,22-225,2002,12,11,1018,11.3,0,1,1,0,0,0,2,0,0.3,0.3,0.2,0.5,0,16,2,0.0,0.09,0.09,0.0,0.09,0.03,0.01,0.04,0.03,0.04
Sebastian Nanasi,SWE,"FW,MF",22-274,2002,19,18,1441,16.0,5,3,8,5,0,0,0,0,4.8,4.8,2.8,7.5,39,85,90,0.31,0.19,0.5,0.31,0.5,0.3,0.17,0.47,0.3,0.47
Sekou Mara,FRA,"FW,MF",22-199,2002,18,6,623,6.9,1,1,2,1,0,0,2,0,1.1,1.1,1.0,2.0,5,8,35,0.14,0.14,0.29,0.14,0.29,0.15,0.14,0.29,0.15,0.29
Valentín Barco,ARG,DF,20-206,2004,1,1,74,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,9,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05
Óscar Perea,COL,MF,19-140,2005,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Đorđe Petrović,SRB,GK,25-129,1999,18,18,1620,18.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
