General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes
Player,Nation,Pos,Age,Born,Mp,Starts,Min,90s,Gls,Ast,G+a,G-pk,Pk,Pkatt,Crdy,Crdr,Xg,Npxg,Xag,Npxg+xag,Prgc,Prgp,Prgr,Gls,Ast,G+a,G-pk,G+a-pk,Xg,Xag,Xg+xag,Npxg,Npxg+xag
Alessandro Buongiorno,ITA,DF,25-253,1999,15,15,1350,15.0,1,0,1,1,0,0,1,0,0.8,0.8,0.6,1.4,13,67,2,0.07,0.0,0.07,0.07,0.07,0.05,0.04,0.09,0.05,0.09
Alessio Zerbin,ITA,"FW,DF",25-348,1999,2,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Meret,ITA,GK,27-329,1997,21,21,1835,20.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amir Rrahmani,KVX,DF,30-356,1994,24,24,2160,24.0,1,2,3,1,0,0,2,0,1.9,1.9,0.6,2.5,16,117,1,0.04,0.08,0.12,0.04,0.12,0.08,0.03,0.11,0.08,0.11
Andre-Frank Zambo Anguissa,CMR,MF,29-090,1995,24,24,2109,23.4,5,3,8,5,0,0,3,0,2.5,2.5,2.1,4.6,20,111,86,0.21,0.13,0.34,0.21,0.34,0.11,0.09,0.2,0.11,0.2
Billy Gilmour,SCO,MF,23-248,2001,14,5,418,4.6,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,4,25,5,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.08,0.01,0.08
Cyril Ngonge,BEL,FW,24-264,2000,9,1,151,1.7,0,0,0,0,0,0,1,0,0.6,0.6,0.4,0.9,3,7,25,0.0,0.0,0.0,0.0,0.0,0.34,0.22,0.56,0.34,0.56
David Neres,BRA,FW,27-348,1997,22,10,981,10.9,2,4,6,2,0,0,1,0,1.9,1.9,2.5,4.4,62,26,106,0.18,0.37,0.55,0.18,0.55,0.17,0.23,0.41,0.17,0.41
Elia Caprile,ITA,GK,23-173,2001,4,3,325,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giacomo Raspadori,ITA,"FW,MF",24-362,2000,13,2,319,3.5,1,0,1,1,0,0,1,0,1.0,1.0,0.3,1.3,4,14,18,0.28,0.0,0.28,0.28,0.28,0.27,0.09,0.37,0.27,0.37
Giovanni Di Lorenzo,ITA,DF,31-194,1993,24,24,2160,24.0,3,1,4,3,0,0,3,0,2.4,2.4,3.0,5.4,34,154,107,0.12,0.04,0.17,0.12,0.17,0.1,0.13,0.23,0.1,0.23
Giovanni Simeone,ARG,FW,29-224,1995,21,1,329,3.7,1,1,2,1,0,0,0,0,1.6,1.6,0.5,2.1,7,4,21,0.27,0.27,0.55,0.27,0.55,0.44,0.15,0.58,0.44,0.58
Juan Jesus,BRA,DF,33-249,1991,9,9,798,8.9,0,1,1,0,0,0,1,0,0.2,0.2,0.0,0.2,3,46,2,0.0,0.11,0.11,0.0,0.11,0.02,0.0,0.02,0.02,0.02
Khvicha Kvaratskhelia,GEO,"FW,MF",24-002,2001,17,15,1178,13.1,5,3,8,4,1,1,1,0,4.1,3.4,3.7,7.0,74,57,89,0.38,0.23,0.61,0.31,0.53,0.32,0.28,0.6,0.26,0.54
Leonardo Spinazzola,ITA,"DF,FW",31-326,1993,16,7,637,7.1,1,1,2,1,0,0,1,0,0.2,0.2,1.8,2.0,39,37,38,0.14,0.14,0.28,0.14,0.28,0.02,0.26,0.29,0.02,0.29
Mathías Olivera,URU,DF,27-106,1997,20,17,1559,17.3,0,1,1,0,0,0,2,0,0.6,0.6,1.3,1.9,27,87,47,0.0,0.06,0.06,0.0,0.06,0.04,0.07,0.11,0.04,0.11
Matteo Politano,ITA,"FW,MF",31-195,1993,23,21,1706,19.0,2,2,4,2,0,0,2,0,1.9,1.9,3.2,5.1,74,90,173,0.11,0.11,0.21,0.11,0.21,0.1,0.17,0.27,0.1,0.27
Michael Folorunsho,ITA,"FW,MF",27-007,1998,6,0,35,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,2,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.27,0.27,0.27
Noah Okafor,SUI,FW,24-266,2000,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.37,0.37,0.37
Pasquale Mazzocchi,ITA,"DF,FW",29-202,1995,15,5,527,5.9,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.5,14,20,37,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.09,0.02,0.09
Romelu Lukaku,BEL,FW,31-277,1993,22,21,1678,18.6,9,6,15,6,3,4,1,0,9.1,6.0,2.0,7.9,20,18,139,0.48,0.32,0.8,0.32,0.64,0.49,0.11,0.59,0.32,0.43
Scott McTominay,SCO,MF,28-068,1996,21,20,1794,19.9,6,2,8,6,0,0,2,0,4.5,4.5,1.4,5.9,32,65,83,0.3,0.1,0.4,0.3,0.4,0.23,0.07,0.3,0.23,0.3
Stanislav Lobotka,SVK,MF,30-081,1994,20,19,1693,18.8,0,1,1,0,0,0,3,0,0.2,0.2,0.9,1.1,20,71,27,0.0,0.05,0.05,0.0,0.05,0.01,0.05,0.06,0.01,0.06
Walid Cheddira,MAR,FW,27-023,1998,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2
