General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes
Player,Nation,Pos,Age,Born,Mp,Starts,Min,90s,Gls,Ast,G+a,G-pk,Pk,Pkatt,Crdy,Crdr,Xg,Npxg,Xag,Npxg+xag,Prgc,Prgp,Prgr,Gls,Ast,G+a,G-pk,G+a-pk,Xg,Xag,Xg+xag,Npxg,Npxg+xag
Aaron Ciammaglichella,ITA,MF,20-019,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Masina,MAR,DF,31-043,1994,19,15,1442,16.0,1,2,3,1,0,0,4,0,0.2,0.2,0.3,0.5,13,61,7,0.06,0.12,0.19,0.06,0.19,0.01,0.02,0.03,0.01,0.03
Adrien Tameze,CMR,"MF,DF",31-010,1994,16,8,598,6.6,0,0,0,0,0,0,3,0,0.4,0.4,0.8,1.2,14,23,20,0.0,0.0,0.0,0.0,0.0,0.06,0.13,0.19,0.06,0.19
Alberto Paleari,ITA,GK,32-169,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ali Dembélé,FRA,DF,21-040,2004,9,1,115,1.3,0,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,3,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03
Antonio Sanabria,PAR,FW,28-347,1996,19,13,1009,11.2,2,0,2,2,0,1,1,0,2.4,1.6,0.4,2.1,5,14,45,0.18,0.0,0.18,0.18,0.18,0.22,0.04,0.26,0.15,0.19
Borna Sosa,CRO,DF,27-024,1998,18,13,1101,12.2,0,0,0,0,0,0,0,0,0.3,0.3,0.7,1.0,13,48,48,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.08,0.03,0.08
Cesare Casadei,ITA,MF,22-035,2003,1,0,20,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,1,0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.68,0.68,0.68
Che Adams,SCO,FW,28-216,1996,23,18,1576,17.5,7,2,9,7,0,0,1,0,4.4,4.4,1.7,6.1,14,22,91,0.4,0.11,0.51,0.4,0.51,0.25,0.09,0.35,0.25,0.35
