General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes
Player,Nation,Pos,Age,Born,Mp,Starts,Min,90s,Gls,Ast,G+a,G-pk,Pk,Pkatt,Crdy,Crdr,Xg,Npxg,Xag,Npxg+xag,Prgc,Prgp,Prgr,Gls,Ast,G+a,G-pk,G+a-pk,Xg,Xag,Xg+xag,Npxg,Npxg+xag
Alexis Sánchez,CHI,FW,36-057,1988,6,3,224,2.5,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.6,1,8,12,0.0,0.0,0.0,0.0,0.0,0.21,0.02,0.23,0.21,0.23
Arthur Atta,FRA,"MF,FW",22-031,2003,14,1,356,4.0,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,9,19,19,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.08,0.05,0.08
Brenner,BRA,"MF,FW",25-029,2000,9,5,386,4.3,1,2,3,1,0,0,0,0,0.6,0.6,0.5,1.1,5,7,16,0.23,0.47,0.7,0.23,0.7,0.15,0.11,0.26,0.15,0.26
Christian Kabasele,BEL,DF,33-356,1991,13,9,916,10.2,1,0,1,1,0,0,0,0,0.8,0.8,0.2,1.0,9,40,7,0.1,0.0,0.1,0.1,0.1,0.08,0.02,0.1,0.08,0.1
Enzo Ebosse,CMR,DF,25-340,1999,2,0,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
Florian Thauvin,FRA,"FW,MF",32-019,1993,21,20,1614,17.9,5,3,8,5,0,2,0,0,5.0,3.3,3.4,6.8,77,78,118,0.28,0.17,0.45,0.28,0.45,0.28,0.19,0.47,0.19,0.38
Hassane Kamara,CIV,DF,30-346,1994,18,13,1056,11.7,1,3,4,1,0,0,6,1,0.6,0.6,1.4,2.1,34,33,57,0.09,0.26,0.34,0.09,0.34,0.05,0.12,0.18,0.05,0.18
Iker Bravo,ESP,"FW,MF",20-032,2005,17,2,309,3.4,2,1,3,2,0,0,2,0,0.6,0.6,0.4,1.0,2,11,18,0.58,0.29,0.87,0.58,0.87,0.18,0.11,0.29,0.18,0.29
Jaka Bijol,SVN,DF,26-009,1999,22,22,1980,22.0,1,0,1,1,0,0,7,0,1.7,1.7,0.4,2.1,16,54,3,0.05,0.0,0.05,0.05,0.05,0.08,0.02,0.09,0.08,0.09
James Abankwah,IRL,"DF,MF",21-029,2004,6,0,88,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,4,1,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06
Jesper Karlström,SWE,MF,29-238,1995,23,22,1947,21.6,0,2,2,0,0,0,5,0,0.5,0.5,0.7,1.2,11,79,25,0.0,0.09,0.09,0.0,0.09,0.02,0.03,0.06,0.02,0.06
Jordan Zemura,ZIM,DF,25-092,1999,19,11,1147,12.7,1,2,3,1,0,0,2,0,0.8,0.8,0.7,1.5,22,35,66,0.08,0.16,0.24,0.08,0.24,0.06,0.06,0.12,0.06,0.12
