name,id
Dean Henderson,e5a76dfe
Tyrick Mitchell,5cbd1eb0
Marc Guéhi,d0706b27
Daniel Muñoz,778ef829
Jean-Philippe Mateta,50e6dc35
Maxence Lacroix,277c49ed
Eberechi Eze,ae4fc6a4
Ismaila Sarr,bfdb33aa
Will Hughes,a0666d3e
Jefferson Lerma,9b5ce51a
Chris Richards,0a3d6d2b
Trevoh Chalobah,5515376c
Daichi Kamada,15b287da
Adam Wharton,4b542852
Eddie Nketiah,a53649b7
Cheick Doucouré,ce4f40c7
Nathaniel Clyne,0442183b
Justin Devenny,6c2b66fc
Odsonne Édouard,0562b7f1
Joachim Andersen,e34fc66d
Chadi Riad,b3b9b8b8
Jeffrey Schlupp,3312f911
Ben Chilwell,d2424d1b
Jordan Ayew,da052c14
Caleb Kporha,c80f8c9d
Romain Esse,87189f25
Asher Agbinone,6a10efb3
Naouirou Ahamada,a6c58494
Rob Holding,d79a8c87
Sam Johnstone,9e5708be
Zachariah Marsh,6baa90d0
Remi Matthews,27f4f772
Kaden Rodney,49375cdd
Matt Turner,4a51ba65
Franco Umeh-Chibueze,8e526344
Joel Ward,8a7ff278
Squad Total,
Opponent Total,
