name,id
Dejan Kulusevski,df3cda47
Pedro Porro,27d0a506
Son Heung-min,92e7e919
Destiny Udogie,7cd520e8
Brennan Johnson,0cd31129
Dominic Solanke,e77dc3b2
James Maddison,ee38d9c5
Guglielmo Vicario,77d6fd4d
Pape Matar Sarr,feb5d972
Radu Drăgușin,620922ed
Rodrigo Bentancur,3b8674e6
Archie Gray,f58515f5
Yves Bissouma,6c203af0
Cristian Romero,a3d94a58
Djed Spence,9bc9a519
Micky van de Ven,8fe2a392
Lucas Bergvall,a109e5c8
Ben Davies,44781702
Fraser Forster,c3e39f12
Timo Werner,49fe9070
Antonín Kinský,b38ac6a4
Kevin Danso,6e33125f
Wilson Odobert,35516eac
Mathys Tel,829aa60c
Richarlison,fa031b34
Mikey Moore,00953a9d
Brandon Austin,5e253986
Sergio Reguilón,3353737a
Dane Scarlett,21945a9e
Alfie Dorrington,ac1ef440
Will Lankshear,92df535b
Oyindamola Ajayi,d3a6f5a3
Dante Cassanova,0b8373bb
Alfie Devine,ba08056d
Malachi Hardy,3478fa17
Maeson King,b00671f2
Yang Minhyeok,fe3db176
Callum Olusesi,d6455444
Alfie Whiteman,3f2587ee
Luca Williams Barnett,d2fe0b0b
Squad Total,
Opponent Total,
